Year,GeoAreaName,Location,Value
2000,Albania,ALLAREA,1
2000,Albania,URBAN,0
2000,Albania,RURAL,1
2001,Albania,ALLAREA,1
2001,Albania,URBAN,0
2001,Albania,RURAL,1
2002,Albania,URBAN,0
2002,Albania,RURAL,1
2002,Albania,ALLAREA,1
2003,Albania,ALLAREA,1
2003,Albania,RURAL,1
2003,Albania,URBAN,0
2004,Albania,ALLAREA,1
2004,Albania,URBAN,0
2004,Albania,RURAL,1
2005,Albania,RURAL,1
2005,Albania,ALLAREA,1
2005,Albania,URBAN,0
2006,Albania,URBAN,0
2006,Albania,RURAL,1
2006,Albania,ALLAREA,1
2007,Albania,ALLAREA,1
2007,Albania,URBAN,0
2007,Albania,RURAL,1
2008,Albania,ALLAREA,0
2008,Albania,RURAL,1
2008,Albania,URBAN,0
2009,Albania,ALLAREA,0
2009,Albania,URBAN,0
2009,Albania,RURAL,1
2010,Albania,RURAL,1
2010,Albania,ALLAREA,0
2010,Albania,URBAN,0
2011,Albania,ALLAREA,0
2011,Albania,URBAN,0
2011,Albania,RURAL,1
2012,Albania,URBAN,0
2012,Albania,RURAL,0
2012,Albania,ALLAREA,0
2013,Albania,ALLAREA,0
2013,Albania,RURAL,0
2013,Albania,URBAN,0
2014,Albania,RURAL,0
2014,Albania,ALLAREA,0
2014,Albania,URBAN,0
2015,Albania,URBAN,0
2015,Albania,RURAL,0
2015,Albania,ALLAREA,0
2016,Albania,ALLAREA,0
2016,Albania,URBAN,0
2016,Albania,RURAL,0
2017,Albania,URBAN,0
2017,Albania,RURAL,0
2017,Albania,ALLAREA,0
2018,Albania,RURAL,0
2001,Bulgaria,ALLAREA,0
2001,Bulgaria,URBAN,0
2001,Bulgaria,RURAL,0
2002,Bulgaria,RURAL,0
2002,Bulgaria,ALLAREA,0
2002,Bulgaria,URBAN,0
2003,Bulgaria,URBAN,0
2003,Bulgaria,RURAL,0
2003,Bulgaria,ALLAREA,0
2004,Bulgaria,URBAN,0
2004,Bulgaria,RURAL,0
2000,Finland,URBAN,0
2000,Finland,RURAL,0
2000,Finland,ALLAREA,0
2001,Finland,ALLAREA,0
2001,Finland,RURAL,0
2001,Finland,URBAN,0
2002,Finland,ALLAREA,0
2002,Finland,URBAN,0
2002,Finland,RURAL,0
2003,Finland,URBAN,0
2003,Finland,ALLAREA,0
2004,Bulgaria,ALLAREA,0
2005,Bulgaria,URBAN,0
2005,Bulgaria,RURAL,0
2005,Bulgaria,ALLAREA,0
2006,Bulgaria,RURAL,0
2006,Bulgaria,ALLAREA,0
2006,Bulgaria,URBAN,0
2007,Bulgaria,RURAL,0
2007,Bulgaria,ALLAREA,0
2007,Bulgaria,URBAN,0
2008,Bulgaria,ALLAREA,0
2008,Bulgaria,URBAN,0
