Year,GeoAreaName,Migratory status,Sex,Value
2000,Republic of Moldova,_T,BOTHSEX,6.5
2001,Republic of Moldova,_T,BOTHSEX,5.0
2002,Republic of Moldova,_T,BOTHSEX,5.3
2003,Republic of Moldova,_T,BOTHSEX,5.6
2004,Republic of Moldova,_T,BOTHSEX,4.9
2005,Republic of Moldova,_T,BOTHSEX,6.4
2006,Republic of Moldova,_T,BOTHSEX,4.7
2007,Republic of Moldova,_T,BOTHSEX,7.1
2008,Republic of Moldova,_T,BOTHSEX,5.3
2009,Republic of Moldova,_T,BOTHSEX,4.9
2010,Republic of Moldova,_T,BOTHSEX,6.6
2000,Croatia,_T,FEMALE,0.51
2000,Croatia,_T,MALE,5.17
2000,Croatia,_T,BOTHSEX,3.08
2001,Croatia,_T,FEMALE,0.86
2001,Croatia,_T,BOTHSEX,3.22
2001,Croatia,_T,MALE,5.13
2002,Croatia,_T,FEMALE,0.7
2013,Republic of Moldova,_T,BOTHSEX,6.2
2014,Republic of Moldova,_T,BOTHSEX,5.9
2015,Republic of Moldova,_T,BOTHSEX,5.7
2016,Republic of Moldova,_T,MALE,9.0
2016,Republic of Moldova,_T,FEMALE,1.3
2002,Croatia,_T,BOTHSEX,3.31
2002,Croatia,_T,MALE,5.5
2003,Croatia,_T,BOTHSEX,3.4
2003,Croatia,_T,MALE,5.8
2003,Croatia,_T,FEMALE,0.3
2004,Croatia,_T,BOTHSEX,2.7
2004,Croatia,_T,FEMALE,0.3
2016,Republic of Moldova,_T,BOTHSEX,4.9
2017,Republic of Moldova,_T,MALE,14.5
2017,Republic of Moldova,_T,BOTHSEX,6.8
2018,Republic of Moldova,_T,MALE,12.6
2018,Republic of Moldova,_T,FEMALE,0.3
2018,Republic of Moldova,_T,BOTHSEX,6.2
2004,Croatia,_T,MALE,4.6
2005,Croatia,_T,MALE,7.5
2005,Croatia,_T,FEMALE,0.3
2005,Croatia,_T,BOTHSEX,4.3
2006,Croatia,_T,FEMALE,0.7
2006,Croatia,_T,BOTHSEX,5.0
2006,Croatia,_T,MALE,8.6
2000,Azerbaijan,_T,BOTHSEX,4.0
2001,Azerbaijan,_T,FEMALE,0.0
2001,Azerbaijan,_T,MALE,5.0
2001,Azerbaijan,_T,BOTHSEX,3.0
2002,Azerbaijan,_T,FEMALE,0.0
2002,Azerbaijan,_T,MALE,10.0
2002,Azerbaijan,_T,BOTHSEX,6.0
2003,Azerbaijan,_T,BOTHSEX,6.0
2019,Republic of Moldova,_T,MALE,11.4
2019,Republic of Moldova,_T,FEMALE,0.6
2019,Republic of Moldova,_T,BOTHSEX,5.8
2020,Republic of Moldova,_T,BOTHSEX,5.2
2020,Republic of Moldova,_T,MALE,10.9
2009,Netherlands,NONMIG,MALE,1.57
2009,Netherlands,NONMIG,BOTHSEX,0.87
2009,Netherlands,_T,FEMALE,0.05
2009,Netherlands,NONMIG,FEMALE,0.0
2009,Netherlands,_T,BOTHSEX,1.08
2009,Netherlands,_T,MALE,1.9
2010,Netherlands,_T,FEMALE,0.05
2010,Netherlands,NONMIG,BOTHSEX,0.8
2010,Netherlands,_T,MALE,1.73
2010,Netherlands,NONMIG,FEMALE,0.0
2010,Netherlands,_T,BOTHSEX,0.99
2010,Netherlands,NONMIG,MALE,1.42
2011,Netherlands,_T,MALE,1.25
2011,Netherlands,_T,FEMALE,0.06
