Year,GeoAreaName,Activity,Value
2000,Czechia,ISIC4_C,39.12
2001,Czechia,ISIC4_C,39.89
2002,Czechia,ISIC4_C,39.55
2003,Czechia,ISIC4_C,40.28
2004,Czechia,ISIC4_C,40.6
2005,Czechia,ISIC4_C,41.05
2006,Czechia,ISIC4_C,44.36
2007,Czechia,ISIC4_C,44.61
2008,Czechia,ISIC4_C,40.88
2009,Czechia,ISIC4_C,41.3
2010,Czechia,ISIC4_C,44.99
2011,Czechia,ISIC4_C,45.72
2012,Czechia,ISIC4_C,46.72
2013,Czechia,ISIC4_C,47.34
2014,Czechia,ISIC4_C,48.27
2015,Czechia,ISIC4_C,51.83
2016,Czechia,ISIC4_C,51.22
2017,Czechia,ISIC4_C,52.24
2018,Czechia,ISIC4_C,51.53
2019,Czechia,ISIC4_C,51.77
2020,Czechia,ISIC4_C,52.42
2000,Denmark,ISIC4_C,38.27
2001,Denmark,ISIC4_C,39.66
2002,Denmark,ISIC4_C,38.77
2003,Denmark,ISIC4_C,39.43
2004,Denmark,ISIC4_C,39.46
2005,Denmark,ISIC4_C,40.73
2006,Denmark,ISIC4_C,42.72
2007,Denmark,ISIC4_C,42.88
2008,Denmark,ISIC4_C,42.83
2009,Denmark,ISIC4_C,47.65
2010,Denmark,ISIC4_C,48.82
2011,Denmark,ISIC4_C,50.92
2000,Albania,ISIC4_C,7.61
2001,Albania,ISIC4_C,12.31
2002,Albania,ISIC4_C,7.8
2003,Albania,ISIC4_C,6.43
2004,Albania,ISIC4_C,8.8
2005,Albania,ISIC4_C,16.98
2006,Albania,ISIC4_C,20.21
2007,Albania,ISIC4_C,18.95
2008,Albania,ISIC4_C,14.09
2009,Albania,ISIC4_C,14.36
2010,Albania,ISIC4_C,6.56
2012,Denmark,ISIC4_C,51.98
2013,Denmark,ISIC4_C,52.73
2014,Denmark,ISIC4_C,53.31
2015,Denmark,ISIC4_C,52.65
2016,Denmark,ISIC4_C,53.83
2017,Denmark,ISIC4_C,54.39
2018,Denmark,ISIC4_C,56.98
2019,Denmark,ISIC4_C,55.33
2020,Denmark,ISIC4_C,58.47
2000,Estonia,ISIC4_C,16.74
2001,Estonia,ISIC4_C,12.57
2002,Estonia,ISIC4_C,11.5
2003,Estonia,ISIC4_C,16.44
2004,Estonia,ISIC4_C,17.01
2005,Estonia,ISIC4_C,18.89
2006,Estonia,ISIC4_C,19.36
2007,Estonia,ISIC4_C,19.17
2008,Estonia,ISIC4_C,28.8
2009,Estonia,ISIC4_C,25.65
2010,Estonia,ISIC4_C,26.75
2011,Estonia,ISIC4_C,27.76
2012,Estonia,ISIC4_C,26.94
2011,Albania,ISIC4_C,10.55
2012,Albania,ISIC4_C,17.1
2013,Albania,ISIC4_C,5.64
2014,Albania,ISIC4_C,6.63
2015,Albania,ISIC4_C,5.8
2016,Albania,ISIC4_C,4.47
2017,Albania,ISIC4_C,4.88
2018,Albania,ISIC4_C,4.61
2019,Albania,ISIC4_C,4.24
2020,Albania,ISIC4_C,4.24
2000,Azerbaijan,ISIC4_C,9.83
2013,Estonia,ISIC4_C,28.14
2014,Estonia,ISIC4_C,28.39
2015,Estonia,ISIC4_C,25.72
2016,Estonia,ISIC4_C,26.64
2017,Estonia,ISIC4_C,27.43
2018,Estonia,ISIC4_C,25.78
2019,Estonia,ISIC4_C,29.43
2020,Estonia,ISIC4_C,30.21
2000,Finland,ISIC4_C,42.43
2001,Finland,ISIC4_C,44.91
2002,Finland,ISIC4_C,43.06
2003,Finland,ISIC4_C,44.87
2004,Finland,ISIC4_C,42.64
2005,Finland,ISIC4_C,44.01
2006,Finland,ISIC4_C,42.94
2007,Finland,ISIC4_C,48.02
2008,Finland,ISIC4_C,47.89
2009,Finland,ISIC4_C,44.29
2010,Finland,ISIC4_C,44.59
2011,Finland,ISIC4_C,36.98
2012,Finland,ISIC4_C,33.85
2013,Finland,ISIC4_C,36.5
2014,Finland,ISIC4_C,42.66
2015,Finland,ISIC4_C,42.16
2016,Finland,ISIC4_C,44.11
2017,Finland,ISIC4_C,44.53
2018,Finland,ISIC4_C,43.8
2019,Finland,ISIC4_C,39.95
2020,Finland,ISIC4_C,43.81
2000,France,ISIC4_C,45.36
2001,France,ISIC4_C,45.34
2002,France,ISIC4_C,44.77
2003,France,ISIC4_C,45.16
2004,France,ISIC4_C,43.88
2005,France,ISIC4_C,44.48
2006,France,ISIC4_C,44.59
2007,France,ISIC4_C,45.67
2008,France,ISIC4_C,45.88
2009,France,ISIC4_C,44.66
2010,France,ISIC4_C,45.45
2011,France,ISIC4_C,45.41
2012,France,ISIC4_C,46.14
2013,France,ISIC4_C,46.58
2014,France,ISIC4_C,47.04
2001,Azerbaijan,ISIC4_C,13.3
2002,Azerbaijan,ISIC4_C,12.61
2003,Azerbaijan,ISIC4_C,9.41
2004,Azerbaijan,ISIC4_C,10.28
2005,Azerbaijan,ISIC4_C,11.91
2006,Azerbaijan,ISIC4_C,9.56
2007,Azerbaijan,ISIC4_C,10.93
2008,Azerbaijan,ISIC4_C,7.33
2009,Azerbaijan,ISIC4_C,6.34
2010,Azerbaijan,ISIC4_C,7.96
2011,Azerbaijan,ISIC4_C,9.92
2015,France,ISIC4_C,47.98
2016,France,ISIC4_C,49.89
2017,France,ISIC4_C,48.38
2018,France,ISIC4_C,50.2
2019,France,ISIC4_C,50.94
2020,France,ISIC4_C,52.38
2000,Georgia,ISIC4_C,19.32
2001,Georgia,ISIC4_C,16.17
2002,Georgia,ISIC4_C,14.15
2003,Georgia,ISIC4_C,14.42
2004,Georgia,ISIC4_C,15.52
2005,Georgia,ISIC4_C,18.58
2006,Georgia,ISIC4_C,20.23
2007,Georgia,ISIC4_C,14.76
2008,Georgia,ISIC4_C,14.94
2009,Georgia,ISIC4_C,21.39
2010,Georgia,ISIC4_C,16.99
2011,Georgia,ISIC4_C,21.6
2012,Georgia,ISIC4_C,17.85
2013,Georgia,ISIC4_C,18.61
2014,Georgia,ISIC4_C,14.7
2015,Georgia,ISIC4_C,14.73
2012,Azerbaijan,ISIC4_C,8.47
2013,Azerbaijan,ISIC4_C,10.25
2014,Azerbaijan,ISIC4_C,9.86
2015,Azerbaijan,ISIC4_C,10.66
2016,Azerbaijan,ISIC4_C,10.13
2017,Azerbaijan,ISIC4_C,10.82
2018,Azerbaijan,ISIC4_C,10.29
