Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-1-1,notstarted,International Labour Organization (ILO),True,,,,line
#1-1-1_SI_POV_DAY1,notstarted,,,,custom.central_asia,,line
#1-1-1_SI_POV_EMP1,notstarted,,,,custom.central_asia,,line
#1-2-1,notstarted,World Bank,True,,,,line
#1-2-1_SI_POV_NAHC,notstarted,,,,custom.central_asia,,line
#1-2-2,notstarted,"The World Bank, United Nations Children&#x2019;s Fund (UNICEF), United Nations Development Programme (UNDP)",True,,,,line
#1-2-2_SD_MDP_CSMP,notstarted,,,,custom.central_asia,,line
#1-2-2_SD_MDP_MUHC,notstarted,,,,custom.central_asia,,line
#1-2-2_SD_MDP_MUHHC,notstarted,,,,custom.central_asia,,line
#1-3-1,notstarted,International Labour Organization (ILO),True,,,,line
#1-3-1_SI_COV_BENFTS,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_CHLD,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_DISAB,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_LMKT,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_MATNL,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_PENSN,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_POOR,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_SOCAST,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_SOCINS,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_UEMP,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_VULN,notstarted,,,,custom.central_asia,,line
#1-3-1_SI_COV_WKINJRY,notstarted,,,,custom.central_asia,,line
#1-4-1,notstarted,United Nations Human Settlements Programme (UN-Habitat),True,,,,line
#1-4-1_SP_ACS_BSRVH2O,notstarted,,,,custom.central_asia,,line
#1-4-1_SP_ACS_BSRVSAN,notstarted,,,,custom.central_asia,,line
#1-4-2,notstarted,UN-Habitat and World Bank,True,,,,line
#1-4-2_SP_LGL_LNDDOC,notstarted,,,,custom.central_asia,,line
#1-4-2_SP_LGL_LNDSEC,notstarted,,,,custom.central_asia,,line
#1-4-2_SP_LGL_LNDSTR,notstarted,,,,custom.central_asia,,line
#1-5-1,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
#1-5-1_VC_DSR_AFFCT,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_DAFF,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_IJILN,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_MISS,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_MMHN,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_MORT,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_MTMP,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_PDAN,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_PDLN,notstarted,,,,custom.central_asia,,line
#1-5-1_VC_DSR_PDYN,notstarted,,,,custom.central_asia,,line
#1-5-2,notstarted,United Nations Office for Disaster Reduction (UNISDR),True,,,,line
