Year,GeoAreaName,Level_of_government,Value
2021,Albania,NAT,13.92106
2021,Albania,LOCAL,9.57394
2021,Albania,_T,23.495
2019,Azerbaijan,_T,0.66391
2019,Azerbaijan,NAT,0.66391
2018,Austria,_T,106.80555
2019,Austria,_T,109.53479
2020,Austria,_T,106.95356
2019,Bosnia and Herzegovina,LOCAL,18.95443
2019,Bosnia and Herzegovina,NAT,14.71574
2019,Bosnia and Herzegovina,_T,50.37332
2019,Bosnia and Herzegovina,REG,16.70315
2020,Bosnia and Herzegovina,REG,14.60824
2020,Bosnia and Herzegovina,_T,45.72358
2020,Bosnia and Herzegovina,NAT,13.36253
2020,Bosnia and Herzegovina,LOCAL,17.75282
2021,Bosnia and Herzegovina,_T,51.59045
2021,Bosnia and Herzegovina,REG,16.01301
2021,Bosnia and Herzegovina,LOCAL,18.64075
2021,Bosnia and Herzegovina,NAT,16.93669
2018,Belarus,NAT,18.23345
2018,Belarus,LOCAL,61.66056
2018,Belarus,_T,79.90692
2019,Belarus,_T,72.49448
2019,Belarus,NAT,20.52183
2019,Belarus,LOCAL,51.97264
2018,Czechia,_T,112.88003
2018,Czechia,NAT,45.96563
2018,Czechia,REG,66.9144
2019,Czechia,REG,68.37923
2019,Czechia,NAT,43.52384
2019,Czechia,_T,111.90307
2020,Czechia,_T,117.73056
2020,Czechia,NAT,42.48676
2020,Czechia,REG,75.2438
2019,Denmark,_T,120.02407
2020,Denmark,_T,122.67935
2017,Finland,NAT,68.48834
2017,Finland,LOCAL,94.32904
2017,Finland,_T,162.81738
2018,Finland,LOCAL,98.02123
2018,Finland,NAT,73.41075
2018,Finland,_T,171.43198
2019,Finland,NAT,66.78109
2019,Finland,LOCAL,94.70773
2019,Finland,_T,161.48882
2020,Finland,_T,183.48629
2020,Finland,NAT,95.17182
2020,Finland,LOCAL,88.31446
2018,France,LOCAL,56.09295
2018,France,NAT,32.7649
2018,France,_T,108.12846
2018,France,REG,19.27061
2019,France,_T,119.86423
2019,France,REG,19.75548
2019,France,NAT,29.04999
2019,France,LOCAL,71.05876
2020,France,LOCAL,68.73691
2020,France,REG,22.42062
2020,France,NAT,47.30071
2020,France,_T,138.45824
2020,Georgia,NAT,4.46706
2020,Georgia,_T,4.46706
2021,Georgia,_T,12.51631
2021,Georgia,NAT,12.51631
2020,Greece,NAT,10.32892
2020,Greece,_T,10.32892
2018,Hungary,_T,150.4976
2018,Hungary,LOCAL,39.56242
2018,Hungary,NAT,110.93518
2019,Hungary,NAT,100.93994
2019,Hungary,_T,146.84767
2019,Hungary,LOCAL,45.90773
2020,Hungary,_T,187.33166
2020,Hungary,LOCAL,37.28678
2020,Hungary,NAT,150.04488
2019,Kazakhstan,NAT,0.00395
2019,Kazakhstan,REG,0.64863
2019,Kazakhstan,_T,0.65258
2017,Lithuania,_T,36.62751
2017,Lithuania,NAT,36.62751
2018,Lithuania,NAT,38.54581
2018,Lithuania,_T,38.54581
2019,Lithuania,_T,45.99207
2019,Lithuania,NAT,32.94578
2019,Lithuania,LOCAL,13.04629
2020,Lithuania,LOCAL,10.63463
2020,Lithuania,NAT,31.18993
2020,Lithuania,_T,41.82456
2019,Luxembourg,_T,200.09184
2020,Luxembourg,_T,201.77395
2021,Luxembourg,_T,215.46791
2021,Luxembourg,NAT,175.41811
2021,Luxembourg,LOCAL,40.0498
2020,Malta,LOCAL,12.76621
2020,Malta,NAT,363.4812
2020,Malta,_T,376.24741
2019,Republic of Moldova,NAT,2.69495
2019,Republic of Moldova,LOCAL,2.42508
2019,Republic of Moldova,_T,5.12002
2020,Republic of Moldova,LOCAL,1.51948
2020,Republic of Moldova,NAT,2.25961
2020,Republic of Moldova,_T,3.77908
2021,Republic of Moldova,NAT,3.74016
2021,Republic of Moldova,_T,5.91084
2021,Republic of Moldova,LOCAL,2.17068
2020,Norway,REG,5.36482
2020,Norway,NAT,14.40164
2020,Norway,_T,21.81264
2020,Norway,LOCAL,2.04618
2021,Norway,LOCAL,2.23201
2021,Norway,_T,21.26454
2021,Norway,REG,5.58287
2021,Norway,NAT,13.44966
2019,Poland,NAT,25.3429
2019,Poland,_T,71.59704
2019,Poland,LOCAL,46.25414
2020,Poland,LOCAL,42.25986
2020,Poland,_T,67.20789
2020,Poland,NAT,24.94803
2021,Poland,NAT,26.47982
2021,Poland,_T,68.91623
2021,Poland,LOCAL,42.43641
2018,Portugal,_T,31.83045
2019,Portugal,_T,31.51734
2020,Portugal,_T,34.35163
2021,Serbia,_T,28.8082
2021,Serbia,LOCAL,15.5662
2021,Serbia,NAT,10.65303
2021,Serbia,REG,2.58896
2018,Slovakia,NAT,44.46041
2018,Slovakia,_T,44.46041
2017,Spain,_T,43.5299
2017,Spain,NAT,10.98613
2017,Spain,REG,14.40673
2017,Spain,LOCAL,18.13704
2018,Spain,LOCAL,19.29941
2018,Spain,REG,13.8743
2018,Spain,NAT,10.61919
2018,Spain,_T,43.79289
2019,Spain,_T,46.92368
2019,Spain,NAT,10.95379
2019,Spain,REG,15.45703
2019,Spain,LOCAL,20.51286
2020,Spain,LOCAL,19.86437
2020,Spain,REG,16.49164
2020,Spain,NAT,10.58184
2020,Spain,_T,46.93786
2018,Sweden,LOCAL,3.52337
2018,Sweden,NAT,76.5784
2018,Sweden,_T,85.20775
2018,Sweden,REG,5.10598
2019,Sweden,REG,4.90911
2019,Sweden,_T,72.7702
2019,Sweden,NAT,64.52333
2019,Sweden,LOCAL,3.33776
2020,Sweden,LOCAL,3.59455
2020,Sweden,NAT,72.24547
2020,Sweden,_T,81.045
2020,Sweden,REG,5.20498
2021,Sweden,REG,5.50108
2021,Sweden,NAT,99.40747
2021,Sweden,LOCAL,4.10829
2021,Sweden,_T,109.01685
2018,Switzerland,_T,161.48167
2018,Switzerland,LOCAL,34.86553
2018,Switzerland,REG,65.76945
2018,Switzerland,NAT,60.84669
2019,Switzerland,NAT,63.34367
2019,Switzerland,REG,69.38467
2019,Switzerland,LOCAL,38.24844
2019,Switzerland,_T,170.97678
2020,Switzerland,REG,74.61817
2020,Switzerland,LOCAL,37.68556
2020,Switzerland,_T,181.91063
2020,Switzerland,NAT,69.6069
2018,Türkiye,NAT,15.47776
2018,Türkiye,LOCAL,13.78957
2018,Türkiye,_T,29.26733
2019,Türkiye,NAT,10.04205
2019,Türkiye,_T,15.95836
2019,Türkiye,LOCAL,5.91631
2020,Türkiye,NAT,8.61042
2020,Türkiye,LOCAL,3.83104
2020,Türkiye,_T,12.44147
2020,Uzbekistan,_T,0.01862
2020,Uzbekistan,NAT,0.01862
2020,Uzbekistan,NAT,0.01862
