Year,GeoAreaName,Value
2013,Albania,0.0
2014,Albania,0.0
2015,Albania,0.0
2010,Azerbaijan,17200.0
2011,Azerbaijan,300.0
2012,Azerbaijan,11300.0
2013,Azerbaijan,3600.0
2014,Azerbaijan,100.0
2015,Azerbaijan,6600.0
2016,Azerbaijan,7864.0
2017,Azerbaijan,4840.0
2018,Azerbaijan,14995.0
2019,Azerbaijan,13149.0
2020,Azerbaijan,13600.0
2021,Azerbaijan,7200.0
2000,Armenia,0.0
2001,Armenia,0.0
2002,Armenia,0.0
2003,Armenia,0.0
2004,Armenia,0.0
2005,Armenia,0.0
2006,Armenia,0.0
2007,Armenia,0.0
2008,Armenia,0.0
2009,Armenia,0.0
2010,Armenia,0.0
2011,Armenia,0.0
2012,Armenia,0.0
2013,Armenia,0.0
2014,Armenia,0.0
2015,Armenia,0.0
2016,Armenia,0.0
2017,Armenia,0.0
2018,Armenia,0.0
2019,Armenia,0.0
2000,Bosnia and Herzegovina,0.0
2001,Bosnia and Herzegovina,0.0
2002,Bosnia and Herzegovina,0.0
2003,Bosnia and Herzegovina,0.0
2004,Bosnia and Herzegovina,0.0
2005,Bosnia and Herzegovina,0.0
2006,Bosnia and Herzegovina,0.0
2007,Bosnia and Herzegovina,0.0
2008,Bosnia and Herzegovina,0.0
2009,Bosnia and Herzegovina,0.0
2010,Bosnia and Herzegovina,0.0
2011,Bosnia and Herzegovina,0.0
2012,Bosnia and Herzegovina,0.0
2013,Bosnia and Herzegovina,0.0
2014,Bosnia and Herzegovina,0.0
2008,Belarus,615100.0
2009,Belarus,790000.0
2010,Belarus,486100.0
2011,Belarus,307047.2
2012,Belarus,61214.0508
2013,Belarus,59402.8984
2014,Belarus,51014.8789
2015,Belarus,44233.6289
2016,Belarus,407314.6875
2017,Belarus,388919.0
2018,Belarus,311107.0
2019,Belarus,437430.0
2020,Belarus,456732.4
2021,Belarus,269826.0
2004,Georgia,0.0
2005,Georgia,0.0
2006,Georgia,0.0
2007,Georgia,0.0
2008,Georgia,0.0
2009,Georgia,0.0
2010,Georgia,0.0
2011,Georgia,0.0
2012,Georgia,0.0
2013,Georgia,0.0
2014,Georgia,0.0
2015,Georgia,0.0
2004,Kazakhstan,0.0
2005,Kazakhstan,0.0
2006,Kazakhstan,0.0
2007,Kazakhstan,0.0
2008,Kazakhstan,0.0
2009,Kazakhstan,1493.90002
2010,Kazakhstan,9658.3418
2011,Kazakhstan,6278.81592
2012,Kazakhstan,13858.0
2013,Kazakhstan,720.659
2014,Kazakhstan,4640.16016
2015,Kazakhstan,126.415
2016,Kazakhstan,12388.59668
2017,Kazakhstan,0.6
2018,Kazakhstan,256.79999
2019,Kazakhstan,0.0
2000,Kyrgyzstan,0.0
2001,Kyrgyzstan,0.0
2002,Kyrgyzstan,0.0
2003,Kyrgyzstan,57.0
2004,Kyrgyzstan,0.0
2005,Kyrgyzstan,0.0
2006,Kyrgyzstan,0.0
2007,Kyrgyzstan,0.0
2008,Kyrgyzstan,0.0
2009,Kyrgyzstan,0.0
2012,Liechtenstein,0.0
2013,Liechtenstein,0.0
2014,Liechtenstein,0.0
2015,Liechtenstein,0.0
2016,Liechtenstein,0.0
2017,Liechtenstein,0.0
2018,Liechtenstein,0.0
2019,Liechtenstein,0.0
2006,Republic of Moldova,45.0
2008,Republic of Moldova,202.0
2009,Republic of Moldova,31.0
2011,Republic of Moldova,6.9
2013,Republic of Moldova,32.0
2014,Republic of Moldova,160.7
2015,Republic of Moldova,20.4
2016,Republic of Moldova,97.8
2000,Montenegro,0.0
2009,Montenegro,0.0
2010,Montenegro,0.0
2011,Montenegro,0.0
2012,Montenegro,0.0
2008,Serbia,2.0
2009,Serbia,741.0
2010,Serbia,3371.0
2011,Serbia,2426.0
2012,Serbia,1953.0
2013,Serbia,304.0
2014,Serbia,24.0
2015,Serbia,0.0
2005,Ukraine,6251.0
2006,Ukraine,1990.0
2007,Ukraine,1339.0
2008,Ukraine,1454.0
2009,Ukraine,510.0
2010,Ukraine,6.0
2011,Ukraine,2523.0
2012,Ukraine,5181.0
2013,Ukraine,4569.0
2014,Ukraine,9163.0
2015,Ukraine,2497.0
2016,Ukraine,1704.0
2017,Ukraine,1864.0
2018,Ukraine,2866.0
2019,Ukraine,3565.0
2019,Ukraine,3565.0
