Year,GeoAreaName,Value
2013,Albania,940000.0
2014,Albania,1229000.0
2015,Albania,1413000.0
2016,Albania,1300000.0
2017,Albania,1254000.0
2018,Albania,1325000.0
2019,Albania,1087000.0
2020,Albania,1048000.0
2021,Albania,875000.0
2000,Austria,4646000.0
2001,Austria,4634000.0
2002,Austria,4914000.0
2003,Austria,4932000.0
2004,Austria,4687000.0
2005,Austria,4732000.0
2006,Austria,4933000.0
2007,Austria,4951000.0
2008,Austria,4997000.0
2009,Austria,4921000.0
2010,Austria,4701000.0
2011,Austria,4807000.0
2012,Austria,4883000.0
2013,Austria,4905000.0
2014,Austria,4833000.0
2015,Austria,4836000.0
2016,Austria,4928000.0
2017,Austria,5018000.0
2018,Austria,5119000.0
2019,Austria,5220000.0
2020,Austria,7438000.0
2000,Armenia,208100.006
2001,Armenia,233600.006
2002,Armenia,284399.994
2003,Armenia,368600.006
2004,Armenia,377000.0
2005,Armenia,374600.006
2006,Armenia,381000.0
2007,Armenia,391899.994
2008,Armenia,385899.994
2009,Armenia,410899.994
2010,Armenia,387100.006
2011,Armenia,395500.0
2012,Armenia,408100.006
2013,Armenia,517690.002
2014,Armenia,517099.976
2015,Armenia,492799.988
2016,Armenia,499700.012
2017,Armenia,493899.994
2018,Armenia,469899.994
2019,Armenia,472799.988
2000,Belgium,4831000.0
2001,Belgium,4802000.0
2002,Belgium,4981000.0
2003,Belgium,4824000.0
2004,Belgium,5059000.0
2005,Belgium,5052000.0
2006,Belgium,5115000.0
2007,Belgium,5243000.0
2008,Belgium,5141000.0
2009,Belgium,5042000.0
2010,Belgium,4972000.0
2011,Belgium,5023000.0
2012,Belgium,4944000.0
2013,Belgium,4867000.0
2014,Belgium,4762000.0
2015,Belgium,4643000.0
2016,Belgium,4746000.0
2017,Belgium,4672000.0
2018,Belgium,4677000.0
2019,Belgium,4779000.0
2020,Belgium,8408000.0
2021,Belgium,8795000.0
2008,Bosnia and Herzegovina,1367000.0
2009,Bosnia and Herzegovina,1362000.0
2010,Bosnia and Herzegovina,1276000.0
2011,Bosnia and Herzegovina,1307000.0
2012,Bosnia and Herzegovina,1303000.0
2013,Bosnia and Herzegovina,1192000.0
2014,Bosnia and Herzegovina,1335000.0
2015,Bosnia and Herzegovina,1249000.0
2016,Bosnia and Herzegovina,1244000.0
2017,Bosnia and Herzegovina,1235000.0
2018,Bosnia and Herzegovina,1244000.0
2019,Bosnia and Herzegovina,1228000.0
2020,Bosnia and Herzegovina,1206000.0
2021,Bosnia and Herzegovina,1229000.0
2000,Bulgaria,4998000.0
2001,Bulgaria,4773000.0
2002,Bulgaria,4715000.0
2003,Bulgaria,4690000.0
2004,Bulgaria,4619000.0
2005,Bulgaria,4502000.0
2006,Bulgaria,4387000.0
2007,Bulgaria,4172000.0
2008,Bulgaria,4486000.0
2009,Bulgaria,4449000.0
2010,Bulgaria,4094000.0
2011,Bulgaria,3732000.0
2012,Bulgaria,3364000.0
2013,Bulgaria,3135000.0
2014,Bulgaria,3192000.0
2015,Bulgaria,3011000.0
2016,Bulgaria,2881000.0
2017,Bulgaria,3080000.0
2018,Bulgaria,2862000.0
2019,Bulgaria,3080000.0
2020,Bulgaria,2829000.0
2000,Croatia,1173000.0
2004,Croatia,1311000.0
2005,Croatia,1449000.0
2006,Croatia,1654000.0
2007,Croatia,1719000.0
2008,Croatia,1788000.0
2009,Croatia,1743000.0
2010,Croatia,1630000.0
2011,Croatia,1645000.0
2012,Croatia,1670000.0
2013,Croatia,1721000.0
2014,Croatia,1637000.0
2015,Croatia,1654000.0
2016,Croatia,1680000.0
2017,Croatia,1716000.0
2018,Croatia,1768000.0
2019,Croatia,1812000.0
2020,Croatia,1693000.0
2021,Croatia,1767000.0
2000,Cyprus,436000.0
2001,Cyprus,456000.0
2002,Cyprus,465000.0
2003,Cyprus,481000.0
2004,Cyprus,498000.0
2005,Cyprus,508000.0
2006,Cyprus,522000.0
2007,Cyprus,540000.0
2008,Cyprus,573000.0
2009,Cyprus,589000.0
2010,Cyprus,576000.0
2011,Cyprus,575000.0
2012,Cyprus,574000.0
2013,Cyprus,532000.0
2014,Cyprus,513000.0
2015,Cyprus,525000.0
2016,Cyprus,539000.0
2017,Cyprus,537000.0
2018,Cyprus,562000.0
2019,Cyprus,571000.0
2020,Cyprus,543000.0
2021,Cyprus,570000.0
