Year,GeoAreaName,Value
2018,Albania,1284796.57388
2016,Azerbaijan,59891.14784
2018,Azerbaijan,249168.91913
2017,Austria,148482.89219
2015,Belgium,15202898.55072
2016,Belgium,270451.19829
2017,Belgium,227315.7795
2018,Belgium,19152.14877
2019,Belgium,664536.06302
2016,Bosnia and Herzegovina,1428110.8962
2015,Bulgaria,231936.16777
2016,Bulgaria,192461.60481
2017,Bulgaria,2292929.29293
2018,Bulgaria,2618935.71466
2019,Bulgaria,2589610.38961
2020,Bulgaria,2159090.90909
2015,Croatia,45382352.94118
2016,Croatia,429251.94996
2019,Croatia,55349.64755
2015,Cyprus,380499.54073
2016,Cyprus,1230419.63045
2017,Cyprus,4879745.06752
2018,Cyprus,4901153.75067
2020,Cyprus,18794701.98675
2017,Czechia,137315.48232
2018,Czechia,10974.29819
2015,Denmark,128985.92359
2016,Denmark,196138.69634
2017,Denmark,63904.508
2018,Denmark,208070.59563
2019,Denmark,249039.03227
2020,Denmark,197792.00181
2017,Estonia,1058452.27834
2017,Finland,21726.14198
2018,Finland,165213.40064
2015,France,6693828.6809
2016,France,4550832.60298
2017,France,190684.02096
2018,France,1066566.297
2019,France,1329665.97171
2020,France,604617.33712
2019,Georgia,986890.02185
2020,Georgia,10828451.88285
2015,Germany,101061.41271
2016,Germany,2106574.12004
2017,Germany,43348.02807
2018,Germany,386138.57233
2019,Germany,16955.89767
2015,Greece,2866050.80831
2016,Greece,1806334.98813
2017,Greece,1039324.51381
2018,Greece,1432934.94278
2019,Greece,15157.55481
2020,Greece,72013.74065
2018,Iceland,475911.32777
2015,Ireland,16667.26582
2016,Ireland,123358.93788
2017,Ireland,293876.976
2018,Ireland,23511.99242
2019,Ireland,440.02019
2015,Italy,9195292.29177
2016,Italy,7008115.8887
2017,Italy,2331030.11332
2018,Italy,697753.07807
2019,Italy,211600.62612
2015,Kazakhstan,11448.52457
2019,Luxembourg,476000.0
2015,Malta,1205128.20513
2018,Malta,5260.83205
2019,Montenegro,1314960.62992
2015,Netherlands,3870848.70849
2016,Netherlands,45603.44172
2017,Netherlands,52216.88298
2018,Netherlands,103847.15119
2019,Netherlands,7550.31671
2015,Norway,325769.85413
2016,Norway,277099.38005
2017,Norway,284724.59209
2018,Norway,94811.07493
2016,Poland,850499.59223
2017,Poland,207789.30165
2018,Poland,732812.35747
2015,Portugal,3096129.8377
2016,Portugal,1237299.78309
2017,Portugal,257362.42715
2018,Portugal,1537330.34451
2019,Portugal,160505.70677
2020,Portugal,10294.42042
2015,Romania,146057.26936
2016,Romania,2776233.19287
2017,Romania,13410071.94245
2018,Romania,719424.71591
2016,Serbia,13151162.7907
2016,Slovenia,1833145.69531
2017,Slovenia,1491842.22742
2018,Slovenia,3883.49515
2015,Spain,1531320.54964
2016,Spain,4088205.88973
2017,Spain,2193543.01888
2018,Spain,1436452.34862
2019,Spain,1257716.46844
2020,Spain,246331.66396
2015,Sweden,7623.59593
2016,Sweden,22391.08449
2017,Sweden,17226.29232
2018,Sweden,6489.05665
2015,Switzerland,5934497.81659
2017,Switzerland,1317599.9219
2018,Switzerland,123206.10358
2016,Türkiye,2511674.618
2017,Türkiye,5753342.94378
2018,Türkiye,451998.62099
2019,Türkiye,183296.49942
2020,Türkiye,12193.73405
2017,Ukraine,11371.68323
2018,Ukraine,1229709.45984
2020,Ukraine,1421200.32588
2020,Ukraine,1421200.32588
