Year,GeoAreaName,Sex,Value
2018,Belarus,MALE,28.0
2018,Belarus,FEMALE,25.0
2010,Czechia,BOTHSEX,33.0
2013,Czechia,BOTHSEX,22.0
2010,France,BOTHSEX,31.92
2011,France,BOTHSEX,24.13
2012,France,FEMALE,37.82
2012,France,MALE,25.38
2012,France,BOTHSEX,31.74
2013,France,FEMALE,30.23
2013,France,MALE,25.75
2013,France,BOTHSEX,27.89
2014,France,BOTHSEX,24.53
2014,France,FEMALE,26.22
2014,France,MALE,22.9
2015,France,MALE,28.12
2015,France,FEMALE,26.68
2015,France,BOTHSEX,27.38
2016,France,BOTHSEX,32.76
2016,France,MALE,30.62
2016,France,FEMALE,34.6
2017,France,FEMALE,37.55
2017,France,MALE,24.29
2017,France,BOTHSEX,31.33
2018,France,BOTHSEX,25.03
2018,France,FEMALE,29.3
2018,France,MALE,20.61
2019,France,MALE,17.62
2019,France,FEMALE,17.36
2019,France,BOTHSEX,17.49
2012,Germany,MALE,32.3
2012,Germany,FEMALE,34.1
2012,Germany,BOTHSEX,32.9
2017,Germany,BOTHSEX,36.6
2017,Germany,FEMALE,40.0
2017,Germany,MALE,34.6
2020,Germany,BOTHSEX,33.5
2020,Germany,MALE,40.3
2020,Germany,FEMALE,21.3
2013,Iceland,BOTHSEX,34.9
2014,Iceland,BOTHSEX,34.7
2015,Iceland,BOTHSEX,34.2
2016,Iceland,BOTHSEX,38.7
2017,Iceland,BOTHSEX,35.1
2018,Iceland,BOTHSEX,36.4
2019,Iceland,FEMALE,44.1
2019,Iceland,MALE,41.7
2019,Iceland,BOTHSEX,43.4
2020,Iceland,BOTHSEX,29.8
2020,Iceland,FEMALE,34.8
2020,Iceland,MALE,25.9
2021,Iceland,FEMALE,55.0
2021,Iceland,MALE,47.0
2021,Iceland,BOTHSEX,51.1
2019,Ireland,BOTHSEX,29.0
2016,Italy,BOTHSEX,19.85
2015,Kyrgyzstan,BOTHSEX,19.4
2013,Poland,BOTHSEX,55.7
2020,Poland,MALE,41.7
2020,Poland,FEMALE,47.6
2020,Poland,BOTHSEX,43.9
2010,Sweden,BOTHSEX,37.0
2011,Sweden,BOTHSEX,35.0
2012,Sweden,BOTHSEX,38.0
2013,Sweden,BOTHSEX,36.0
2014,Sweden,BOTHSEX,30.0
2015,Sweden,BOTHSEX,27.0
2016,Sweden,BOTHSEX,31.0
2017,Sweden,BOTHSEX,31.0
2017,Sweden,BOTHSEX,31.0
