Year,GeoAreaName,Value
2001,Portugal,487.51142
2002,Portugal,534.29452
2003,Portugal,426.92492
2004,Portugal,1223.13874
2005,Portugal,432.78782
2006,Portugal,436.49017
2007,Portugal,461.44746
2008,Portugal,567.33741
2009,Portugal,480.53892
2010,Portugal,635.42558
2011,Portugal,661.95013
2012,Portugal,589.83862
2013,Portugal,469.56874
2014,Portugal,411.08749
2015,Portugal,345.07114
2016,Portugal,379.01209
2017,Portugal,406.48252
2018,Portugal,388.39299
2019,Portugal,396.04572
2020,Portugal,420.5
2021,Portugal,418.12545
2000,Slovakia,15.10755
2001,Slovakia,21.22022
2002,Slovakia,15.44469
2003,Slovakia,26.84169
2004,Slovakia,41.63896
2005,Slovakia,78.8369
2006,Slovakia,70.97623
2007,Slovakia,71.26833
2008,Slovakia,83.12819
2009,Slovakia,68.91797
2010,Slovakia,70.45994
2011,Slovakia,77.03668
2012,Slovakia,76.23229
2013,Slovakia,79.28925
2014,Slovakia,76.88
2015,Slovakia,94.03829
2016,Slovakia,118.37763
2017,Slovakia,129.0064
2018,Slovakia,139.54468
2019,Slovakia,120.64604
2020,Slovakia,141.2
2021,Slovakia,142.06897
2005,Slovenia,40.9451
2006,Slovenia,50.3709
2007,Slovenia,54.52596
2008,Slovenia,61.8528
2009,Slovenia,65.29518
2010,Slovenia,57.05718
2011,Slovenia,57.62012
2012,Slovenia,57.76449
2013,Slovenia,57.96155
2014,Slovenia,57.72734
2015,Slovenia,70.30453
2016,Slovenia,89.8061
2017,Slovenia,80.9422
2018,Slovenia,83.41979
2019,Slovenia,90.41472
2020,Slovenia,90.73
2021,Slovenia,107.99526
2000,Spain,2103.64411
2001,Spain,3022.97341
2002,Spain,2720.45836
2003,Spain,2500.92411
2000,Austria,773.99294
2001,Austria,1125.34197
2002,Austria,868.76169
2003,Austria,694.23627
2004,Austria,833.51623
2005,Austria,1886.74494
2006,Austria,1746.7622
2007,Austria,1891.83631
2004,Spain,2720.36547
2005,Spain,3235.33581
2006,Spain,3892.84565
2007,Spain,4651.63972
2008,Spain,5768.13444
2009,Spain,5720.25992
2010,Spain,5426.15514
2011,Spain,3626.29055
2012,Spain,1917.31157
2013,Spain,2130.83077
2014,Spain,1708.12059
2015,Spain,1512.2163
2016,Spain,4572.30353
2017,Spain,2684.03664
2018,Spain,2561.05285
2019,Spain,2787.91495
2008,Austria,1669.13901
2009,Austria,1130.71579
2010,Austria,1247.41078
2011,Austria,1073.25445
2012,Austria,1132.22637
2013,Austria,1142.79943
2014,Austria,1179.65197
2015,Austria,1479.13993
2020,Spain,2739.27
2021,Spain,3085.44547
2000,Sweden,2526.47969
2001,Sweden,2577.42468
2002,Sweden,2882.51619
2003,Sweden,2810.92329
2004,Sweden,2885.21523
2005,Sweden,3600.12892
2006,Sweden,4109.28003
2007,Sweden,4019.97873
2008,Sweden,4196.60163
2009,Sweden,4503.88908
2010,Sweden,4193.50568
2011,Sweden,4619.79189
2012,Sweden,4465.26957
2013,Sweden,4733.54759
2014,Sweden,5242.44526
2015,Sweden,7170.9469
2016,Sweden,4946.83617
2017,Sweden,5503.52078
2018,Sweden,5895.59928
2019,Sweden,5427.36482
2020,Sweden,6348.35
2021,Sweden,5354.93292
2016,Austria,1800.30456
2017,Austria,1338.04919
2018,Austria,1169.59081
2019,Austria,1277.65635
2020,Austria,1321.38
2021,Austria,1408.71164
2000,Belgium,1415.03678
2001,Belgium,1510.85413
2002,Belgium,1745.2385
2003,Belgium,2472.13308
2004,Belgium,1741.60597
2005,Belgium,2288.22508
2006,Belgium,2230.89886
2007,Belgium,1980.13291
2008,Belgium,2255.2621
2009,Belgium,2541.67471
2010,Belgium,3018.96238
2011,Belgium,2639.96442
2012,Belgium,2309.4723
2013,Belgium,2192.77265
2014,Belgium,2311.87844
2015,Belgium,2124.28142
2016,Belgium,2525.48129
2017,Belgium,2322.91694
2018,Belgium,2336.5563
2019,Belgium,2276.27762
2020,Belgium,2376.38
2021,Belgium,2400.01188
2000,Czechia,39.90882
2001,Czechia,61.37589
2002,Czechia,88.21703
2003,Czechia,149.17208
2004,Czechia,156.60357
2005,Czechia,182.04239
2006,Czechia,202.97834
2007,Czechia,195.82605
2008,Czechia,228.63727
2009,Czechia,210.18752
2010,Czechia,227.06419
2011,Czechia,231.51499
2012,Czechia,221.25706
2013,Czechia,209.79534
2014,Czechia,218.37148
2015,Czechia,240.29094
2016,Czechia,308.76826
2017,Czechia,340.82629
2018,Czechia,310.03101
2019,Czechia,318.88298
2000,Switzerland,1717.83432
2001,Switzerland,1734.1521
2002,Switzerland,1658.86928
2003,Switzerland,1960.90275
2004,Switzerland,2148.21171
2005,Switzerland,2444.95127
2006,Switzerland,2237.54545
2007,Switzerland,2141.40078
2020,Czechia,299.14
2021,Czechia,322.51901
2000,Denmark,2884.52025
2001,Denmark,2842.90297
2002,Denmark,2646.09811
2003,Denmark,2313.78768
2004,Denmark,2404.4635
2005,Denmark,2422.41911
2006,Denmark,2493.93931
2007,Denmark,2554.97803
2008,Denmark,2548.59266
2009,Denmark,2629.31694
2010,Denmark,2736.72008
2011,Denmark,2646.87921
2012,Denmark,2565.48888
2013,Denmark,2682.12066
2014,Denmark,2724.2327
2015,Denmark,2773.57036
2016,Denmark,2556.9199
2017,Denmark,2560.90398
2018,Denmark,2563.20159
2019,Denmark,2650.73177
2020,Denmark,2640.86
