Year,GeoAreaName,Value
2005,Belarus,16.95808
2006,Belarus,20.9226
2007,Belarus,15.33338
2008,Belarus,15.71855
2009,Belarus,88.03855
2010,Belarus,20.90757
2011,Belarus,13.58311
2012,Belarus,28.88032
2013,Belarus,27.10808
2000,Albania,118.99276
2001,Albania,72.21924
2002,Albania,64.61525
2003,Albania,59.13853
2004,Albania,42.06056
2005,Albania,104.41996
2006,Albania,94.10552
2007,Albania,62.41131
2008,Albania,63.20401
2009,Albania,76.76916
2010,Albania,68.55707
2011,Albania,87.09525
2012,Albania,81.06333
2013,Albania,36.67008
2014,Albania,86.97725
2015,Albania,51.00574
2016,Albania,67.23786
2017,Albania,201.74851
2014,Belarus,43.63855
2015,Belarus,16.71082
2016,Belarus,29.5935
2017,Belarus,23.23865
2018,Belarus,39.18993
2019,Belarus,18.6502
2020,Belarus,27.43439
2000,Croatia,44.29312
2001,Croatia,140.97292
2018,Albania,116.46788
2019,Albania,82.82016
2020,Albania,177.01023
2000,Azerbaijan,21.84148
2001,Azerbaijan,58.62362
2002,Azerbaijan,21.08922
2003,Azerbaijan,23.38117
2004,Azerbaijan,18.79491
2005,Azerbaijan,29.7714
2002,Croatia,65.68698
2003,Croatia,78.11549
2004,Croatia,51.57423
2005,Croatia,79.61128
2006,Croatia,180.72747
2007,Croatia,93.352
2008,Croatia,164.4483
2009,Croatia,134.3399
2010,Croatia,208.81446
2006,Azerbaijan,38.78125
2007,Azerbaijan,38.46354
2008,Azerbaijan,52.7346
2009,Azerbaijan,42.82995
2010,Azerbaijan,53.40784
2011,Azerbaijan,94.69802
2012,Azerbaijan,72.45064
2013,Azerbaijan,64.40415
2000,Serbia,229.50441
2001,Serbia,477.94857
2002,Serbia,335.01255
2003,Serbia,153.87006
2004,Serbia,147.98727
2005,Serbia,286.82644
2006,Serbia,414.38836
2007,Serbia,339.9433
2008,Serbia,175.15513
2000,Georgia,15.59575
2001,Georgia,105.24712
2002,Georgia,85.843
2003,Georgia,66.56463
2004,Georgia,64.1407
2005,Georgia,91.83949
2006,Georgia,131.02222
2007,Georgia,99.39878
2008,Georgia,101.42661
2009,Georgia,118.37081
2010,Georgia,69.85042
2011,Georgia,70.89534
2012,Georgia,128.92152
2013,Georgia,112.64908
2014,Georgia,207.56637
2015,Georgia,204.01779
2016,Georgia,130.19353
2017,Georgia,192.1711
2014,Azerbaijan,53.93993
2015,Azerbaijan,42.51155
2016,Azerbaijan,246.72835
2017,Azerbaijan,231.51038
2018,Azerbaijan,242.7243
2019,Azerbaijan,77.83396
2020,Azerbaijan,18.16366
2000,Armenia,26.68271
2001,Armenia,121.7415
2002,Armenia,69.2467
2003,Armenia,62.12229
2004,Armenia,51.77555
2005,Armenia,52.96695
2006,Armenia,80.33803
2007,Armenia,79.41836
2008,Armenia,70.22698
2009,Armenia,78.70485
2010,Armenia,57.63013
2011,Armenia,37.33662
2012,Armenia,75.07408
2013,Armenia,90.01385
2014,Armenia,107.86112
2015,Armenia,144.23743
2016,Armenia,155.77947
2017,Armenia,143.49708
2018,Armenia,142.66186
2018,Georgia,277.56477
2019,Georgia,331.37478
2020,Georgia,717.19421
2000,Kazakhstan,76.53516
2001,Kazakhstan,52.54459
2002,Kazakhstan,38.61554
2003,Kazakhstan,39.3457
2004,Kazakhstan,35.76712
2005,Kazakhstan,27.79093
2006,Kazakhstan,26.20558
2007,Kazakhstan,53.09257
2008,Kazakhstan,177.22294
2009,Kazakhstan,28.21623
2010,Kazakhstan,491.38951
2011,Kazakhstan,150.63429
2012,Kazakhstan,69.47097
2013,Kazakhstan,72.26861
2019,Armenia,88.65342
2020,Armenia,67.57801
2000,Bosnia and Herzegovina,113.46893
2001,Bosnia and Herzegovina,159.72834
2002,Bosnia and Herzegovina,127.26998
2003,Bosnia and Herzegovina,105.71169
2004,Bosnia and Herzegovina,70.98928
2005,Bosnia and Herzegovina,120.76488
2006,Bosnia and Herzegovina,150.45577
2007,Bosnia and Herzegovina,121.13202
2008,Bosnia and Herzegovina,100.80878
2009,Bosnia and Herzegovina,131.83426
2010,Bosnia and Herzegovina,90.73011
2011,Bosnia and Herzegovina,73.89045
2012,Bosnia and Herzegovina,67.54472
2013,Bosnia and Herzegovina,100.46437
2014,Kazakhstan,252.54785
2015,Kazakhstan,509.67182
2016,Kazakhstan,1098.40948
2017,Kazakhstan,197.15183
2018,Kazakhstan,183.71662
2019,Kazakhstan,61.54533
2020,Kazakhstan,62.71392
2000,Kyrgyzstan,105.98197
2001,Kyrgyzstan,89.70907
2002,Kyrgyzstan,39.20107
2003,Kyrgyzstan,25.46485
2004,Kyrgyzstan,29.47594
2005,Kyrgyzstan,32.91194
2006,Kyrgyzstan,55.20373
2007,Kyrgyzstan,46.29302
2008,Kyrgyzstan,57.19158
2009,Kyrgyzstan,54.27795
2010,Kyrgyzstan,54.93558
2011,Kyrgyzstan,86.15231
2012,Kyrgyzstan,104.06102
2013,Kyrgyzstan,147.38466
2014,Kyrgyzstan,76.17445
2015,Kyrgyzstan,97.06395
2016,Kyrgyzstan,162.24007
2014,Bosnia and Herzegovina,71.47378
2015,Bosnia and Herzegovina,108.85525
2016,Bosnia and Herzegovina,51.53179
2017,Bosnia and Herzegovina,64.59929
2018,Bosnia and Herzegovina,110.11051
2019,Bosnia and Herzegovina,135.79255
2020,Bosnia and Herzegovina,128.77898
2009,Serbia,154.81591
2010,Serbia,180.14275
2011,Serbia,161.603
2012,Serbia,120.55792
2013,Serbia,72.58821
2014,Serbia,195.63398
2015,Serbia,181.15466
2016,Serbia,222.99652
2017,Serbia,344.00985
2017,Kyrgyzstan,88.60427
2018,Kyrgyzstan,81.28319
2019,Kyrgyzstan,93.61392
2020,Kyrgyzstan,56.29979
2000,Malta,0.43187
2001,Malta,7.51103
2002,Malta,0.39319
2000,Republic of Moldova,42.29256
2001,Republic of Moldova,64.21603
2002,Republic of Moldova,49.80595
2003,Republic of Moldova,44.12363
2004,Republic of Moldova,52.30944
2005,Republic of Moldova,62.12596
2006,Republic of Moldova,66.70492
2007,Republic of Moldova,50.95688
2008,Republic of Moldova,51.70296
2009,Republic of Moldova,47.28859
2010,Republic of Moldova,71.2749
2011,Republic of Moldova,69.80563
2012,Republic of Moldova,56.63958
2013,Republic of Moldova,47.33785
2014,Republic of Moldova,61.11236
2015,Republic of Moldova,36.33369
2016,Republic of Moldova,46.16987
2017,Republic of Moldova,42.46794
2018,Republic of Moldova,60.80844
2019,Republic of Moldova,47.30041
2020,Republic of Moldova,100.14767
2002,Montenegro,0.07371
2003,Montenegro,3.0877
2004,Montenegro,9.07118
2005,Montenegro,0.83446
2006,Montenegro,30.69797
2018,Serbia,305.31574
2019,Serbia,333.53727
2020,Serbia,323.93832
2000,Slovenia,14.1594
2001,Slovenia,23.98612
2002,Slovenia,4.32653
2000,Tajikistan,27.10315
2001,Tajikistan,80.98722
2002,Tajikistan,6.52988
2007,Montenegro,33.2285
2008,Montenegro,26.00832
