Year,GeoAreaName,Sex,Value
2010,Bulgaria,FEMALE,244.54
2010,Bulgaria,BOTHSEX,288.74
2010,Bulgaria,MALE,298.05
2013,Bulgaria,MALE,372.08
2013,Bulgaria,BOTHSEX,362.08
2013,Bulgaria,FEMALE,317.08
2016,Bulgaria,BOTHSEX,445.97
2016,Bulgaria,FEMALE,409.63
2016,Bulgaria,MALE,455.24
2020,Bulgaria,FEMALE,417.24
2020,Bulgaria,BOTHSEX,447.38
2010,Latvia,BOTHSEX,250.34
2010,Latvia,MALE,273.54
2010,Latvia,FEMALE,190.95
2013,Latvia,BOTHSEX,292.07
2013,Latvia,FEMALE,227.58
2013,Latvia,MALE,314.61
2016,Latvia,FEMALE,300.27
2016,Latvia,MALE,353.26
2020,Bulgaria,MALE,456.34
2010,Sweden,MALE,463.71
2010,Sweden,BOTHSEX,456.36
2010,Sweden,FEMALE,366.54
2013,Sweden,MALE,548.38
2013,Sweden,BOTHSEX,535.73
2013,Sweden,FEMALE,388.11
2016,Sweden,BOTHSEX,628.56
2016,Sweden,FEMALE,477.39
2016,Sweden,MALE,641.29
2020,Sweden,FEMALE,596.3
2020,Sweden,MALE,770.78
2020,Sweden,BOTHSEX,753.56
2016,Latvia,BOTHSEX,338.17
2020,Latvia,MALE,457.67
2020,Latvia,FEMALE,297.18
2020,Latvia,BOTHSEX,414.38
2010,Austria,MALE,379.96
2010,Austria,BOTHSEX,371.65
2010,Austria,FEMALE,351.06
2013,Austria,MALE,351.51
2013,Austria,FEMALE,330.31
2013,Austria,BOTHSEX,345.76
2016,Austria,MALE,402.26
2010,Croatia,BOTHSEX,210.75
2010,Croatia,MALE,213.79
2010,Croatia,FEMALE,194.4
2016,Austria,BOTHSEX,390.63
2016,Austria,FEMALE,360.47
2020,Austria,BOTHSEX,355.78
2020,Austria,MALE,378.86
2020,Austria,FEMALE,314.04
2013,Croatia,MALE,274.46
2013,Croatia,BOTHSEX,266.01
2013,Croatia,FEMALE,222.61
2010,Belgium,BOTHSEX,801.83
2010,Belgium,FEMALE,749.7
2010,Belgium,MALE,807.72
2013,Belgium,FEMALE,866.8
2013,Belgium,MALE,962.65
2013,Belgium,BOTHSEX,952.22
2016,Belgium,MALE,914.48
2016,Belgium,BOTHSEX,906.08
2016,Belgium,FEMALE,841.85
2020,Belgium,MALE,1002.74
2016,Croatia,MALE,321.4
2016,Croatia,BOTHSEX,307.26
2016,Croatia,FEMALE,239.95
2020,Croatia,BOTHSEX,302.61
2020,Croatia,MALE,307.37
2020,Croatia,FEMALE,280.01
2010,Cyprus,BOTHSEX,257.37
2010,Cyprus,MALE,259.71
2010,Cyprus,FEMALE,225.85
2020,Belgium,FEMALE,984.03
2020,Belgium,BOTHSEX,1000.56
2013,Cyprus,BOTHSEX,285.94
2013,Cyprus,FEMALE,164.24
2013,Cyprus,MALE,295.74
2016,Cyprus,MALE,427.97
2016,Cyprus,FEMALE,271.41
2016,Cyprus,BOTHSEX,415.29
2020,Cyprus,FEMALE,302.13
2020,Cyprus,MALE,560.19
2020,Cyprus,BOTHSEX,539.98
2010,Czechia,MALE,326.56
2010,Czechia,BOTHSEX,325.23
2010,Czechia,FEMALE,304.04
2013,Czechia,MALE,431.07
2013,Czechia,FEMALE,392.75
2013,Czechia,BOTHSEX,428.83
2016,Czechia,MALE,628.3
2016,Czechia,BOTHSEX,634.06
2016,Czechia,FEMALE,712.09
2020,Czechia,BOTHSEX,612.94
2020,Czechia,FEMALE,658.25
2020,Czechia,MALE,604.79
2010,Lithuania,BOTHSEX,232.48
2010,Lithuania,MALE,239.59
2010,Lithuania,FEMALE,203.27
2013,Lithuania,MALE,294.47
2013,Lithuania,BOTHSEX,285.71
2013,Lithuania,FEMALE,250.01
2010,Denmark,BOTHSEX,939.78
2010,Denmark,MALE,947.39
2010,Denmark,FEMALE,788.71
2013,Denmark,FEMALE,718.88
2013,Denmark,MALE,964.09
2013,Denmark,BOTHSEX,953.04
2016,Denmark,MALE,1107.05
2016,Denmark,BOTHSEX,1091.8
2016,Denmark,FEMALE,771.05
2020,Denmark,BOTHSEX,869.91
2020,Denmark,MALE,882.9
2020,Denmark,FEMALE,660.03
2016,Lithuania,MALE,328.35
2016,Lithuania,FEMALE,292.01
2016,Lithuania,BOTHSEX,321.11
2020,Lithuania,MALE,299.72
2020,Lithuania,FEMALE,251.93
2020,Lithuania,BOTHSEX,290.37
2010,Estonia,FEMALE,313.47
2010,Estonia,MALE,385.75
2010,Estonia,BOTHSEX,376.74
2013,Estonia,MALE,392.95
2013,Estonia,FEMALE,373.47
2013,Estonia,BOTHSEX,390.64
2010,Luxembourg,BOTHSEX,340.44
2010,Luxembourg,FEMALE,270.87
2010,Luxembourg,MALE,350.49
2013,Luxembourg,FEMALE,286.09
2013,Luxembourg,BOTHSEX,397.8
2013,Luxembourg,MALE,416.49
2016,Luxembourg,MALE,514.54
2016,Luxembourg,FEMALE,347.88
2016,Luxembourg,BOTHSEX,489.89
2020,Luxembourg,BOTHSEX,408.13
2016,Estonia,MALE,521.25
2016,Estonia,BOTHSEX,510.54
2016,Estonia,FEMALE,439.25
2020,Estonia,MALE,545.7
2020,Estonia,FEMALE,503.69
2020,Estonia,BOTHSEX,538.86
2010,Finland,BOTHSEX,322.48
2010,Finland,MALE,325.36
2010,Finland,FEMALE,292.87
2013,Finland,FEMALE,287.69
2013,Finland,MALE,363.54
2013,Finland,BOTHSEX,357.03
2016,Finland,FEMALE,259.32
2016,Finland,MALE,250.87
2016,Finland,BOTHSEX,251.97
2020,Finland,BOTHSEX,371.38
2020,Finland,FEMALE,353.99
2020,Finland,MALE,373.15
2020,Luxembourg,MALE,426.97
2020,Luxembourg,FEMALE,292.24
2010,France,MALE,427.88
2010,France,BOTHSEX,421.4
2010,France,FEMALE,383.51
2010,Malta,MALE,333.75
2010,Malta,BOTHSEX,330.92
2010,Malta,FEMALE,277.91
2013,Malta,MALE,264.06
2013,Malta,BOTHSEX,266.1
2013,France,BOTHSEX,493.6
2013,France,MALE,506.65
2013,France,FEMALE,421.74
2013,Malta,FEMALE,331.9
2016,Malta,MALE,248.19
2016,Malta,FEMALE,209.21
2016,Malta,BOTHSEX,246.6
2020,Malta,MALE,370.89
2020,Malta,BOTHSEX,359.26
2020,Malta,FEMALE,150.44
2016,France,BOTHSEX,573.72
2016,France,FEMALE,488.4
2016,France,MALE,588.67
2020,France,MALE,655.98
2020,France,FEMALE,514.84
2020,France,BOTHSEX,633.57
2020,Georgia,MALE,45.19
2020,Georgia,FEMALE,42.33
2020,Georgia,BOTHSEX,44.73
2010,Netherlands,MALE,680.35
2010,Netherlands,BOTHSEX,675.78
2010,Netherlands,FEMALE,527.89
2010,Germany,FEMALE,435.79
2010,Germany,MALE,509.24
2010,Germany,BOTHSEX,504.29
2013,Netherlands,FEMALE,592.7
2013,Netherlands,MALE,771.86
2013,Netherlands,BOTHSEX,767.05
2013,Germany,MALE,590.34
2013,Germany,FEMALE,486.71
2013,Germany,BOTHSEX,582.99
2016,Netherlands,MALE,864.7
2016,Netherlands,BOTHSEX,857.8
2016,Netherlands,FEMALE,643.0
2020,Netherlands,MALE,874.76
2020,Netherlands,FEMALE,641.33
2020,Netherlands,BOTHSEX,866.4
2016,Germany,FEMALE,545.34
2016,Germany,MALE,677.81
2016,Germany,BOTHSEX,667.15
2020,Germany,BOTHSEX,657.63
2020,Germany,MALE,669.1
2020,Germany,FEMALE,529.6
2010,Greece,MALE,137.3
2010,Greece,FEMALE,119.51
2010,Greece,BOTHSEX,135.1
2010,Poland,BOTHSEX,205.34
2010,Poland,MALE,206.51
2010,Poland,FEMALE,196.95
2013,Poland,BOTHSEX,225.35
