Year,GeoAreaName,Value
2000,Bulgaria,6
2001,Bulgaria,6
2002,Bulgaria,11
2003,Bulgaria,11
2004,Bulgaria,11
2005,Bulgaria,11
2006,Bulgaria,85
2007,Bulgaria,85
2008,Bulgaria,85
2009,Bulgaria,85
2010,Bulgaria,85
2011,Bulgaria,85
2012,Bulgaria,85
2013,Bulgaria,85
2014,Bulgaria,85
2015,Bulgaria,86
2016,Bulgaria,86
2017,Bulgaria,87
2018,Bulgaria,88
2019,Bulgaria,92
2020,Bulgaria,95
2021,Bulgaria,95
2022,Bulgaria,96
2023,Bulgaria,96
2000,Poland,98
2001,Poland,98
2002,Poland,100
2003,Poland,101
2004,Poland,102
2005,Poland,102
2006,Poland,161
2007,Poland,161
2008,Poland,161
2009,Poland,161
2010,Poland,161
2011,Poland,161
2012,Poland,161
2013,Poland,161
2014,Poland,161
2015,Poland,161
2016,Poland,161
2017,Poland,162
2018,Poland,162
2019,Poland,162
2020,Poland,162
2021,Poland,162
2022,Poland,164
2023,Poland,164
2000,Portugal,28
2001,Portugal,28
2000,Belarus,7
2001,Belarus,7
2002,Belarus,7
2003,Belarus,11
2004,Belarus,12
2005,Belarus,12
2006,Belarus,19
2007,Belarus,19
2008,Belarus,19
2009,Belarus,19
2010,Belarus,19
2011,Belarus,19
2012,Belarus,19
2002,Portugal,28
2003,Portugal,28
2004,Portugal,37
2005,Portugal,37
2006,Portugal,50
2007,Portugal,50
2008,Portugal,50
2009,Portugal,50
2010,Portugal,50
2011,Portugal,50
2012,Portugal,50
2013,Portugal,50
2014,Portugal,50
2015,Portugal,50
2000,Albania,32
2001,Albania,32
2002,Albania,36
2003,Albania,36
2004,Albania,36
2005,Albania,36
2006,Albania,44
2007,Albania,44
2008,Albania,44
2009,Albania,44
2010,Albania,44
2011,Albania,44
2012,Albania,44
2013,Belarus,19
2014,Belarus,19
2015,Belarus,19
2016,Belarus,19
2017,Belarus,19
2018,Belarus,19
2019,Belarus,19
2020,Belarus,19
2021,Belarus,19
2022,Belarus,19
2023,Belarus,19
2000,Croatia,20
2001,Croatia,20
2016,Portugal,50
2017,Portugal,50
2018,Portugal,50
2019,Portugal,50
2020,Portugal,50
2021,Portugal,50
2022,Portugal,54
2023,Portugal,54
2000,Romania,96
2001,Romania,96
2002,Romania,96
2003,Romania,106
2004,Romania,106
2002,Croatia,20
2003,Croatia,20
2004,Croatia,20
2005,Croatia,28
2006,Croatia,43
2007,Croatia,43
2008,Croatia,43
2009,Croatia,43
2010,Croatia,43
2011,Croatia,43
2012,Croatia,43
2013,Croatia,43
2014,Croatia,43
2015,Croatia,43
2016,Croatia,43
2017,Croatia,43
2018,Croatia,43
2019,Croatia,49
2020,Croatia,50
2021,Croatia,50
2022,Croatia,50
2023,Croatia,50
2000,Cyprus,12
2001,Cyprus,12
2002,Cyprus,12
2003,Cyprus,12
2004,Cyprus,14
2005,Cyprus,15
2006,Cyprus,18
2005,Romania,106
2006,Romania,113
2007,Romania,113
2008,Romania,113
2009,Romania,113
2010,Romania,113
2011,Romania,113
2012,Romania,113
2013,Romania,113
2014,Romania,113
