Year,GeoAreaName,Age,Sex,Value
2000,Azerbaijan,<5Y,MALE,79.4
2000,Azerbaijan,<5Y,BOTHSEX,74.6
2000,Azerbaijan,<5Y,FEMALE,69.5
2001,Azerbaijan,<5Y,FEMALE,64.4
2001,Azerbaijan,<5Y,BOTHSEX,69.4
2001,Azerbaijan,<5Y,MALE,74.1
2002,Azerbaijan,<5Y,MALE,68.9
2002,Azerbaijan,<5Y,BOTHSEX,64.5
2002,Azerbaijan,<5Y,FEMALE,59.8
2003,Azerbaijan,<5Y,FEMALE,55.3
2003,Azerbaijan,<5Y,BOTHSEX,59.8
2003,Azerbaijan,<5Y,MALE,64.2
2004,Azerbaijan,<5Y,MALE,59.8
2004,Azerbaijan,<5Y,BOTHSEX,55.7
2004,Azerbaijan,<5Y,FEMALE,51.4
2005,Azerbaijan,<5Y,FEMALE,47.8
2005,Azerbaijan,<5Y,BOTHSEX,52.0
2005,Azerbaijan,<5Y,MALE,55.9
2006,Azerbaijan,<5Y,MALE,52.4
2006,Azerbaijan,<5Y,FEMALE,44.6
2006,Azerbaijan,<5Y,BOTHSEX,48.7
2007,Azerbaijan,<5Y,BOTHSEX,45.6
2007,Azerbaijan,<5Y,FEMALE,41.8
2007,Azerbaijan,<5Y,MALE,49.2
2008,Azerbaijan,<5Y,MALE,46.1
2008,Azerbaijan,<5Y,FEMALE,39.0
2008,Azerbaijan,<5Y,BOTHSEX,42.7
2009,Azerbaijan,<5Y,BOTHSEX,39.9
2009,Azerbaijan,<5Y,FEMALE,36.5
2009,Azerbaijan,<5Y,MALE,43.3
2010,Azerbaijan,<5Y,MALE,40.5
2010,Azerbaijan,<5Y,FEMALE,34.0
2010,Azerbaijan,<5Y,BOTHSEX,37.3
2011,Azerbaijan,<5Y,BOTHSEX,34.8
2011,Azerbaijan,<5Y,FEMALE,31.7
2011,Azerbaijan,<5Y,MALE,37.9
2012,Azerbaijan,<5Y,MALE,35.4
2012,Azerbaijan,<5Y,BOTHSEX,32.5
2012,Azerbaijan,<5Y,FEMALE,29.5
2013,Azerbaijan,<5Y,FEMALE,27.5
2013,Azerbaijan,<5Y,MALE,33.0
2013,Azerbaijan,<5Y,BOTHSEX,30.3
2014,Azerbaijan,<5Y,BOTHSEX,28.3
2014,Azerbaijan,<5Y,FEMALE,25.6
2014,Azerbaijan,<5Y,MALE,30.8
2015,Azerbaijan,<5Y,MALE,28.7
2015,Azerbaijan,<5Y,FEMALE,23.8
2015,Azerbaijan,<5Y,BOTHSEX,26.3
2016,Azerbaijan,<5Y,BOTHSEX,24.5
2016,Azerbaijan,<5Y,FEMALE,22.1
2016,Azerbaijan,<5Y,MALE,26.7
2017,Azerbaijan,<5Y,MALE,25.0
2017,Azerbaijan,<5Y,FEMALE,20.7
2017,Azerbaijan,<5Y,BOTHSEX,22.9
2018,Azerbaijan,<5Y,BOTHSEX,21.5
2018,Azerbaijan,<5Y,FEMALE,19.5
2018,Azerbaijan,<5Y,MALE,23.6
2019,Azerbaijan,<5Y,MALE,22.3
2019,Azerbaijan,<5Y,BOTHSEX,20.4
2019,Azerbaijan,<5Y,FEMALE,18.4
2000,Albania,<5Y,MALE,30.4
2000,Albania,<5Y,BOTHSEX,27.2
2000,Albania,<5Y,FEMALE,23.8
2001,Albania,<5Y,FEMALE,22.5
2001,Albania,<5Y,BOTHSEX,25.8
2001,Albania,<5Y,MALE,28.9
2002,Albania,<5Y,MALE,27.4
2002,Albania,<5Y,BOTHSEX,24.4
2002,Albania,<5Y,FEMALE,21.2
2003,Albania,<5Y,BOTHSEX,22.9
2003,Albania,<5Y,MALE,25.8
2003,Albania,<5Y,FEMALE,19.9
2004,Albania,<5Y,MALE,24.2
2004,Albania,<5Y,BOTHSEX,21.5
2004,Albania,<5Y,FEMALE,18.6
2005,Albania,<5Y,FEMALE,17.3
2005,Albania,<5Y,BOTHSEX,20.0
2005,Albania,<5Y,MALE,22.6
2006,Albania,<5Y,MALE,20.9
2006,Albania,<5Y,FEMALE,16.0
2020,Azerbaijan,<5Y,FEMALE,17.5
2020,Azerbaijan,<5Y,BOTHSEX,19.4
2020,Azerbaijan,<5Y,MALE,21.2
2021,Azerbaijan,<5Y,MALE,20.3
2021,Azerbaijan,<5Y,BOTHSEX,18.6
2021,Azerbaijan,<5Y,FEMALE,16.8
2000,Austria,<5Y,BOTHSEX,5.5
2000,Austria,<5Y,MALE,6.0
2000,Austria,<5Y,FEMALE,4.9
2001,Austria,<5Y,FEMALE,4.9
2006,Albania,<5Y,BOTHSEX,18.5
2007,Albania,<5Y,BOTHSEX,17.1
2007,Albania,<5Y,MALE,19.2
2007,Albania,<5Y,FEMALE,14.9
2008,Albania,<5Y,FEMALE,13.9
2008,Albania,<5Y,BOTHSEX,15.8
2008,Albania,<5Y,MALE,17.6
2009,Albania,<5Y,BOTHSEX,14.5
2009,Albania,<5Y,FEMALE,12.9
2009,Albania,<5Y,MALE,16.0
2001,Austria,<5Y,MALE,6.0
2001,Austria,<5Y,BOTHSEX,5.4
2002,Austria,<5Y,BOTHSEX,5.3
2002,Austria,<5Y,MALE,5.9
2002,Austria,<5Y,FEMALE,4.8
2003,Austria,<5Y,FEMALE,4.7
2003,Austria,<5Y,MALE,5.7
2003,Austria,<5Y,BOTHSEX,5.2
2004,Austria,<5Y,BOTHSEX,5.1
2004,Austria,<5Y,MALE,5.6
2010,Albania,<5Y,MALE,14.6
2010,Albania,<5Y,FEMALE,11.9
2010,Albania,<5Y,BOTHSEX,13.3
2011,Albania,<5Y,BOTHSEX,12.2
2011,Albania,<5Y,FEMALE,11.0
2011,Albania,<5Y,MALE,13.3
2012,Albania,<5Y,MALE,12.2
2012,Albania,<5Y,FEMALE,10.1
2012,Albania,<5Y,BOTHSEX,11.2
2013,Albania,<5Y,MALE,11.3
2004,Austria,<5Y,FEMALE,4.5
2005,Austria,<5Y,FEMALE,4.4
2005,Austria,<5Y,MALE,5.4
2005,Austria,<5Y,BOTHSEX,4.9
2006,Austria,<5Y,BOTHSEX,4.7
2006,Austria,<5Y,MALE,5.2
2006,Austria,<5Y,FEMALE,4.3
2007,Austria,<5Y,FEMALE,4.1
2007,Austria,<5Y,MALE,5.1
2007,Austria,<5Y,BOTHSEX,4.6
2008,Austria,<5Y,BOTHSEX,4.5
2008,Austria,<5Y,MALE,5.0
2008,Austria,<5Y,FEMALE,4.1
2009,Austria,<5Y,FEMALE,4.0
2009,Austria,<5Y,MALE,4.9
2009,Austria,<5Y,BOTHSEX,4.5
2010,Austria,<5Y,BOTHSEX,4.3
2010,Austria,<5Y,MALE,4.8
2010,Austria,<5Y,FEMALE,3.9
2011,Austria,<5Y,FEMALE,3.8
2011,Austria,<5Y,MALE,4.6
2011,Austria,<5Y,BOTHSEX,4.2
2012,Austria,<5Y,BOTHSEX,4.0
2012,Austria,<5Y,MALE,4.4
2012,Austria,<5Y,FEMALE,3.6
2013,Austria,<5Y,FEMALE,3.5
2013,Austria,<5Y,MALE,4.3
2013,Austria,<5Y,BOTHSEX,3.9
2014,Austria,<5Y,BOTHSEX,3.8
2014,Austria,<5Y,MALE,4.1
2014,Austria,<5Y,FEMALE,3.4
2015,Austria,<5Y,MALE,4.0
2015,Austria,<5Y,BOTHSEX,3.7
2015,Austria,<5Y,FEMALE,3.3
2016,Austria,<5Y,BOTHSEX,3.6
2016,Austria,<5Y,MALE,3.9
2016,Austria,<5Y,FEMALE,3.3
2017,Austria,<5Y,FEMALE,3.2
2017,Austria,<5Y,MALE,3.9
2017,Austria,<5Y,BOTHSEX,3.6
2018,Austria,<5Y,BOTHSEX,3.6
2018,Austria,<5Y,MALE,3.9
2018,Austria,<5Y,FEMALE,3.2
2019,Austria,<5Y,FEMALE,3.2
2019,Austria,<5Y,MALE,3.9
2019,Austria,<5Y,BOTHSEX,3.6
2020,Austria,<5Y,MALE,3.9
2020,Austria,<5Y,FEMALE,3.3
2020,Austria,<5Y,BOTHSEX,3.6
2021,Austria,<5Y,BOTHSEX,3.7
2013,Albania,<5Y,FEMALE,9.5
2013,Albania,<5Y,BOTHSEX,10.5
2014,Albania,<5Y,FEMALE,9.1
2014,Albania,<5Y,MALE,10.7
2014,Albania,<5Y,BOTHSEX,9.9
2015,Albania,<5Y,BOTHSEX,9.6
2015,Albania,<5Y,MALE,10.3
2015,Albania,<5Y,FEMALE,8.8
2016,Albania,<5Y,FEMALE,8.7
2016,Albania,<5Y,MALE,10.1
2000,Georgia,<5Y,FEMALE,32.2
2000,Georgia,<5Y,BOTHSEX,36.8
2000,Georgia,<5Y,MALE,41.2
2001,Georgia,<5Y,MALE,38.5
2001,Georgia,<5Y,BOTHSEX,34.3
2001,Georgia,<5Y,FEMALE,30.0
2002,Georgia,<5Y,MALE,35.5
2002,Georgia,<5Y,FEMALE,27.6
2002,Georgia,<5Y,BOTHSEX,31.7
2003,Georgia,<5Y,MALE,32.5
2016,Albania,<5Y,BOTHSEX,9.4
2017,Albania,<5Y,BOTHSEX,9.3
2017,Albania,<5Y,MALE,10.0
2017,Albania,<5Y,FEMALE,8.6
2018,Albania,<5Y,MALE,10.0
2018,Albania,<5Y,BOTHSEX,9.3
2018,Albania,<5Y,FEMALE,8.6
2019,Albania,<5Y,BOTHSEX,9.4
2019,Albania,<5Y,MALE,10.1
2019,Albania,<5Y,FEMALE,8.6
2021,Austria,<5Y,MALE,4.0
2021,Austria,<5Y,FEMALE,3.3
2000,Armenia,<5Y,FEMALE,27.4
2000,Armenia,<5Y,BOTHSEX,30.7
2000,Armenia,<5Y,MALE,33.7
2001,Armenia,<5Y,MALE,32.1
2001,Armenia,<5Y,BOTHSEX,29.2
2001,Armenia,<5Y,FEMALE,26.1
2002,Armenia,<5Y,FEMALE,24.8
2002,Armenia,<5Y,BOTHSEX,27.8
2000,Croatia,<5Y,MALE,9.1
2000,Croatia,<5Y,FEMALE,7.5
2000,Croatia,<5Y,BOTHSEX,8.3
2001,Croatia,<5Y,BOTHSEX,8.0
2001,Croatia,<5Y,FEMALE,7.2
2001,Croatia,<5Y,MALE,8.7
2002,Croatia,<5Y,MALE,8.3
2002,Croatia,<5Y,FEMALE,7.0
2002,Croatia,<5Y,BOTHSEX,7.7
2003,Croatia,<5Y,BOTHSEX,7.3
2020,Albania,<5Y,FEMALE,8.7
2020,Albania,<5Y,MALE,10.1
2020,Albania,<5Y,BOTHSEX,9.4
2021,Albania,<5Y,BOTHSEX,9.5
2021,Albania,<5Y,MALE,10.2
2021,Albania,<5Y,FEMALE,8.7
2000,Lithuania,<5Y,MALE,11.8
2000,Lithuania,<5Y,BOTHSEX,10.7
2000,Lithuania,<5Y,FEMALE,9.6
2001,Lithuania,<5Y,FEMALE,9.2
