Year,GeoAreaName,Value
2000,Albania,45
2005,Albania,55
2010,Albania,59
2015,Albania,62
2017,Albania,62
2019,Albania,62
2000,Azerbaijan,44
2005,Azerbaijan,39
2010,Azerbaijan,53
2015,Azerbaijan,61
2017,Azerbaijan,63
2019,Azerbaijan,65
2000,Austria,66
2005,Austria,72
2010,Austria,76
2015,Austria,79
2017,Austria,81
2019,Austria,82
2000,Armenia,46
2005,Armenia,46
2010,Armenia,57
2015,Armenia,65
2017,Armenia,68
2019,Armenia,69
2000,Belgium,76
2005,Belgium,79
2010,Belgium,82
2015,Belgium,84
2017,Belgium,85
2019,Belgium,85
2000,Bosnia and Herzegovina,43
2005,Bosnia and Herzegovina,59
2010,Bosnia and Herzegovina,59
2015,Bosnia and Herzegovina,62
2017,Bosnia and Herzegovina,65
2019,Bosnia and Herzegovina,65
2000,Bulgaria,67
2005,Bulgaria,63
2010,Bulgaria,63
2015,Bulgaria,66
2017,Bulgaria,67
2019,Bulgaria,70
2000,Belarus,50
2005,Belarus,55
2010,Belarus,65
2015,Belarus,69
2017,Belarus,71
2019,Belarus,74
2000,Croatia,67
2005,Croatia,69
2010,Croatia,70
2015,Croatia,71
2017,Croatia,72
2019,Croatia,73
2000,Cyprus,53
2005,Cyprus,68
2010,Cyprus,72
2015,Cyprus,77
2017,Cyprus,79
2019,Cyprus,79
2000,Czechia,72
2005,Czechia,71
2010,Czechia,73
2015,Czechia,76
2017,Czechia,78
2019,Czechia,78
2000,Denmark,77
2005,Denmark,78
2010,Denmark,80
2015,Denmark,83
2017,Denmark,84
2019,Denmark,85
2000,Estonia,60
2005,Estonia,61
2010,Estonia,71
2015,Estonia,75
2017,Estonia,77
2019,Estonia,78
2000,Finland,75
2005,Finland,80
2010,Finland,82
2015,Finland,84
2017,Finland,83
2019,Finland,83
2000,France,81
2005,France,82
2010,France,83
2015,France,83
2017,France,84
2019,France,84
2000,Georgia,45
2005,Georgia,57
2010,Georgia,63
2015,Georgia,65
2017,Georgia,65
2019,Georgia,65
2000,Germany,76
2005,Germany,80
2010,Germany,82
2015,Germany,84
2017,Germany,85
2019,Germany,86
2000,Greece,66
2005,Greece,70
2010,Greece,72
2015,Greece,75
2017,Greece,77
2019,Greece,78
2000,Hungary,67
2005,Hungary,67
2010,Hungary,67
2015,Hungary,70
2017,Hungary,71
2019,Hungary,73
2000,Iceland,77
2005,Iceland,81
2010,Iceland,83
2015,Iceland,85
2017,Iceland,86
2019,Iceland,87
2000,Ireland,75
2005,Ireland,78
2010,Ireland,79
2015,Ireland,82
2017,Ireland,82
2019,Ireland,83
2000,Italy,70
2005,Italy,76
2010,Italy,79
2015,Italy,81
2017,Italy,82
2019,Italy,83
2000,Kazakhstan,39
2005,Kazakhstan,57
2010,Kazakhstan,64
2015,Kazakhstan,71
2017,Kazakhstan,73
