Year,GeoAreaName,Value
2019,Albania,40
2019,Azerbaijan,15
2019,Austria,0
2019,Armenia,6
2019,Belgium,0
2019,Bosnia and Herzegovina,72
2019,Belarus,3
2019,Croatia,0
2019,Cyprus,0
2019,Czechia,0
2019,Denmark,0
2019,Estonia,0
2019,Finland,0
2019,France,0
2019,Georgia,29
2019,Germany,0
2019,Greece,0
2019,Hungary,0
2019,Iceland,0
2019,Ireland,0
2019,Italy,0
2019,Kazakhstan,19
2019,Kyrgyzstan,48
2019,Latvia,0
2019,Lithuania,0
2019,Luxembourg,0
2019,Malta,0
2019,Republic of Moldova,13
2019,Montenegro,66
2019,Netherlands,0
2019,Norway,0
2019,Poland,0
2019,Portugal,0
2019,Romania,26
2019,Serbia,32
2019,Slovakia,0
2019,Slovenia,0
2019,Spain,0
2019,Sweden,0
2019,Switzerland,0
2019,Tajikistan,61
2019,Türkiye,7
2019,Turkmenistan,2
2019,Ukraine,15
2019,North Macedonia,41
2019,Uzbekistan,46
2019,Uzbekistan,46
