Year,GeoAreaName,Education level,Value
2017,Albania,UPPSEC,76.19048
2018,Albania,UPPSEC,90.90909
2018,Albania,PRIMAR,46.76692
2018,Albania,LOWSEC,68.32714
2018,Albania,SECOND,74.40217
2019,Albania,SECOND,85.90034
2019,Albania,LOWSEC,83.92435
2019,Albania,PRIMAR,50.70873
2019,Albania,UPPSEC,90.94567
2020,Albania,PRIMAR,56.81391
2012,Netherlands,LOWSEC,100.0
2013,Netherlands,LOWSEC,100.0
2013,Netherlands,SECOND,100.0
2013,Netherlands,PRIMAR,100.0
2013,Netherlands,UPPSEC,100.0
2014,Netherlands,UPPSEC,100.0
2014,Netherlands,SECOND,100.0
2014,Netherlands,PRIMAR,100.0
2014,Netherlands,LOWSEC,100.0
2015,Netherlands,LOWSEC,100.0
2015,Netherlands,SECOND,100.0
2015,Netherlands,PRIMAR,100.0
2015,Netherlands,UPPSEC,100.0
2016,Netherlands,UPPSEC,100.0
2016,Netherlands,SECOND,100.0
2016,Netherlands,PRIMAR,100.0
2016,Netherlands,LOWSEC,100.0
2017,Netherlands,LOWSEC,100.0
2017,Netherlands,SECOND,100.0
2017,Netherlands,PRIMAR,100.0
2020,Albania,UPPSEC,100.0
2020,Albania,LOWSEC,100.0
2020,Albania,SECOND,100.0
2021,Albania,SECOND,70.77844
2021,Albania,LOWSEC,72.26962
2021,Albania,PRIMAR,72.26962
2021,Albania,UPPSEC,67.26908
2016,Azerbaijan,SECOND,56.60707
2016,Azerbaijan,LOWSEC,52.66731
2016,Azerbaijan,PRIMAR,49.19319
2016,Azerbaijan,UPPSEC,61.5083
2017,Azerbaijan,UPPSEC,65.60145
2017,Azerbaijan,PRIMAR,52.53819
2017,Azerbaijan,LOWSEC,56.57448
2017,Azerbaijan,SECOND,60.59954
2018,Azerbaijan,SECOND,61.67922
2018,Azerbaijan,LOWSEC,57.56987
2018,Azerbaijan,PRIMAR,53.62776
2018,Azerbaijan,UPPSEC,66.77721
2019,Azerbaijan,UPPSEC,67.75068
2017,Netherlands,UPPSEC,100.0
