Year,GeoAreaName,Location,Value
2017,Albania,RURAL,10
2019,Albania,RURAL,10
2022,Albania,RURAL,10
2012,Azerbaijan,RURAL,10
2014,Azerbaijan,RURAL,10
2017,Azerbaijan,RURAL,10
2019,Azerbaijan,RURAL,10
2022,Azerbaijan,RURAL,10
2019,Austria,RURAL,10
2017,Bosnia and Herzegovina,RURAL,10
2019,Bosnia and Herzegovina,RURAL,10
2022,Bosnia and Herzegovina,RURAL,10
2014,Belarus,RURAL,5
2017,Belarus,RURAL,10
2019,Belarus,RURAL,10
2014,Lithuania,RURAL,10
2017,Lithuania,RURAL,10
2019,Lithuania,RURAL,10
2014,Republic of Moldova,RURAL,5
2019,Montenegro,RURAL,5
2022,Belarus,RURAL,10
2022,Croatia,RURAL,10
2014,Estonia,RURAL,10
2022,Estonia,RURAL,10
2014,Georgia,RURAL,5
2022,Montenegro,RURAL,10
2019,Netherlands,RURAL,10
2022,Norway,RURAL,5
2022,Romania,RURAL,10
2014,Serbia,RURAL,10
2017,Georgia,RURAL,10
2019,Georgia,RURAL,10
2022,Georgia,RURAL,10
2022,Greece,RURAL,10
2019,Hungary,RURAL,10
2022,Hungary,RURAL,10
2022,Italy,RURAL,10
2010,Kazakhstan,RURAL,0
2014,Kazakhstan,RURAL,10
2022,Kazakhstan,RURAL,10
2017,Serbia,RURAL,10
2019,Serbia,RURAL,10
2022,Serbia,RURAL,10
2012,Tajikistan,RURAL,10
2014,Tajikistan,RURAL,10
2012,Kyrgyzstan,RURAL,10
2014,Kyrgyzstan,RURAL,10
2017,Kyrgyzstan,RURAL,5
2019,Kyrgyzstan,RURAL,5
2022,Kyrgyzstan,RURAL,10
2017,Tajikistan,RURAL,10
2019,Tajikistan,RURAL,10
2022,Tajikistan,RURAL,10
2022,Turkmenistan,RURAL,10
2014,Ukraine,RURAL,10
2017,Ukraine,RURAL,10
2019,Ukraine,RURAL,10
2022,Ukraine,RURAL,10
2014,North Macedonia,RURAL,10
2012,Uzbekistan,RURAL,10
2017,Uzbekistan,RURAL,0
2019,Uzbekistan,RURAL,5
2022,Uzbekistan,RURAL,10
2022,Uzbekistan,RURAL,10
