Year,GeoAreaName,Value
2005,Albania,0
2006,Albania,0
2007,Albania,0
2008,Albania,0
2009,Albania,4
2010,Albania,2
2011,Albania,1
2012,Albania,1
2013,Albania,0
2014,Albania,0
2015,Albania,0
2016,Albania,1
2018,Albania,1
2019,Albania,1
2020,Albania,0
2017,Armenia,0
2018,Armenia,0
2020,Armenia,1
2021,Armenia,0
2007,Bulgaria,3
2008,Bulgaria,0
2010,Bulgaria,2
2011,Bulgaria,0
2012,Bulgaria,8
2013,Bulgaria,0
2014,Bulgaria,1
2015,Bulgaria,3
2016,Bulgaria,2
2019,Bulgaria,2
2020,Bulgaria,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2017,Croatia,0
2015,Czechia,0
2016,Czechia,0
2017,Czechia,0
2005,Estonia,0
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,0
2011,Estonia,0
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2015,Finland,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2015,Georgia,1
2016,Georgia,0
2017,Georgia,0
2018,Georgia,0
2019,Georgia,0
2021,Georgia,0
2016,Ireland,0
2005,Kazakhstan,0
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,0
2015,Kazakhstan,0
2016,Kazakhstan,0
2017,Kazakhstan,7
2018,Kazakhstan,3
2019,Kazakhstan,1
2020,Kazakhstan,3
2015,Kyrgyzstan,16
2016,Kyrgyzstan,8
2017,Kyrgyzstan,11
2018,Kyrgyzstan,3
2019,Kyrgyzstan,1
2020,Lithuania,0
2020,Montenegro,0
2021,Montenegro,0
2017,Netherlands,0
2019,Netherlands,0
2021,Portugal,0
2005,Romania,1802
2006,Romania,12006
2007,Romania,7
2008,Romania,58011
2009,Romania,613
2010,Romania,517
2011,Romania,9
2012,Romania,10911
2013,Romania,10
2014,Romania,8
2015,Romania,6301
2016,Romania,9
2017,Romania,87413
2018,Romania,33
2019,Romania,6
2020,Romania,8
2021,Romania,1
2020,Serbia,1
2021,Serbia,0
2019,Slovenia,2
2020,Slovenia,0
2021,Slovenia,0
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,0
2005,Switzerland,588
2006,Switzerland,500
2007,Switzerland,413
2008,Switzerland,402
2009,Switzerland,711
2010,Switzerland,403
2011,Switzerland,641
2012,Switzerland,523
2013,Switzerland,445
2014,Switzerland,409
2015,Switzerland,457
2016,Switzerland,310
2017,Switzerland,357
2018,Switzerland,624
2019,Switzerland,336
2020,Switzerland,577
2015,Tajikistan,5
2016,Tajikistan,0
2017,Tajikistan,4
2018,Tajikistan,21
2019,Tajikistan,2
2015,Türkiye,5
2016,Türkiye,3
2017,Türkiye,2
2018,Türkiye,4
2019,Türkiye,14
2020,Türkiye,13
2021,Türkiye,5
2019,Turkmenistan,0
2005,Ukraine,1
2006,Ukraine,2
2007,Ukraine,20
2008,Ukraine,249
2009,Ukraine,6
2010,Ukraine,9
2011,Ukraine,1
2013,Ukraine,5
2014,Ukraine,2
2015,Ukraine,1
2016,Ukraine,41
2017,Ukraine,18
2018,Ukraine,19
2019,Ukraine,45
2020,Ukraine,76
2021,Ukraine,12
2019,Uzbekistan,0
2019,Uzbekistan,0
