Year,GeoAreaName,Type of waste treatment,Value
2010,Albania,RECYCL,98366.0
2010,Albania,INCINRT_EGY,264.0
2012,Albania,RECYCL,42127.0
2012,Albania,INCINRT_EGY,139.0
2013,Albania,RECYCL,0.0
2014,Albania,LANDFIL,0.0
2014,Albania,OTHERWM,0.0
2014,Albania,INCINRT_EGY,2286.0
2014,Albania,RECYCL,56251.0
2014,Albania,INCINRT,0.0
2015,Albania,RECYCL,0.0
2016,Albania,RECYCL,57403.0
2016,Albania,INCINRT_EGY,4554.0
2018,Albania,RECYCL,55921.0
2018,Albania,INCINRT_EGY,11474.0
2020,Albania,RECYCL,78209.0
2020,Albania,INCINRT_EGY,5604.0
2000,Azerbaijan,RECYCL,11435.0
2000,Azerbaijan,LANDFIL,15348.0
2001,Azerbaijan,RECYCL,395.0
2001,Azerbaijan,LANDFIL,4532.0
2002,Azerbaijan,LANDFIL,1607.0
2002,Azerbaijan,RECYCL,728.0
2002,Azerbaijan,INCINRT,1007.0
2003,Azerbaijan,INCINRT,9747.0
2018,Denmark,LANDFIL,139322.0
2020,Denmark,RECYCL,9334607.0
2020,Denmark,OTHERWM,830.0
2020,Denmark,LANDFIL,95687.0
2020,Denmark,INCINRT_EGY,217250.0
2020,Denmark,INCINRT,939.0
2004,Estonia,OTHERWM,298.0
2004,Estonia,INCINRT,477.0
2004,Estonia,INCINRT_EGY,44094.0
2004,Estonia,LANDFIL,6643259.0
2006,Estonia,INCINRT,40.0
2006,Estonia,LANDFIL,6315240.0
2006,Estonia,OTHERWM,221300.0
2003,Azerbaijan,RECYCL,1359.0
2003,Azerbaijan,LANDFIL,386.0
2004,Azerbaijan,RECYCL,3836.0
2004,Azerbaijan,INCINRT,969.0
2004,Azerbaijan,LANDFIL,100360.0
2005,Azerbaijan,INCINRT,38.0
2005,Azerbaijan,RECYCL,4911.0
2005,Azerbaijan,LANDFIL,622.0
2006,Azerbaijan,INCINRT,25999.0
2006,Azerbaijan,RECYCL,3263.0
2006,Azerbaijan,LANDFIL,1406220.0
2006,Estonia,INCINRT_EGY,32647.0
2008,Estonia,OTHERWM,0.0
2008,Estonia,LANDFIL,6429778.0
2008,Estonia,INCINRT_EGY,36806.0
2008,Estonia,INCINRT,0.0
2010,Estonia,INCINRT,0.0
2010,Estonia,RECYCL,143043.0
2010,Estonia,INCINRT_EGY,15968.0
2010,Estonia,OTHERWM,0.0
2010,Estonia,LANDFIL,7979192.0
2012,Estonia,OTHERWM,0.0
2012,Estonia,INCINRT,38.0
2012,Estonia,RECYCL,22364.0
2007,Azerbaijan,RECYCL,4926.0
2007,Azerbaijan,LANDFIL,1510.0
2007,Azerbaijan,INCINRT,1241.0
2008,Azerbaijan,INCINRT,8599.0
