Year,GeoAreaName,Frequency of Chlorophyll-a concentration,Value
2018,Belgium,High,6.22509
2018,Belgium,Moderate,7.48846
2018,Belgium,Extreme,0.49942
2019,Belgium,Moderate,5.87594
2019,Belgium,Extreme,0.83136
2019,Belgium,High,6.67827
2020,Belgium,Moderate,5.17142
2020,Belgium,High,5.69607
2020,Belgium,Extreme,0.50994
2021,Belgium,Moderate,11.37177
2021,Belgium,High,10.84895
2021,Belgium,Extreme,1.24598
2018,Bulgaria,Extreme,0.47301
2018,Bulgaria,Moderate,6.24353
2018,Bulgaria,High,4.52404
2019,Bulgaria,Moderate,4.30863
2019,Bulgaria,Extreme,0.5706
2019,Bulgaria,High,4.05743
2020,Bulgaria,High,4.45551
2020,Bulgaria,Moderate,4.93738
2020,Bulgaria,Extreme,0.35153
2021,Bulgaria,Moderate,3.81995
2021,Bulgaria,High,2.05318
2021,Bulgaria,Extreme,0.22325
2018,Croatia,Extreme,0.33455
2018,Croatia,Moderate,3.18023
2018,Croatia,High,2.15491
2019,Croatia,Moderate,3.83212
2019,Croatia,High,2.47882
2019,Croatia,Extreme,0.44028
2020,Croatia,High,2.01541
2020,Croatia,Extreme,0.11386
2020,Croatia,Moderate,3.28837
2021,Croatia,High,2.84477
2021,Croatia,Moderate,3.25959
2021,Croatia,Extreme,0.35469
2018,Cyprus,Extreme,0.02791
2018,Cyprus,High,0.51197
2018,Cyprus,Moderate,2.8159
2019,Cyprus,High,0.34937
2019,Cyprus,Extreme,0.03737
2019,Cyprus,Moderate,2.9884
2020,Cyprus,Extreme,0.05004
2020,Cyprus,Moderate,4.98842
2020,Cyprus,High,1.05946
2021,Cyprus,Moderate,3.87397
2021,Cyprus,Extreme,0.07353
2021,Cyprus,High,0.81386
2018,Denmark,Moderate,6.48186
2018,Denmark,High,7.48828
2018,Denmark,Extreme,2.58966
2019,Denmark,Moderate,6.73485
2019,Denmark,Extreme,2.19431
2019,Denmark,High,6.62881
2020,Denmark,Extreme,2.00696
2020,Denmark,Moderate,4.535
2020,Denmark,High,6.23495
2021,Denmark,Extreme,1.27838
2021,Denmark,Moderate,6.09479
2021,Denmark,High,5.32478
2018,Estonia,Extreme,8.26977
2018,Estonia,Moderate,6.15175
2018,Estonia,High,10.06738
2019,Estonia,Moderate,9.32853
2019,Estonia,Extreme,2.96392
2019,Estonia,High,10.56473
2020,Estonia,High,4.93163
2020,Estonia,Extreme,1.30899
2020,Estonia,Moderate,5.7449
2021,Estonia,Moderate,8.21546
2021,Estonia,Extreme,2.78651
2021,Estonia,High,11.03257
2018,Finland,High,10.39131
2018,Finland,Extreme,8.67561
2018,Finland,Moderate,6.75271
2019,Finland,Moderate,8.63226
2019,Finland,Extreme,3.87616
2019,Finland,High,10.87248
2020,Finland,Extreme,1.29457
2020,Finland,Moderate,5.21577
2020,Finland,High,5.11911
2021,Finland,Extreme,1.82416
2021,Finland,High,9.07453
2021,Finland,Moderate,8.94727
2018,France,High,2.37091
2018,France,Moderate,7.6712
2018,France,Extreme,0.45389
2019,France,High,8.94218
2019,France,Moderate,6.48408
2019,France,Extreme,0.69235
2020,France,Extreme,0.0
2020,France,High,3.21692
2020,France,Moderate,3.71015
2021,France,Moderate,4.0652
2021,France,High,6.3252
2021,France,Extreme,1.44493
2018,Georgia,Extreme,0.27761
2018,Georgia,High,2.68556
2018,Georgia,Moderate,5.24545
2019,Georgia,Moderate,5.33925
2019,Georgia,Extreme,0.56191
2019,Georgia,High,4.25811
2020,Georgia,Moderate,6.74078
2020,Georgia,High,3.59548
2020,Georgia,Extreme,0.09982
2021,Georgia,Moderate,5.17084
2021,Georgia,High,2.52414
2021,Georgia,Extreme,0.33049
2018,Germany,High,7.15726
2018,Germany,Extreme,1.81561
2018,Germany,Moderate,7.0647
2019,Germany,Moderate,6.0918
2019,Germany,Extreme,1.4095
2019,Germany,High,5.73943
2020,Germany,Extreme,1.85413
2020,Germany,Moderate,4.65744
2020,Germany,High,5.12419
2018,Albania,High,3.34498
2018,Albania,Moderate,4.97492
2018,Albania,Extreme,0.48617
2019,Albania,Extreme,0.67904
2019,Albania,High,3.87968
2019,Albania,Moderate,4.97701
2020,Albania,Moderate,4.07618
2020,Albania,High,3.54833
2020,Albania,Extreme,0.30194
2021,Albania,Moderate,5.67499
2021,Albania,High,6.04622
2021,Albania,Extreme,0.96543
2018,Azerbaijan,High,6.79933
2021,Germany,Moderate,5.41035
2021,Germany,High,4.26262
2021,Germany,Extreme,1.12432
2018,Greece,High,0.83339
2018,Greece,Moderate,2.54734
2018,Greece,Extreme,0.15239
2019,Greece,Extreme,0.2441
2019,Greece,High,1.08827
2019,Greece,Moderate,2.57551
2020,Greece,Moderate,2.23013
2020,Greece,High,1.06861
2020,Greece,Extreme,0.11645
2021,Greece,Extreme,0.88685
2021,Greece,High,2.26059
2021,Greece,Moderate,3.24463
2018,Iceland,Extreme,2.10798
2018,Iceland,High,8.99441
2018,Iceland,Moderate,4.23251
2019,Iceland,High,10.91583
2019,Iceland,Extreme,1.49536
2019,Iceland,Moderate,13.27296
2020,Iceland,Moderate,6.42171
2020,Iceland,High,9.6728
2020,Iceland,Extreme,2.48184
2021,Iceland,Extreme,0.19964
2021,Iceland,Moderate,6.80729
2021,Iceland,High,4.23773
2018,Ireland,Extreme,1.1294
2018,Ireland,High,6.90833
2018,Ireland,Moderate,6.58704
2019,Ireland,Moderate,7.42729
2019,Ireland,High,6.54218
2019,Ireland,Extreme,1.05415
2020,Ireland,Extreme,3.06013
2020,Ireland,High,7.41496
2020,Ireland,Moderate,5.86139
2021,Ireland,Extreme,1.02929
2021,Ireland,High,5.02936
2021,Ireland,Moderate,6.57373
2018,Italy,Moderate,5.20881
2018,Italy,Extreme,0.44421
2018,Italy,High,2.95002
2019,Italy,Moderate,5.15404
2019,Italy,Extreme,0.58006
2019,Italy,High,2.92456
2020,Italy,High,1.96348
2020,Italy,Extreme,0.32231
2020,Italy,Moderate,3.67455
2021,Italy,Extreme,0.52112
2021,Italy,Moderate,5.09195
2021,Italy,High,3.32783
2018,Kazakhstan,Moderate,7.44578
2018,Kazakhstan,High,6.65817
2018,Kazakhstan,Extreme,0.54393
2019,Kazakhstan,Moderate,6.72797
2019,Kazakhstan,High,5.97132
2019,Kazakhstan,Extreme,0.98533
2020,Kazakhstan,Moderate,6.02158
2020,Kazakhstan,High,5.46935
2020,Kazakhstan,Extreme,1.49061
2021,Kazakhstan,Moderate,5.95935
2021,Kazakhstan,High,4.52949
2021,Kazakhstan,Extreme,0.50959
2018,Latvia,Extreme,7.8312
2018,Latvia,High,11.01573
2018,Latvia,Moderate,6.81062
2019,Latvia,High,10.64393
2019,Latvia,Extreme,1.97327
2019,Latvia,Moderate,8.22425
2020,Latvia,High,7.94
2020,Latvia,Moderate,6.25967
2020,Latvia,Extreme,1.5689
2021,Latvia,Extreme,2.96617
2021,Latvia,High,8.99734
2021,Latvia,Moderate,8.62578
2018,Lithuania,Moderate,6.9854
2018,Lithuania,Extreme,10.15593
2018,Lithuania,High,10.4738
2019,Lithuania,Extreme,2.01001
2019,Lithuania,High,10.81025
2019,Lithuania,Moderate,9.78321
2020,Lithuania,High,5.49008
2020,Lithuania,Extreme,1.41386
2020,Lithuania,Moderate,6.65593
2021,Lithuania,High,10.0882
2021,Lithuania,Extreme,3.02413
2021,Lithuania,Moderate,8.85603
2018,Malta,Moderate,3.43227
