Year,GeoAreaName,Age,Disability status,Population Group,Sex,Type of occupation,Value
2021,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.73
2022,Austria,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.74
2022,Austria,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.17
2021,Bosnia and Herzegovina,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.17
2020,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.57
2020,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.74
2021,Croatia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.01
2021,Croatia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.55
2021,Croatia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.65
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.92
2020,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.75
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.43
2021,Cyprus,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.92
2021,Cyprus,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.84
2021,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.46
2022,Czechia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.45
2019,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.71
2020,Denmark,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.7
2020,Denmark,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.62
2020,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.53
2020,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.24
2021,Estonia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.4
2021,Estonia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.4
2021,Estonia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.53
2021,Estonia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.16
2020,Finland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.21
2020,Finland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.4
2019,Germany,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.69
2021,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.41
2021,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.94
2022,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.43
2022,Kazakhstan,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.95
2022,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.26
2022,Kazakhstan,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.1
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.72
2021,Latvia,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.3
2021,Latvia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.78
2021,Latvia,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.27
2020,Liechtenstein,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.17
2020,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.87
2021,Lithuania,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.92
2021,Lithuania,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.05
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.47
2019,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.0
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.38
2021,Republic of Moldova,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.05
2021,Republic of Moldova,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,2.02
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.42
2018,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.68
2020,Poland,ALLAGE,PD,TOTAL,BOTHSEX,REGISTRARS,0.21
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,JUDGES,0.12
2020,Poland,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.75
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.41
2020,Poland,ALLAGE,_T,TOTAL,FEMALE,JUDGES,0.61
2020,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.93
2021,Slovakia,ALLAGE,_T,TOTAL,FEMALE,REGISTRARS,1.9
2021,Slovakia,<45Y,_T,TOTAL,BOTHSEX,REGISTRARS,1.16
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.56
2022,Spain,ALLAGE,_T,TOTAL,FEMALE,JUDGES,1.56
