Year,GeoAreaName,Value
1984,Albania,8.58
1985,Albania,8.58
1986,Albania,8.0
1987,Albania,8.0
1988,Albania,8.0
1989,Albania,8.0
1990,Albania,8.0
1991,Albania,14.4
1992,Albania,75.0325
1993,Albania,102.0625
1994,Albania,94.6233
1995,Albania,92.6975
1996,Albania,104.4989
1997,Albania,146.7
1998,Albania,151.16
1999,Albania,138.1
2000,Albania,144.008
2001,Albania,143.66
2002,Albania,140.4058
2003,Albania,120.7767
2004,Albania,102.6706
2005,Albania,99.8703
2006,Albania,98.1034
2007,Albania,90.4279
2008,Albania,83.8946
2009,Albania,94.9781
2010,Albania,103.9367
2011,Albania,100.8958
2012,Albania,108.1842
2013,Albania,105.6692
1994,Bulgaria,0.0542
1995,Bulgaria,0.0672
1996,Bulgaria,0.1779
1997,Bulgaria,1.6819
1998,Bulgaria,1.7604
1999,Bulgaria,1.8377
2000,Bulgaria,2.1233
2001,Bulgaria,2.1847
2002,Bulgaria,2.077
2003,Bulgaria,1.7327
2004,Bulgaria,1.5751
2005,Bulgaria,1.5741
2006,Bulgaria,1.5593
2007,Bulgaria,1.429
2008,Bulgaria,1.3371
2009,Bulgaria,1.4067
2010,Bulgaria,1.4774
2011,Bulgaria,1.4065
2012,Bulgaria,1.522
2013,Bulgaria,1.4736
1960,Germany,2.14743
1961,Germany,2.06221
1962,Germany,2.04517
1963,Germany,2.04517
1964,Germany,2.04517
1965,Germany,2.04517
1966,Germany,2.04517
1967,Germany,2.04517
1968,Germany,2.04517
1969,Germany,2.01619
2014,Albania,105.48
2015,Albania,125.9617
2016,Albania,124.1425
2017,Albania,119.1
2018,Albania,107.9892
2019,Albania,109.8508
2020,Albania,108.65
2021,Albania,103.52
1990,Azerbaijan,3.31000000238e-05
1991,Azerbaijan,6.07800006866e-05
2014,Bulgaria,1.4742
2015,Bulgaria,1.7644
2016,Bulgaria,1.768
2017,Bulgaria,1.7355
2018,Bulgaria,1.657
2019,Bulgaria,1.747
2020,Bulgaria,1.7163
2021,Bulgaria,1.6538
1990,Belarus,0.0
1991,Belarus,0.0
1992,Belarus,0.0
1993,Belarus,1e-05
1994,Belarus,0.00012
1995,Belarus,0.00087
1996,Belarus,0.0013
1997,Belarus,0.0026
1998,Belarus,0.00461
1999,Belarus,0.02493
2000,Belarus,0.07171
2001,Belarus,0.139
2015,Luxembourg,0.9013
2016,Luxembourg,0.90342
2017,Luxembourg,0.88521
2018,Luxembourg,0.84677
2019,Luxembourg,0.89328
2020,Luxembourg,0.87551
2021,Luxembourg,0.84549
1970,Malta,0.9706
1971,Malta,0.9483
1972,Malta,0.8888
1973,Malta,0.8591
1974,Malta,0.8979
1975,Malta,0.8963
1976,Malta,0.9903
1977,Malta,0.9837
1978,Malta,0.8977
1979,Malta,0.835
1980,Malta,0.8046
1981,Malta,0.9008
1982,Malta,0.96
1983,Malta,1.0073
1984,Malta,1.0739
1985,Malta,1.0928
1986,Malta,0.9154
1987,Malta,0.8048
1988,Malta,0.7707
1989,Malta,0.8118
1990,Malta,0.7403
1991,Malta,0.753
1992,Malta,0.7429
1992,Azerbaijan,0.0108
1993,Azerbaijan,0.02
1994,Azerbaijan,0.314
1995,Azerbaijan,0.8827
1996,Azerbaijan,0.8603
1997,Azerbaijan,0.7971
1998,Azerbaijan,0.7738
1999,Azerbaijan,0.824
2000,Azerbaijan,0.8948
2001,Azerbaijan,0.9313
1993,Malta,0.8905
1994,Malta,0.8803
1995,Malta,0.8224
1996,Malta,0.8396
1997,Malta,0.8991
1998,Malta,0.9049
1999,Malta,0.9292
2000,Malta,1.0206
2001,Malta,1.0483
2002,Malta,1.0101
2002,Azerbaijan,0.9722
2003,Azerbaijan,0.9821
2004,Azerbaijan,0.9827
2005,Azerbaijan,0.9454
2006,Azerbaijan,0.8934
2007,Azerbaijan,0.8581
2008,Azerbaijan,0.8216
2009,Azerbaijan,0.8038
2010,Azerbaijan,0.8026
2011,Azerbaijan,0.7897
2003,Malta,0.8787
2004,Malta,0.8028
2005,Malta,0.8041
2006,Malta,0.7971
2007,Malta,0.7306
2008,Malta,0.6827
2009,Malta,0.7198
2010,Malta,0.7543
2011,Malta,0.7184
2012,Malta,0.7783
2002,Belarus,0.1791
2003,Belarus,0.2051
2004,Belarus,0.216
2005,Belarus,0.2154
2006,Belarus,0.2145
2007,Belarus,0.2146
2008,Belarus,0.2136
2009,Belarus,0.2793
2010,Belarus,0.2979
2011,Belarus,0.4975
1970,Germany,1.8713
1971,Germany,1.7933
1972,Germany,1.6303
1973,Germany,1.3665
1974,Germany,1.3231
1975,Germany,1.2579
1976,Germany,1.2874
1977,Germany,1.1873
1978,Germany,1.027
1979,Germany,0.9371
2012,Azerbaijan,0.7856
2013,Azerbaijan,0.7845
2014,Azerbaijan,0.7843
2015,Azerbaijan,1.0246
2016,Azerbaijan,1.5957
2017,Azerbaijan,1.7212
2018,Azerbaijan,1.7
2019,Azerbaijan,1.7
2020,Azerbaijan,1.7
2021,Azerbaijan,1.7
2013,Malta,0.7529
2014,Malta,0.7527
2015,Malta,0.9013
2016,Malta,0.9034
2017,Malta,0.8852
2018,Malta,0.8468
2019,Malta,0.8933
2020,Malta,0.8755
2021,Malta,0.8455
1990,Republic of Moldova,0.0036
1980,Germany,0.9294
1981,Germany,1.1555
1982,Germany,1.2407
1983,Germany,1.3055
1984,Germany,1.4551
1985,Germany,1.5052
1986,Germany,1.1103
1987,Germany,0.919
1988,Germany,0.8979
1989,Germany,0.9613
2012,Belarus,0.8337
2013,Belarus,0.888
2014,Belarus,1.0224
2015,Belarus,1.5926
2016,Belarus,1.9896
2017,Belarus,1.9323
2018,Belarus,2.0376
2019,Belarus,2.0918
2020,Belarus,2.4396
2021,Belarus,2.5387
1991,Republic of Moldova,0.0084
1992,Republic of Moldova,0.0827
1993,Republic of Moldova,0.7678
1994,Republic of Moldova,2.7826
1995,Republic of Moldova,3.6964
1996,Republic of Moldova,4.6
1997,Republic of Moldova,4.62
1998,Republic of Moldova,5.37
1999,Republic of Moldova,10.5242
2000,Republic of Moldova,12.4334
2001,Republic of Moldova,12.8668
2002,Republic of Moldova,13.573
2003,Republic of Moldova,13.9426
2004,Republic of Moldova,12.3283
2005,Republic of Moldova,12.5996
2006,Republic of Moldova,13.1311
2007,Republic of Moldova,12.1399
2008,Republic of Moldova,10.392
2009,Republic of Moldova,11.1096
2010,Republic of Moldova,12.36926
2011,Republic of Moldova,11.73861
2012,Republic of Moldova,12.11144
2013,Republic of Moldova,12.58676
2014,Republic of Moldova,14.03563
2015,Republic of Moldova,18.81848
2016,Republic of Moldova,19.92383
2017,Republic of Moldova,18.49903
2018,Republic of Moldova,16.80205
2019,Republic of Moldova,17.57347
2020,Republic of Moldova,17.32184
1990,Germany,0.8261
1991,Germany,0.8485
1992,Germany,0.7985
1993,Germany,0.8453
1994,Germany,0.8297
1995,Germany,0.7327
1996,Germany,0.7694
1997,Germany,0.8866
1998,Germany,0.8997
1999,Germany,0.93828
2000,Germany,1.08271
2001,Germany,1.11653
2002,Germany,1.05756
2003,Germany,0.88405
2004,Germany,0.80392
2005,Germany,0.8038
2006,Germany,0.79643
2007,Germany,0.72967
2008,Germany,0.67992
2009,Germany,0.71696
1990,Croatia,0.01132
1991,Croatia,0.0243
1992,Croatia,0.2633
1993,Croatia,3.57915
1994,Croatia,5.99801
1995,Croatia,5.23076
1996,Croatia,5.43416
1997,Croatia,6.16058
1998,Croatia,6.36329
1999,Croatia,7.11174
1960,Austria,1.88949
1961,Austria,1.88949
1962,Austria,1.88949
1963,Austria,1.88949
1964,Austria,1.88949
1965,Austria,1.88949
1966,Austria,1.88949
1967,Austria,1.88949
1968,Austria,1.88949
1969,Austria,1.88949
2021,Republic of Moldova,17.6816
1998,Montenegro,0.896
1999,Montenegro,0.9383
2000,Montenegro,1.0827
2001,Montenegro,1.1166
2002,Montenegro,1.0589
2003,Montenegro,0.8843
2004,Montenegro,0.8054
2005,Montenegro,0.8041
2006,Montenegro,0.7971
2000,Croatia,8.27767
2001,Croatia,8.34154
2002,Croatia,7.87168
2003,Croatia,6.70497
2004,Croatia,6.03434
2005,Croatia,5.94924
2006,Croatia,5.83779
2007,Croatia,5.36454
2008,Croatia,4.93504
2009,Croatia,5.28395
2010,Germany,0.75431
2011,Germany,0.71841
2012,Germany,0.77834
2013,Germany,0.75295
2014,Germany,0.75273
2015,Germany,0.9013
2016,Germany,0.90342
2017,Germany,0.88521
2018,Germany,0.84677
2019,Germany,0.89328
2007,Montenegro,0.7306
2008,Montenegro,0.6827
2009,Montenegro,0.7198
2010,Montenegro,0.7543
2011,Montenegro,0.7184
2012,Montenegro,0.7783
2013,Montenegro,0.7529
2014,Montenegro,0.7527
2015,Montenegro,0.9013
2016,Montenegro,0.9034
2010,Croatia,5.49801
2011,Croatia,5.34387
2012,Croatia,5.85029
2013,Croatia,5.70488
2014,Croatia,5.74817
2015,Croatia,6.8583
2016,Croatia,6.80599
2017,Croatia,6.62383
2018,Croatia,6.27903
2019,Croatia,6.62255
2020,Germany,0.87551
2021,Germany,0.84549
1960,Greece,0.08804
1961,Greece,0.08804
1962,Greece,0.08804
1963,Greece,0.08804
1964,Greece,0.08804
1965,Greece,0.08804
1966,Greece,0.08804
1967,Greece,0.08804
2020,Croatia,6.61406
2021,Croatia,6.36008
1970,Cyprus,0.9706
1971,Cyprus,0.9483
1972,Cyprus,0.8888
1973,Cyprus,0.8591
1974,Cyprus,0.8979
1975,Cyprus,0.8963
1976,Cyprus,0.9903
1977,Cyprus,0.9837
1968,Greece,0.08804
1969,Greece,0.08804
1970,Greece,0.088
1971,Greece,0.088
1972,Greece,0.088
1973,Greece,0.0869
1974,Greece,0.088
1975,Greece,0.0941
1976,Greece,0.1072
1977,Greece,0.1081
1978,Cyprus,0.8977
1979,Cyprus,0.835
1980,Cyprus,0.603
1981,Cyprus,0.717
1982,Cyprus,0.811
1983,Cyprus,0.899
1984,Cyprus,1.003
1985,Cyprus,1.042
1986,Cyprus,0.885
1987,Cyprus,0.821
2017,Montenegro,0.8852
2018,Montenegro,0.8468
2019,Montenegro,0.8933
2020,Montenegro,0.8775
2021,Montenegro,0.8454
1960,Netherlands,1.72436
1961,Netherlands,1.6563
1962,Netherlands,1.64268
1963,Netherlands,1.64268
1964,Netherlands,1.64268
1978,Greece,0.1078
1979,Greece,0.1087
1980,Greece,0.1251
1981,Greece,0.1626
1982,Greece,0.196
1983,Greece,0.2584
1984,Greece,0.3308
1985,Greece,0.4053
1986,Greece,0.4108
1987,Greece,0.3974
1988,Cyprus,0.797
1989,Cyprus,0.845
1990,Cyprus,0.781
1991,Cyprus,0.792
1992,Cyprus,0.767
1993,Cyprus,0.849
1994,Cyprus,0.84
1995,Cyprus,0.773
1996,Cyprus,0.797
1997,Cyprus,0.877
1965,Netherlands,1.64268
1966,Netherlands,1.64268
1967,Netherlands,1.64268
1968,Netherlands,1.64268
1969,Netherlands,1.64268
1970,Netherlands,1.6427
1971,Netherlands,1.596
1972,Netherlands,1.4564
1973,Netherlands,1.2686
1974,Netherlands,1.2199
1988,Greece,0.4163
1989,Greece,0.4766
1990,Greece,0.4652
1991,Greece,0.5349
1992,Greece,0.5594
1993,Greece,0.6728
1994,Greece,0.712
1995,Greece,0.6799
1996,Greece,0.7064
1997,Greece,0.8013
1998,Cyprus,0.884
1999,Cyprus,0.927
2000,Cyprus,1.061
2001,Cyprus,1.098
2002,Cyprus,1.04
2003,Cyprus,0.883
2004,Cyprus,0.8
2005,Cyprus,0.8041
2006,Cyprus,0.7971
2007,Cyprus,0.7306
1998,Greece,0.8673
1999,Greece,0.93828
2000,Greece,1.08271
2001,Greece,1.11653
2002,Greece,1.05756
2003,Greece,0.88405
2004,Greece,0.80392
2005,Greece,0.8038
2006,Greece,0.79643
2007,Greece,0.72967
2008,Greece,0.67992
2009,Greece,0.71696
2010,Greece,0.75431
2011,Greece,0.71841
2012,Greece,0.77834
2013,Greece,0.75295
2014,Greece,0.75273
2015,Greece,0.9013
2016,Greece,0.90342
2017,Greece,0.88521
2008,Cyprus,0.6827
2009,Cyprus,0.7198
2010,Cyprus,0.7543
2011,Cyprus,0.7184
2012,Cyprus,0.7783
2013,Cyprus,0.7529
