Year,GeoAreaName,Age,Freq,Location,Sex,Type of speed,Value
2002,Belarus,,,,,ANYS,20.0
2003,Belarus,,,,,ANYS,123.0
2004,Belarus,,,,,ANYS,750.0
2005,Belarus,,,,,ANYS,1564.0
2006,Belarus,,,,,ANYS,11419.0
2007,Belarus,,,,,ANYS,169806.0
2008,Belarus,,,,,ANYS,477980.0
2009,Belarus,,,,,ANYS,1092290.0
2010,Belarus,,,,,ANYS,1666631.0
2011,Belarus,,,,,ANYS,2098068.0
2011,Belarus,,,,,256KT2MBPS,1125883.0
2011,Belarus,,,,,2MT10MBPS,794578.0
2005,Albania,,,,,ANYS,272.0
2007,Albania,,,,,ANYS,10000.0
2008,Albania,,,,,ANYS,64000.0
2009,Albania,,,,,ANYS,92000.0
2010,Albania,,,,,ANYS,105539.0
2011,Albania,,,,,ANYS,128210.0
2012,Albania,,,,,ANYS,160088.0
2012,Albania,,,,,2MT10MBPS,110522.0
2012,Albania,,,,,256KT2MBPS,34658.0
2012,Albania,,,,,10MBPS,14908.0
2013,Albania,,,,,ANYS,182556.0
2013,Albania,,,,,2MT10MBPS,132052.0
2003,Kazakhstan,,,,,ANYS,998.0
2004,Kazakhstan,,,,,ANYS,1997.0
2005,Kazakhstan,,,,,ANYS,2996.0
2006,Kazakhstan,,,,,ANYS,30500.0
2007,Kazakhstan,,,,,ANYS,270370.0
2008,Kazakhstan,,,,,ANYS,337300.0
2009,Kazakhstan,,,,,256KT2MBPS,132143.0
2009,Kazakhstan,,,,,10MBPS,10571.0
2009,Kazakhstan,,,,,ANYS,577344.0
2009,Kazakhstan,,,,,2MT10MBPS,385857.0
2010,Kazakhstan,,,,,ANYS,869600.0
2011,Kazakhstan,,,,,ANYS,1193400.0
2011,Belarus,,,,,10MBPS,83215.0
2012,Belarus,,,,,256KT2MBPS,1427277.0
2012,Belarus,,,,,ANYS,2531842.0
2012,Belarus,,,,,2MT10MBPS,917355.0
2012,Belarus,,,,,10MBPS,121299.0
2013,Belarus,,,,,ANYS,2785842.0
2013,Belarus,,,,,256KT2MBPS,1439003.0
2013,Belarus,,,,,2MT10MBPS,1172162.0
2013,Belarus,,,,,10MBPS,115524.0
2014,Belarus,,,,,ANYS,2684347.0
2014,Belarus,,,,,2MT10MBPS,1659756.0
2014,Belarus,,,,,256KT2MBPS,684625.0
2013,Albania,,,,,256KT2MBPS,34026.0
2013,Albania,,,,,10MBPS,16478.0
2014,Albania,,,,,ANYS,207964.0
2014,Albania,,,,,2MT10MBPS,175153.0
2014,Albania,,,,,256KT2MBPS,18736.0
2014,Albania,,,,,10MBPS,14075.0
2015,Albania,,,,,ANYS,242870.0
2015,Albania,,,,,2MT10MBPS,216274.0
2015,Albania,,,,,10MBPS,14332.0
2015,Albania,,,,,256KT2MBPS,12264.0
2016,Albania,,,,,2MT10MBPS,203226.0
2016,Albania,,,,,10MBPS,44539.0
2012,Kazakhstan,,,,,ANYS,1637300.0
2012,Kazakhstan,,,,,2MT10MBPS,720799.0
2012,Kazakhstan,,,,,256KT2MBPS,470195.0
2012,Kazakhstan,,,,,10MBPS,307863.0
2013,Kazakhstan,,,,,ANYS,1958823.0
2013,Kazakhstan,,,,,2MT10MBPS,903830.0
2013,Kazakhstan,,,,,10MBPS,680792.0
2013,Kazakhstan,,,,,256KT2MBPS,279301.0
2014,Kazakhstan,,,,,2MT10MBPS,936034.0
2014,Kazakhstan,,,,,10MBPS,857063.0
2014,Belarus,,,,,10MBPS,243112.0
2015,Belarus,,,,,ANYS,2903497.0
2015,Belarus,,,,,2MT10MBPS,2107276.0
2015,Belarus,,,,,10MBPS,515002.0
2015,Belarus,,,,,256KT2MBPS,281219.0
2016,Belarus,,,,,256KT2MBPS,184020.0
2016,Belarus,,,,,ANYS,3067529.0
2016,Belarus,,,,,2MT10MBPS,1930375.0
2016,Belarus,,,,,10MBPS,953134.0
2017,Belarus,,,,,ANYS,3163286.0
2017,Belarus,,,,,256KT2MBPS,109468.0
2017,Belarus,,,,,2MT10MBPS,1515777.0
2016,Albania,,,,,256KT2MBPS,18614.0
2016,Albania,,,,,ANYS,266379.0
2017,Albania,,,,,ANYS,303612.0
2017,Albania,,,,,2MT10MBPS,230178.0
2017,Albania,,,,,10MBPS,61681.0
2017,Albania,,,,,256KT2MBPS,11753.0
2018,Albania,,,,,2MT10MBPS,253144.0
2018,Albania,,,,,256KT2MBPS,4936.0
2018,Albania,,,,,10MBPS,103867.0
2018,Albania,,,,,ANYS,361947.0
2019,Albania,,,,,ANYS,436192.0
2019,Albania,,,,,2MT10MBPS,253369.0
2019,Albania,,,,,10MBPS,178567.0
2016,Serbia,,,,,256KT2MBPS,11823.0
2016,Serbia,,,,,10MBPS,1288623.0
2016,Serbia,,,,,2MT10MBPS,150512.0
2016,Serbia,,,,,ANYS,1450958.0
2017,Serbia,,,,,256KT2MBPS,6832.0
2017,Serbia,,,,,2MT10MBPS,98092.0
2017,Serbia,,,,,10MBPS,1375830.0
2017,Serbia,,,,,ANYS,1480754.0
2018,Serbia,,,,,ANYS,1552160.0
2018,Serbia,,,,,2MT10MBPS,112201.0
2018,Serbia,,,,,10MBPS,1435662.0
2014,Kazakhstan,,,,,256KT2MBPS,264203.0
2014,Kazakhstan,,,,,ANYS,2148000.0
2015,Kazakhstan,,,,,ANYS,2301000.0
2015,Kazakhstan,,,,,10MBPS,1010600.0
2015,Kazakhstan,,,,,2MT10MBPS,767100.0
2015,Kazakhstan,,,,,256KT2MBPS,271600.0
2016,Kazakhstan,,,,,2MT10MBPS,870253.0
2016,Kazakhstan,,,,,10MBPS,1274577.0
2016,Kazakhstan,,,,,ANYS,2349900.0
2016,Kazakhstan,,,,,256KT2MBPS,205071.0
2017,Belarus,,,,,10MBPS,1538041.0
2018,Belarus,,,,,10MBPS,1852251.0
2018,Belarus,,,,,2MT10MBPS,1253198.0
2018,Belarus,,,,,256KT2MBPS,96070.0
2018,Belarus,,,,,ANYS,3201519.0
2019,Belarus,,,,,ANYS,3214869.0
2019,Belarus,,,,,10MBPS,2059865.0
2019,Belarus,,,,,2MT10MBPS,1092027.0
2019,Belarus,,,,,256KT2MBPS,62977.0
2020,Belarus,,,,,ANYS,3255552.0
2020,Belarus,,,,,10MBPS,2186146.0
2020,Belarus,,,,,256KT2MBPS,46919.0
2018,Serbia,,,,,256KT2MBPS,4297.0
2019,Serbia,,,,,ANYS,1623790.0
2019,Serbia,,,,,2MT10MBPS,77124.0
2019,Serbia,,,,,10MBPS,1543530.0
2019,Serbia,,,,,256KT2MBPS,3136.0
2020,Serbia,,,,,10MBPS,1659501.0
2020,Serbia,,,,,ANYS,1730496.0
2020,Serbia,,,,,256KT2MBPS,5449.0
2020,Serbia,,,,,2MT10MBPS,65547.0
2021,Serbia,,,,,10MBPS,1748241.0
2021,Serbia,,,,,ANYS,1799834.0
2021,Serbia,,,,,2MT10MBPS,48769.0
2021,Serbia,,,,,256KT2MBPS,2824.0
2002,Slovakia,,,,,ANYS,4083.0
2003,Slovakia,,,,,ANYS,22461.0
2004,Slovakia,,,,,ANYS,78764.0
2005,Slovakia,,,,,ANYS,181538.0
2006,Slovakia,,,,,ANYS,304615.0
2007,Slovakia,,,,,256KT2MBPS,298963.0
2007,Slovakia,,,,,ANYS,546664.0
2007,Slovakia,,,,,2MT10MBPS,149817.0
2007,Slovakia,,,,,10MBPS,23240.0
2017,Kazakhstan,,,,,ANYS,2576100.0
2017,Kazakhstan,,,,,10MBPS,1424400.0
2017,Kazakhstan,,,,,2MT10MBPS,987300.0
2017,Kazakhstan,,,,,256KT2MBPS,71300.0
2018,Kazakhstan,,,,,ANYS,2461300.0
2018,Kazakhstan,,,,,10MBPS,1276400.0
2018,Kazakhstan,,,,,2MT10MBPS,1020800.0
2018,Kazakhstan,,,,,256KT2MBPS,67400.0
2019,Kazakhstan,,,,,10MBPS,1367700.0
2019,Kazakhstan,,,,,2MT10MBPS,1006100.0
2020,Belarus,,,,,2MT10MBPS,1022487.0
2021,Belarus,,,,,ANYS,3238881.0
2021,Belarus,,,,,10MBPS,2299027.0
