Year,GeoAreaName,Age,Location,Sex,Value
2000,Albania,<5Y,,,18.7
2001,Albania,<5Y,,,20.2
2002,Albania,<5Y,,,21.6
2003,Albania,<5Y,,,22.8
2004,Albania,<5Y,,,23.8
2005,Albania,<5Y,,,24.5
2006,Albania,<5Y,,,24.8
2007,Albania,<5Y,,,24.9
2008,Albania,<5Y,,,24.7
2009,Albania,<5Y,,,24.3
2010,Albania,<5Y,,,23.6
2011,Albania,<5Y,,,22.7
2012,Albania,<5Y,,,21.7
2013,Albania,<5Y,,,20.6
2014,Albania,<5Y,,,19.4
2015,Albania,<5Y,,,18.3
2016,Albania,<5Y,,,17.3
2017,Albania,<5Y,,,16.4
2018,Albania,<5Y,,,15.7
2019,Albania,<5Y,,,15.1
2020,Albania,<5Y,,,14.6
2000,Azerbaijan,<5Y,,,7.3
2001,Azerbaijan,<5Y,,,7.8
2002,Azerbaijan,<5Y,,,8.4
2003,Azerbaijan,<5Y,,,8.9
2004,Azerbaijan,<5Y,,,9.5
2005,Azerbaijan,<5Y,,,9.9
2006,Azerbaijan,<5Y,,,10.4
2007,Azerbaijan,<5Y,,,10.8
2008,Azerbaijan,<5Y,,,11.0
2009,Azerbaijan,<5Y,,,11.2
2010,Azerbaijan,<5Y,,,11.3
2011,Azerbaijan,<5Y,,,11.2
2012,Azerbaijan,<5Y,,,11.1
2013,Azerbaijan,<5Y,,,10.8
2014,Azerbaijan,<5Y,,,10.5
2015,Azerbaijan,<5Y,,,10.2
2016,Azerbaijan,<5Y,,,9.9
2017,Azerbaijan,<5Y,,,9.7
2018,Azerbaijan,<5Y,,,9.6
2019,Azerbaijan,<5Y,,,9.5
2020,Azerbaijan,<5Y,,,9.4
2000,Armenia,<5Y,,,12.3
2001,Armenia,<5Y,,,13.2
2002,Armenia,<5Y,,,14.0
2003,Armenia,<5Y,,,14.8
2000,Kazakhstan,<5Y,,,8.1
2001,Kazakhstan,<5Y,,,8.8
2002,Kazakhstan,<5Y,,,9.5
2003,Kazakhstan,<5Y,,,10.2
2004,Kazakhstan,<5Y,,,10.8
2005,Kazakhstan,<5Y,,,11.3
2006,Kazakhstan,<5Y,,,11.7
2007,Kazakhstan,<5Y,,,12.0
2000,Uzbekistan,<5Y,,,12.2
2001,Uzbekistan,<5Y,,,12.6
2002,Uzbekistan,<5Y,,,12.9
2003,Uzbekistan,<5Y,,,13.0
2004,Uzbekistan,<5Y,,,13.0
2005,Uzbekistan,<5Y,,,12.9
2006,Uzbekistan,<5Y,,,12.5
2007,Uzbekistan,<5Y,,,12.0
2004,Armenia,<5Y,,,15.5
2005,Armenia,<5Y,,,16.0
2006,Armenia,<5Y,,,16.3
2007,Armenia,<5Y,,,16.5
2008,Armenia,<5Y,,,16.5
2009,Armenia,<5Y,,,16.3
2010,Armenia,<5Y,,,15.9
2011,Armenia,<5Y,,,15.4
2008,Kazakhstan,<5Y,,,12.1
2009,Kazakhstan,<5Y,,,12.1
2010,Kazakhstan,<5Y,,,12.0
2011,Kazakhstan,<5Y,,,11.8
2012,Kazakhstan,<5Y,,,11.5
2013,Kazakhstan,<5Y,,,11.0
2014,Kazakhstan,<5Y,,,10.5
2015,Kazakhstan,<5Y,,,10.1
2012,Armenia,<5Y,,,14.8
2013,Armenia,<5Y,,,14.1
2014,Armenia,<5Y,,,13.3
2015,Armenia,<5Y,,,12.6
2016,Armenia,<5Y,,,12.1
2017,Armenia,<5Y,,,11.6
2018,Armenia,<5Y,,,11.3
2019,Armenia,<5Y,,,11.0
2020,Armenia,<5Y,,,10.8
2000,Belgium,<5Y,,,3.9
2001,Belgium,<5Y,,,3.9
2002,Belgium,<5Y,,,4.0
2003,Belgium,<5Y,,,4.0
2004,Belgium,<5Y,,,4.0
2005,Belgium,<5Y,,,4.0
2016,Kazakhstan,<5Y,,,9.7
2017,Kazakhstan,<5Y,,,9.4
2018,Kazakhstan,<5Y,,,9.2
2019,Kazakhstan,<5Y,,,9.0
2020,Kazakhstan,<5Y,,,8.8
2000,Kyrgyzstan,<5Y,,,7.9
2001,Kyrgyzstan,<5Y,,,8.3
2002,Kyrgyzstan,<5Y,,,8.6
2003,Kyrgyzstan,<5Y,,,8.9
2004,Kyrgyzstan,<5Y,,,9.1
2005,Kyrgyzstan,<5Y,,,9.2
2006,Kyrgyzstan,<5Y,,,9.2
2007,Kyrgyzstan,<5Y,,,9.1
2008,Kyrgyzstan,<5Y,,,8.9
2009,Kyrgyzstan,<5Y,,,8.7
2006,Belgium,<5Y,,,4.1
2007,Belgium,<5Y,,,4.1
2008,Belgium,<5Y,,,4.2
2009,Belgium,<5Y,,,4.2
2010,Belgium,<5Y,,,4.3
2011,Belgium,<5Y,,,4.4
2012,Belgium,<5Y,,,4.5
2013,Belgium,<5Y,,,4.5
2010,Kyrgyzstan,<5Y,,,8.4
2011,Kyrgyzstan,<5Y,,,8.0
2012,Kyrgyzstan,<5Y,,,7.6
2013,Kyrgyzstan,<5Y,,,7.2
2014,Kyrgyzstan,<5Y,,,6.8
2015,Kyrgyzstan,<5Y,,,6.5
2016,Kyrgyzstan,<5Y,,,6.2
2017,Kyrgyzstan,<5Y,,,6.0
2018,Kyrgyzstan,<5Y,,,5.9
2019,Kyrgyzstan,<5Y,,,5.8
2020,Kyrgyzstan,<5Y,,,5.8
2000,Republic of Moldova,<5Y,,,6.8
2001,Republic of Moldova,<5Y,,,7.0
2002,Republic of Moldova,<5Y,,,7.3
2003,Republic of Moldova,<5Y,,,7.5
2014,Belgium,<5Y,,,4.6
2015,Belgium,<5Y,,,4.7
2016,Belgium,<5Y,,,4.8
2017,Belgium,<5Y,,,4.9
2018,Belgium,<5Y,,,4.9
2019,Belgium,<5Y,,,5.0
2020,Belgium,<5Y,,,5.1
2004,Republic of Moldova,<5Y,,,7.7
2005,Republic of Moldova,<5Y,,,7.7
2006,Republic of Moldova,<5Y,,,7.7
2007,Republic of Moldova,<5Y,,,7.6
2008,Republic of Moldova,<5Y,,,7.4
2009,Republic of Moldova,<5Y,,,7.1
2010,Republic of Moldova,<5Y,,,6.9
2011,Republic of Moldova,<5Y,,,6.5
2008,Uzbekistan,<5Y,,,11.4
2009,Uzbekistan,<5Y,,,10.8
2010,Uzbekistan,<5Y,,,10.1
2011,Uzbekistan,<5Y,,,9.3
2012,Uzbekistan,<5Y,,,8.6
2013,Uzbekistan,<5Y,,,7.8
2014,Uzbekistan,<5Y,,,7.1
2015,Uzbekistan,<5Y,,,6.6
2000,Bosnia and Herzegovina,<5Y,,,16.4
2001,Bosnia and Herzegovina,<5Y,,,17.7
2002,Bosnia and Herzegovina,<5Y,,,19.0
2003,Bosnia and Herzegovina,<5Y,,,20.0
2004,Bosnia and Herzegovina,<5Y,,,20.8
2005,Bosnia and Herzegovina,<5Y,,,21.4
2006,Bosnia and Herzegovina,<5Y,,,21.7
2007,Bosnia and Herzegovina,<5Y,,,21.8
2012,Republic of Moldova,<5Y,,,6.2
2013,Republic of Moldova,<5Y,,,5.8
2014,Republic of Moldova,<5Y,,,5.4
2015,Republic of Moldova,<5Y,,,5.1
2016,Republic of Moldova,<5Y,,,4.8
2017,Republic of Moldova,<5Y,,,4.6
2018,Republic of Moldova,<5Y,,,4.5
2019,Republic of Moldova,<5Y,,,4.4
2020,Republic of Moldova,<5Y,,,4.3
2000,Montenegro,<5Y,,,13.7
2001,Montenegro,<5Y,,,14.7
2002,Montenegro,<5Y,,,15.6
2003,Montenegro,<5Y,,,16.3
2004,Montenegro,<5Y,,,17.0
2005,Montenegro,<5Y,,,17.4
2008,Bosnia and Herzegovina,<5Y,,,21.6
2009,Bosnia and Herzegovina,<5Y,,,21.2
2010,Bosnia and Herzegovina,<5Y,,,20.6
2011,Bosnia and Herzegovina,<5Y,,,19.8
2012,Bosnia and Herzegovina,<5Y,,,18.9
2013,Bosnia and Herzegovina,<5Y,,,17.8
2014,Bosnia and Herzegovina,<5Y,,,16.7
2015,Bosnia and Herzegovina,<5Y,,,15.7
2006,Montenegro,<5Y,,,17.6
2007,Montenegro,<5Y,,,17.7
2008,Montenegro,<5Y,,,17.5
2009,Montenegro,<5Y,,,17.2
2010,Montenegro,<5Y,,,16.7
2011,Montenegro,<5Y,,,16.1
2012,Montenegro,<5Y,,,15.3
2013,Montenegro,<5Y,,,14.4
2014,Montenegro,<5Y,,,13.5
2015,Montenegro,<5Y,,,12.6
2016,Montenegro,<5Y,,,11.9
2017,Montenegro,<5Y,,,11.3
2018,Montenegro,<5Y,,,10.9
2019,Montenegro,<5Y,,,10.6
2020,Montenegro,<5Y,,,10.2
2016,Bosnia and Herzegovina,<5Y,,,14.9
2017,Bosnia and Herzegovina,<5Y,,,14.2
2018,Bosnia and Herzegovina,<5Y,,,13.6
2019,Bosnia and Herzegovina,<5Y,,,13.2
2020,Bosnia and Herzegovina,<5Y,,,12.8
2000,Bulgaria,<5Y,,,8.6
2001,Bulgaria,<5Y,,,9.1
2002,Bulgaria,<5Y,,,9.5
2003,Bulgaria,<5Y,,,9.8
2004,Bulgaria,<5Y,,,10.0
2005,Bulgaria,<5Y,,,10.1
2006,Bulgaria,<5Y,,,10.0
2007,Bulgaria,<5Y,,,9.9
2008,Bulgaria,<5Y,,,9.7
2009,Bulgaria,<5Y,,,9.4
2000,Netherlands,<5Y,,,3.2
2001,Netherlands,<5Y,,,3.2
2002,Netherlands,<5Y,,,3.2
2003,Netherlands,<5Y,,,3.3
2004,Netherlands,<5Y,,,3.3
2005,Netherlands,<5Y,,,3.4
2006,Netherlands,<5Y,,,3.5
2007,Netherlands,<5Y,,,3.6
2010,Bulgaria,<5Y,,,9.1
2011,Bulgaria,<5Y,,,8.7
2012,Bulgaria,<5Y,,,8.2
2013,Bulgaria,<5Y,,,7.6
2014,Bulgaria,<5Y,,,7.1
2015,Bulgaria,<5Y,,,6.7
2016,Bulgaria,<5Y,,,6.3
2017,Bulgaria,<5Y,,,6.0
2018,Bulgaria,<5Y,,,5.9
2019,Bulgaria,<5Y,,,5.7
2020,Bulgaria,<5Y,,,5.7
2000,Belarus,<5Y,,,8.4
2001,Belarus,<5Y,,,8.9
2002,Belarus,<5Y,,,9.4
2003,Belarus,<5Y,,,9.8
2004,Belarus,<5Y,,,10.1
2005,Belarus,<5Y,,,10.4
2006,Belarus,<5Y,,,10.5
2007,Belarus,<5Y,,,10.5
2008,Belarus,<5Y,,,10.4
2009,Belarus,<5Y,,,10.2
2010,Belarus,<5Y,,,10.0
2011,Belarus,<5Y,,,9.6
2012,Belarus,<5Y,,,9.2
2013,Belarus,<5Y,,,8.7
2014,Belarus,<5Y,,,8.3
2015,Belarus,<5Y,,,7.8
2016,Belarus,<5Y,,,7.5
2017,Belarus,<5Y,,,7.2
2018,Belarus,<5Y,,,7.0
2019,Belarus,<5Y,,,6.9
2008,Netherlands,<5Y,,,3.6
2009,Netherlands,<5Y,,,3.7
2010,Netherlands,<5Y,,,3.8
2011,Netherlands,<5Y,,,3.9
2012,Netherlands,<5Y,,,4.1
2013,Netherlands,<5Y,,,4.2
2014,Netherlands,<5Y,,,4.3
2015,Netherlands,<5Y,,,4.4
2016,Netherlands,<5Y,,,4.5
2017,Netherlands,<5Y,,,4.7
2018,Netherlands,<5Y,,,4.8
2019,Netherlands,<5Y,,,4.9
2020,Netherlands,<5Y,,,5.0
2000,Poland,<5Y,,,4.5
2001,Poland,<5Y,,,4.6
2002,Poland,<5Y,,,4.7
2003,Poland,<5Y,,,4.8
2004,Poland,<5Y,,,4.9
2005,Poland,<5Y,,,5.0
2006,Poland,<5Y,,,5.1
2007,Poland,<5Y,,,5.2
2008,Poland,<5Y,,,5.3
2009,Poland,<5Y,,,5.4
2020,Belarus,<5Y,,,6.8
2000,Czechia,<5Y,,,4.9
2001,Czechia,<5Y,,,5.0
2002,Czechia,<5Y,,,5.0
2003,Czechia,<5Y,,,5.1
2004,Czechia,<5Y,,,5.1
2005,Czechia,<5Y,,,5.2
2010,Poland,<5Y,,,5.6
2011,Poland,<5Y,,,5.7
2012,Poland,<5Y,,,5.9
2013,Poland,<5Y,,,6.0
2014,Poland,<5Y,,,6.1
2015,Poland,<5Y,,,6.2
2016,Poland,<5Y,,,6.3
2017,Poland,<5Y,,,6.4
2018,Poland,<5Y,,,6.5
2019,Poland,<5Y,,,6.6
2020,Poland,<5Y,,,6.7
2000,Portugal,<5Y,,,5.6
2001,Portugal,<5Y,,,5.7
