Year,GeoAreaName,Value
2017,Austria,9.6
2018,Austria,10.2
2019,Austria,9.06
2020,Austria,9.43
2020,Belgium,10.33
2016,Bosnia and Herzegovina,22.7
2017,Bosnia and Herzegovina,24.9
2018,Bosnia and Herzegovina,20.2
2019,Bosnia and Herzegovina,20.34
2020,Bosnia and Herzegovina,23.46
2017,Croatia,16.5
2018,Croatia,14.8
2019,Croatia,15.58
2020,Croatia,18.24
2017,Cyprus,30.8
2018,Cyprus,37.1
2019,Cyprus,19.57
2020,Cyprus,51.61
2017,Czechia,14.2
2018,Czechia,15.2
2019,Czechia,15.36
2020,Czechia,13.09
2020,Denmark,7.27
2016,Finland,6.66
2017,Finland,6.14
2018,Finland,7.59
2019,Finland,7.79
2020,Finland,6.62
2017,France,10.22
2018,France,9.59
2019,France,9.07
2020,France,10.42
2017,Georgia,47.06
2018,Georgia,55.77
2019,Georgia,56.58
2020,Georgia,43.65
2016,Germany,11.56
2017,Germany,12.28
2018,Germany,12.18
2019,Germany,11.46
2020,Germany,10.2
2017,Greece,18.3
2018,Greece,19.33
2019,Greece,21.73
2020,Greece,24.46
2017,Ireland,11.98
2018,Ireland,12.88
2019,Ireland,12.53
2020,Ireland,10.64
2018,Italy,28.7
2019,Italy,33.61
2020,Italy,28.66
2016,Latvia,28.24
2017,Latvia,18.02
2018,Latvia,20.4
2019,Latvia,18.08
2020,Latvia,33.33
2016,Lithuania,9.7
2017,Lithuania,12.5
2018,Lithuania,15.33
2019,Lithuania,17.53
2020,Lithuania,16.35
2019,Luxembourg,15.65
2020,Luxembourg,10.75
2017,Malta,15.89
2018,Malta,16.37
2019,Malta,18.16
2020,Malta,11.91
2020,Republic of Moldova,88.89
2017,Netherlands,6.16
2018,Netherlands,7.29
2019,Netherlands,7.22
2020,Netherlands,6.55
2016,Norway,5.58
2017,Norway,5.87
2018,Norway,6.75
2019,Norway,5.52
2020,Norway,5.33
2017,Poland,16.68
2018,Poland,17.6
2019,Poland,18.02
2020,Poland,17.51
2017,Sweden,7.36
2018,Sweden,8.33
2019,Sweden,7.62
2020,Sweden,7.68
2016,Switzerland,9.16
2017,Switzerland,9.45
2018,Switzerland,10.38
2019,Switzerland,10.27
2020,Switzerland,11.09
2020,Ukraine,50.0
2016,North Macedonia,73.44
2017,North Macedonia,71.05
2018,North Macedonia,79.25
2019,North Macedonia,64.29
2020,North Macedonia,85.71
2020,North Macedonia,85.71
