Year,GeoAreaName,Education level,Type of skill,Value
2000,Albania,LOWSEC,SKILL_MATH,0.44378
2000,Albania,LOWSEC,SKILL_READ,0.32392
2009,Albania,LOWSEC,SKILL_READ,0.5811
2009,Albania,LOWSEC,SKILL_MATH,0.5481
2012,Albania,LOWSEC,SKILL_MATH,0.8677
2012,Albania,LOWSEC,SKILL_READ,0.90681
2018,Albania,LOWSEC,SKILL_READ,0.55775
2018,Albania,LOWSEC,SKILL_MATH,0.79086
2019,Albania,PRIMAR,SKILL_MATH,0.92549
2006,Azerbaijan,LOWSEC,SKILL_MATH,1.0098
2006,Azerbaijan,LOWSEC,SKILL_READ,0.48005
2009,Azerbaijan,LOWSEC,SKILL_READ,0.52863
2009,Azerbaijan,LOWSEC,SKILL_MATH,0.9767
2011,Azerbaijan,PRIMAR,SKILL_READ,0.93177
2016,Azerbaijan,PRIMAR,SKILL_READ,0.72013
2019,Azerbaijan,PRIMAR,SKILL_MATH,0.87196
2000,Austria,LOWSEC,SKILL_MATH,0.94986
2000,Austria,LOWSEC,SKILL_READ,0.93764
2003,Austria,LOWSEC,SKILL_READ,0.91372
2003,Austria,LOWSEC,SKILL_MATH,0.92771
2006,Austria,LOWSEC,SKILL_MATH,0.94777
2006,Austria,LOWSEC,SKILL_READ,0.92195
2006,Austria,PRIMAR,SKILL_READ,1.02132
2009,Austria,LOWSEC,SKILL_READ,0.93457
2009,Austria,LOWSEC,SKILL_MATH,0.95833
2011,Austria,PRIMAR,SKILL_READ,1.04979
2012,Austria,LOWSEC,SKILL_MATH,0.98317
2012,Austria,LOWSEC,SKILL_READ,0.96371
2016,Austria,PRIMAR,SKILL_READ,1.06322
2018,Austria,LOWSEC,SKILL_MATH,0.99821
2018,Austria,LOWSEC,SKILL_READ,1.00258
2019,Austria,PRIMAR,SKILL_MATH,1.19883
2003,Armenia,LOWSEC,SKILL_MATH,0.65572
2003,Armenia,PRIMAR,SKILL_MATH,0.8276
2007,Armenia,LOWSEC,SKILL_MATH,0.86298
2007,Armenia,PRIMAR,SKILL_MATH,1.07727
2011,Armenia,PRIMAR,SKILL_MATH,0.65894
2011,Armenia,LOWSEC,SKILL_MATH,0.53052
2015,Armenia,LOWSEC,SKILL_MATH,0.77297
2015,Armenia,PRIMAR,SKILL_MATH,0.87569
2019,Armenia,PRIMAR,SKILL_MATH,1.00819
2000,Belgium,LOWSEC,SKILL_MATH,0.93723
2000,Belgium,LOWSEC,SKILL_READ,0.9838
2003,Belgium,LOWSEC,SKILL_READ,1.03152
2003,Belgium,LOWSEC,SKILL_MATH,1.04442
2006,Belgium,LOWSEC,SKILL_MATH,1.05603
2006,Belgium,LOWSEC,SKILL_READ,1.04902
2009,Belgium,LOWSEC,SKILL_READ,1.07368
2009,Belgium,LOWSEC,SKILL_MATH,1.08237
2012,Belgium,LOWSEC,SKILL_MATH,0.98549
2012,Belgium,LOWSEC,SKILL_READ,0.99346
2019,Belgium,PRIMAR,SKILL_MATH,1.16217
2018,Bosnia and Herzegovina,LOWSEC,SKILL_READ,0.55535
