Year,GeoAreaName,Value
2018,Albania,90.9091
2020,Albania,90.9091
2022,Albania,90.9091
2022,Azerbaijan,81.81818
2020,Austria,81.81818
2022,Austria,81.81818
2018,Armenia,81.81818
2020,Armenia,81.81818
2022,Armenia,81.81818
2022,Bosnia and Herzegovina,81.81818
2018,Bulgaria,81.81818
2020,Bulgaria,81.81818
2022,Bulgaria,81.81818
2018,Belarus,81.81818
2020,Belarus,81.81818
2022,Belarus,81.81818
2018,Croatia,81.81818
2020,Croatia,81.81818
2022,Croatia,81.81818
2020,Cyprus,81.81818
2022,Cyprus,90.9091
2020,Czechia,81.81818
2022,Czechia,72.72727
2018,Denmark,90.9091
2020,Denmark,90.9091
2022,Denmark,90.9091
2020,Estonia,81.81818
2022,Estonia,81.81818
2018,Finland,72.72727
2020,Finland,81.81818
2022,Finland,81.81818
2018,France,90.9091
2020,France,90.9091
2022,France,90.9091
2022,Georgia,90.9091
2018,Germany,100.0
2020,Germany,100.0
2022,Germany,100.0
2018,Greece,72.72727
2020,Greece,72.72727
2022,Greece,72.72727
2020,Hungary,81.81818
2022,Hungary,81.81818
2020,Iceland,72.72727
2022,Iceland,72.72727
2020,Ireland,100.0
2022,Ireland,100.0
2022,Italy,81.81818
2020,Kazakhstan,81.81818
2022,Kazakhstan,81.81818
2020,Kyrgyzstan,81.81818
2022,Kyrgyzstan,81.81818
2020,Latvia,81.81818
2022,Latvia,81.81818
2018,Lithuania,81.81818
2020,Lithuania,81.81818
2022,Lithuania,81.81818
2020,Luxembourg,72.72727
2022,Luxembourg,72.72727
2020,Malta,90.9091
2022,Malta,90.9091
2020,Republic of Moldova,81.81818
2022,Republic of Moldova,81.81818
2020,Montenegro,81.81818
2022,Montenegro,81.81818
2018,Netherlands,81.81818
2020,Netherlands,81.81818
2022,Netherlands,81.81818
2020,Norway,90.9091
2022,Norway,81.81818
2020,Poland,90.9091
2022,Poland,90.9091
2020,Portugal,90.9091
2022,Portugal,90.9091
2020,Romania,81.81818
2022,Romania,81.81818
2018,Serbia,81.81818
2020,Serbia,81.81818
2022,Serbia,81.81818
2020,Slovakia,81.81818
2022,Slovakia,81.81818
2018,Slovenia,81.81818
2020,Slovenia,81.81818
2022,Slovenia,81.81818
2018,Spain,81.81818
2020,Spain,81.81818
2022,Spain,81.81818
2018,Sweden,90.9091
2020,Sweden,90.9091
2022,Sweden,90.9091
2020,Switzerland,90.9091
2022,Switzerland,90.9091
2022,Türkiye,81.81818
2018,Ukraine,81.81818
2020,Ukraine,81.81818
2022,Ukraine,81.81818
2020,North Macedonia,81.81818
2022,North Macedonia,81.81818
2022,Uzbekistan,72.72727
2022,Uzbekistan,72.72727
