Year,GeoAreaName,Value
2022,Albania,0
2022,Austria,100
2019,Armenia,0
2019,Belgium,100
2022,Bosnia and Herzegovina,0
2022,Bulgaria,100
2022,Belarus,0
2022,Croatia,100
2022,Cyprus,100
2022,Czechia,0
2022,Denmark,100
2022,Estonia,100
2022,Finland,100
2022,Georgia,100
2022,Germany,100
2022,Greece,100
2022,Hungary,100
2022,Kazakhstan,0
2019,Kyrgyzstan,0
2019,Latvia,100
2022,Lithuania,100
2019,Malta,100
2019,Republic of Moldova,100
2019,Montenegro,0
2022,Netherlands,100
2022,Norway,100
2022,Poland,100
2022,Portugal,100
2022,Romania,100
2022,Serbia,100
2022,Slovakia,100
2022,Slovenia,100
2019,Sweden,100
2019,Switzerland,100
2022,Türkiye,0
2022,Turkmenistan,100
2022,Ukraine,100
2022,North Macedonia,100
2022,Uzbekistan,100
2022,Uzbekistan,100
