Year,GeoAreaName,Activity,Sex,Value
2010,Croatia,TOTAL,BOTHSEX,4.1
2010,Croatia,ISIC4_A,FEMALE,51.09
2010,Croatia,NONAGR,BOTHSEX,1.83
2010,Croatia,NONAGR,MALE,1.34
2010,Croatia,NONAGR,FEMALE,2.38
2010,Croatia,TOTAL,FEMALE,4.34
2010,Croatia,TOTAL,MALE,3.9
2010,Croatia,ISIC4_A,BOTHSEX,38.06
2010,Croatia,ISIC4_A,MALE,32.6
2011,Croatia,TOTAL,FEMALE,6.95
2011,Croatia,NONAGR,BOTHSEX,4.44
2011,Croatia,TOTAL,MALE,5.25
2011,Croatia,NONAGR,FEMALE,5.16
2011,Croatia,NONAGR,MALE,3.8
2011,Croatia,ISIC4_A,MALE,22.27
2011,Croatia,ISIC4_A,FEMALE,48.1
2011,Croatia,TOTAL,BOTHSEX,6.04
2011,Croatia,ISIC4_A,BOTHSEX,30.37
2012,Croatia,ISIC4_A,MALE,17.8
2012,Croatia,NONAGR,FEMALE,6.68
2012,Croatia,ISIC4_A,BOTHSEX,26.23
2012,Croatia,NONAGR,BOTHSEX,4.79
2012,Croatia,TOTAL,BOTHSEX,6.08
2012,Croatia,ISIC4_A,FEMALE,45.03
2012,Croatia,NONAGR,MALE,3.15
2012,Croatia,TOTAL,MALE,4.27
2012,Croatia,TOTAL,FEMALE,8.25
2013,Croatia,NONAGR,BOTHSEX,5.31
2013,Croatia,TOTAL,BOTHSEX,6.34
2013,Croatia,NONAGR,FEMALE,7.19
2013,Croatia,NONAGR,MALE,3.66
2013,Croatia,TOTAL,MALE,4.72
2013,Croatia,TOTAL,FEMALE,8.25
2013,Croatia,ISIC4_A,MALE,19.33
2013,Croatia,ISIC4_A,FEMALE,36.18
2013,Croatia,ISIC4_A,BOTHSEX,24.63
2014,Croatia,TOTAL,BOTHSEX,4.96
2014,Croatia,ISIC4_A,FEMALE,38.5
2014,Croatia,ISIC4_A,BOTHSEX,26.53
2014,Croatia,ISIC4_A,MALE,20.57
2014,Croatia,TOTAL,FEMALE,6.66
2014,Croatia,NONAGR,FEMALE,5.45
2014,Croatia,NONAGR,BOTHSEX,3.84
2014,Croatia,TOTAL,MALE,3.57
2014,Croatia,NONAGR,MALE,2.47
2015,Croatia,NONAGR,MALE,4.08
2015,Croatia,ISIC4_A,BOTHSEX,28.68
2015,Croatia,TOTAL,MALE,5.22
2017,Latvia,ISIC4_A,BOTHSEX,29.42
2017,Latvia,TOTAL,MALE,10.67
2017,Latvia,TOTAL,FEMALE,6.84
2017,Latvia,NONAGR,FEMALE,5.93
2017,Latvia,ISIC4_A,FEMALE,30.29
2017,Latvia,TOTAL,BOTHSEX,8.73
2018,Latvia,TOTAL,MALE,9.14
2018,Latvia,NONAGR,MALE,7.85
2007,Austria,NONAGR,MALE,3.29
2007,Austria,ISIC4_A,BOTHSEX,18.43
2007,Austria,TOTAL,BOTHSEX,4.4
2007,Austria,ISIC4_A,MALE,11.52
2007,Austria,NONAGR,BOTHSEX,3.63
2007,Austria,TOTAL,FEMALE,5.3
2007,Austria,TOTAL,MALE,3.73
2007,Austria,NONAGR,FEMALE,4.07
2018,Latvia,TOTAL,FEMALE,7.83
2018,Latvia,NONAGR,FEMALE,7.35
2018,Latvia,ISIC4_A,BOTHSEX,21.09
2018,Latvia,NONAGR,BOTHSEX,7.58
2018,Latvia,TOTAL,BOTHSEX,8.47
2018,Latvia,ISIC4_A,FEMALE,20.21
2018,Latvia,ISIC4_A,MALE,21.46
2019,Latvia,TOTAL,FEMALE,6.51
2007,Austria,ISIC4_A,FEMALE,27.88
2008,Austria,NONAGR,MALE,4.03
2008,Austria,TOTAL,BOTHSEX,4.95
2008,Austria,NONAGR,FEMALE,4.76
2008,Austria,TOTAL,MALE,4.44
2008,Austria,ISIC4_A,FEMALE,21.67
2008,Austria,NONAGR,BOTHSEX,4.35
2008,Austria,ISIC4_A,MALE,12.5
2008,Austria,TOTAL,FEMALE,5.6
2008,Austria,ISIC4_A,BOTHSEX,16.49
2009,Austria,NONAGR,MALE,2.81
2009,Austria,ISIC4_A,MALE,10.55
2009,Austria,NONAGR,BOTHSEX,3.49
2009,Austria,ISIC4_A,FEMALE,19.25
2009,Austria,NONAGR,FEMALE,4.34
2009,Austria,TOTAL,FEMALE,5.03
2019,Latvia,ISIC4_A,FEMALE,28.46
2019,Latvia,ISIC4_A,BOTHSEX,24.14
2019,Latvia,TOTAL,MALE,8.85
2019,Latvia,NONAGR,FEMALE,5.78
2019,Latvia,ISIC4_A,MALE,22.52
2019,Latvia,NONAGR,MALE,7.57
2019,Latvia,NONAGR,BOTHSEX,6.65
2019,Latvia,TOTAL,BOTHSEX,7.68
2009,Austria,TOTAL,MALE,3.15
2009,Austria,ISIC4_A,BOTHSEX,14.52
2009,Austria,TOTAL,BOTHSEX,3.99
2010,Austria,NONAGR,BOTHSEX,4.29
2010,Austria,TOTAL,MALE,3.74
2010,Austria,ISIC4_A,MALE,8.94
2010,Austria,NONAGR,MALE,3.5
2010,Austria,TOTAL,BOTHSEX,4.77
2007,Spain,NONAGR,BOTHSEX,18.88
2007,Spain,TOTAL,MALE,13.59
2007,Spain,TOTAL,FEMALE,25.89
2008,Spain,ISIC4_A,FEMALE,13.97
2008,Spain,NONAGR,BOTHSEX,4.63
2008,Spain,TOTAL,MALE,4.15
2008,Spain,NONAGR,FEMALE,5.54
2008,Spain,NONAGR,MALE,3.93
2010,Austria,TOTAL,FEMALE,6.09
2010,Austria,NONAGR,FEMALE,5.3
2010,Austria,ISIC4_A,FEMALE,22.93
2010,Austria,ISIC4_A,BOTHSEX,15.21
2011,Austria,TOTAL,BOTHSEX,3.81
2011,Austria,ISIC4_A,MALE,11.29
2011,Austria,NONAGR,MALE,2.77
2011,Austria,TOTAL,MALE,3.2
2011,Austria,ISIC4_A,BOTHSEX,16.9
2011,Austria,NONAGR,FEMALE,3.56
2011,Austria,NONAGR,BOTHSEX,3.12
2011,Austria,ISIC4_A,FEMALE,24.08
2011,Austria,TOTAL,FEMALE,4.58
2012,Austria,ISIC4_A,MALE,7.19
2012,Austria,TOTAL,MALE,4.77
2012,Austria,TOTAL,FEMALE,7.28
2020,Latvia,NONAGR,BOTHSEX,7.05
2020,Latvia,NONAGR,MALE,7.68
2020,Latvia,TOTAL,FEMALE,7.2
2020,Latvia,ISIC4_A,BOTHSEX,24.52
2020,Latvia,ISIC4_A,FEMALE,26.36
2020,Latvia,TOTAL,MALE,9.29
2020,Latvia,TOTAL,BOTHSEX,8.23
2020,Latvia,NONAGR,FEMALE,6.48
2008,Spain,TOTAL,FEMALE,5.8
2008,Spain,ISIC4_A,MALE,7.86
2008,Spain,ISIC4_A,BOTHSEX,9.63
2008,Spain,TOTAL,BOTHSEX,4.85
2009,Spain,ISIC4_A,FEMALE,11.78
2009,Spain,ISIC4_A,BOTHSEX,8.38
2009,Spain,TOTAL,MALE,3.06
2009,Spain,NONAGR,BOTHSEX,3.48
2012,Austria,ISIC4_A,FEMALE,13.39
2012,Austria,NONAGR,BOTHSEX,5.7
2012,Austria,TOTAL,BOTHSEX,5.88
2012,Austria,NONAGR,FEMALE,7.02
2012,Austria,ISIC4_A,BOTHSEX,9.87
2012,Austria,NONAGR,MALE,4.66
2013,Austria,NONAGR,MALE,5.52
2013,Austria,NONAGR,BOTHSEX,6.62
2020,Latvia,ISIC4_A,MALE,23.82
2021,Latvia,NONAGR,BOTHSEX,7.43
2021,Latvia,TOTAL,FEMALE,6.65
2021,Latvia,NONAGR,MALE,8.68
2021,Latvia,NONAGR,FEMALE,6.31
2021,Latvia,ISIC4_A,FEMALE,16.79
2021,Latvia,ISIC4_A,MALE,25.51
2021,Latvia,ISIC4_A,BOTHSEX,23.18
2009,Spain,NONAGR,MALE,2.86
2009,Spain,TOTAL,FEMALE,4.45
2009,Spain,TOTAL,BOTHSEX,3.67
2009,Spain,ISIC4_A,MALE,7.14
2009,Spain,NONAGR,FEMALE,4.28
2010,Spain,NONAGR,FEMALE,3.98
2010,Spain,ISIC4_A,BOTHSEX,8.54
2010,Spain,NONAGR,MALE,4.1
2013,Austria,TOTAL,FEMALE,8.23
2013,Austria,ISIC4_A,BOTHSEX,9.64
2013,Austria,TOTAL,BOTHSEX,6.76
2013,Austria,ISIC4_A,FEMALE,13.17
2013,Austria,NONAGR,FEMALE,8.02
2013,Austria,ISIC4_A,MALE,7.35
2013,Austria,TOTAL,MALE,5.61
2014,Austria,NONAGR,FEMALE,3.29
2021,Latvia,TOTAL,BOTHSEX,8.43
2021,Latvia,TOTAL,MALE,10.28
2010,Lithuania,NONAGR,BOTHSEX,4.71
2010,Lithuania,NONAGR,FEMALE,4.9
2010,Lithuania,TOTAL,MALE,8.11
2010,Lithuania,ISIC4_A,FEMALE,51.97
2010,Lithuania,ISIC4_A,MALE,38.46
2010,Lithuania,TOTAL,FEMALE,7.41
2010,Spain,TOTAL,MALE,4.38
2010,Spain,TOTAL,BOTHSEX,4.24
2010,Spain,NONAGR,BOTHSEX,4.04
2010,Spain,ISIC4_A,MALE,8.99
2010,Spain,TOTAL,FEMALE,4.06
2010,Spain,ISIC4_A,FEMALE,7.18
2011,Spain,ISIC4_A,BOTHSEX,6.11
2011,Spain,ISIC4_A,MALE,6.45
2014,Austria,TOTAL,BOTHSEX,2.64
2014,Austria,TOTAL,FEMALE,3.51
2014,Austria,NONAGR,MALE,1.46
2014,Austria,TOTAL,MALE,1.95
2014,Austria,ISIC4_A,FEMALE,8.78
2014,Austria,ISIC4_A,MALE,12.17
2014,Austria,ISIC4_A,BOTHSEX,10.79
2014,Austria,NONAGR,BOTHSEX,2.27
2010,Lithuania,TOTAL,BOTHSEX,7.74
2010,Lithuania,NONAGR,MALE,4.47
2010,Lithuania,ISIC4_A,BOTHSEX,43.37
2011,Lithuania,ISIC4_A,BOTHSEX,44.03
2011,Lithuania,TOTAL,FEMALE,9.89
2011,Lithuania,TOTAL,MALE,7.83
2011,Lithuania,ISIC4_A,FEMALE,61.32
2011,Lithuania,TOTAL,BOTHSEX,8.89
2011,Spain,ISIC4_A,FEMALE,5.05
2011,Spain,TOTAL,MALE,4.02
2011,Spain,TOTAL,FEMALE,5.23
2011,Spain,TOTAL,BOTHSEX,4.55
2011,Spain,NONAGR,MALE,3.87
2011,Spain,NONAGR,FEMALE,5.24
2011,Spain,NONAGR,BOTHSEX,4.48
2012,Spain,TOTAL,BOTHSEX,4.27
2015,Austria,NONAGR,BOTHSEX,3.79
2015,Austria,TOTAL,MALE,4.04
2015,Austria,NONAGR,MALE,3.74
2015,Austria,TOTAL,BOTHSEX,4.14
2015,Austria,ISIC4_A,MALE,10.35
2015,Austria,ISIC4_A,FEMALE,15.03
2015,Austria,ISIC4_A,BOTHSEX,12.23
2015,Austria,NONAGR,FEMALE,3.85
2012,Spain,TOTAL,MALE,3.88
2012,Spain,ISIC4_A,FEMALE,5.38
2012,Spain,ISIC4_A,MALE,6.08
2012,Spain,NONAGR,BOTHSEX,4.19
2012,Spain,TOTAL,FEMALE,4.76
2012,Spain,NONAGR,MALE,3.74
2012,Spain,NONAGR,FEMALE,4.75
2012,Spain,ISIC4_A,BOTHSEX,5.89
2011,Lithuania,NONAGR,BOTHSEX,5.77
2011,Lithuania,ISIC4_A,MALE,35.77
2011,Lithuania,NONAGR,FEMALE,7.11
2011,Lithuania,NONAGR,MALE,4.27
2012,Lithuania,ISIC4_A,BOTHSEX,41.34
2012,Lithuania,ISIC4_A,FEMALE,56.42
2012,Lithuania,TOTAL,FEMALE,12.93
2012,Lithuania,NONAGR,BOTHSEX,8.51
2012,Lithuania,NONAGR,MALE,6.34
2012,Lithuania,TOTAL,BOTHSEX,11.22
2012,Lithuania,TOTAL,MALE,9.41
2012,Lithuania,NONAGR,FEMALE,10.43
2012,Lithuania,ISIC4_A,MALE,33.62
2013,Lithuania,NONAGR,BOTHSEX,6.33
2013,Lithuania,ISIC4_A,BOTHSEX,39.45
2013,Lithuania,NONAGR,FEMALE,7.42
2015,Austria,TOTAL,FEMALE,4.27
2016,Austria,TOTAL,MALE,3.54
2016,Austria,ISIC4_A,BOTHSEX,17.18
2016,Austria,TOTAL,FEMALE,6.39
2016,Austria,TOTAL,BOTHSEX,4.82
2016,Austria,ISIC4_A,FEMALE,26.41
2016,Austria,NONAGR,MALE,3.33
2016,Austria,ISIC4_A,MALE,9.61
2013,Spain,TOTAL,BOTHSEX,5.15
2013,Spain,NONAGR,MALE,4.33
2013,Spain,TOTAL,MALE,4.59
2013,Spain,NONAGR,BOTHSEX,5.03
2013,Spain,ISIC4_A,MALE,8.18
2013,Spain,ISIC4_A,BOTHSEX,7.62
2013,Spain,TOTAL,FEMALE,5.86
2013,Spain,ISIC4_A,FEMALE,5.92
2013,Lithuania,NONAGR,MALE,5.17
2013,Lithuania,ISIC4_A,MALE,32.05
2013,Lithuania,TOTAL,FEMALE,10.0
2013,Lithuania,TOTAL,BOTHSEX,9.01
2013,Lithuania,ISIC4_A,FEMALE,53.5
2013,Lithuania,TOTAL,MALE,8.03
2014,Lithuania,ISIC4_A,BOTHSEX,31.9
2014,Lithuania,TOTAL,MALE,4.32
2016,Austria,NONAGR,FEMALE,5.66
2016,Austria,NONAGR,BOTHSEX,4.37
2017,Austria,ISIC4_A,MALE,10.29
2017,Austria,ISIC4_A,FEMALE,17.64
2017,Austria,ISIC4_A,BOTHSEX,13.35
2017,Austria,NONAGR,FEMALE,4.3
2017,Austria,NONAGR,BOTHSEX,3.87
2017,Austria,TOTAL,MALE,3.77
2017,Austria,TOTAL,BOTHSEX,4.21
2017,Austria,TOTAL,FEMALE,4.75
2017,Austria,NONAGR,MALE,3.51
2018,Austria,ISIC4_A,BOTHSEX,12.04
2018,Austria,ISIC4_A,MALE,6.36
2018,Austria,TOTAL,FEMALE,5.2
2018,Austria,ISIC4_A,FEMALE,20.46
2018,Austria,NONAGR,MALE,4.12
2013,Spain,NONAGR,FEMALE,5.86
