Year,GeoAreaName,Value
2011,Albania,85.6
2012,Albania,99.0
2013,Albania,99.0
2014,Albania,99.0
2015,Albania,99.0
2016,Albania,99.0
2017,Albania,99.2
2018,Albania,99.2
2019,Albania,99.2
2020,Albania,99.2
2021,Albania,99.2
2009,Azerbaijan,32.2
2010,Azerbaijan,69.2
2011,Azerbaijan,89.3
2012,Azerbaijan,96.5
2013,Azerbaijan,96.9
2014,Azerbaijan,97.1
2015,Azerbaijan,95.47
2016,Azerbaijan,95.5
2017,Azerbaijan,96.3
2018,Azerbaijan,97.1
2019,Azerbaijan,97.6
2020,Azerbaijan,97.6
2021,Azerbaijan,99.5
2007,Austria,84.0
2009,Austria,96.0
2010,Austria,96.0
2011,Austria,96.0
2012,Austria,96.0
2013,Austria,96.0
2014,Austria,97.0
2015,Austria,98.0
2016,Austria,98.0
2017,Austria,98.0
2018,Austria,98.0
2019,Austria,98.0
2020,Austria,98.0
2021,Austria,98.0
2009,Armenia,81.1
2010,Armenia,93.0
2011,Armenia,95.0
2012,Armenia,96.3
2013,Armenia,97.68
2014,Armenia,98.8
2015,Armenia,99.9
2016,Armenia,100.0
2017,Armenia,100.0
2018,Armenia,100.0
2019,Armenia,100.0
2020,Armenia,100.0
2021,Armenia,100.0
2007,Belgium,85.0
2008,Belgium,89.9
2009,Belgium,96.7
2010,Belgium,97.0
2011,Belgium,97.0
2012,Belgium,99.5
2013,Belgium,99.5
2014,Belgium,99.5
2015,Belgium,100.0
2016,Belgium,100.0
2017,Belgium,100.0
2018,Belgium,100.0
2019,Belgium,100.0
2020,Belgium,100.0
2021,Belgium,100.0
2009,Bosnia and Herzegovina,25.0
2010,Bosnia and Herzegovina,60.0
2011,Bosnia and Herzegovina,70.0
2012,Bosnia and Herzegovina,72.0
2013,Bosnia and Herzegovina,90.0
2014,Bosnia and Herzegovina,95.0
2015,Bosnia and Herzegovina,95.0
2016,Bosnia and Herzegovina,95.0
2017,Bosnia and Herzegovina,95.0
2018,Bosnia and Herzegovina,95.0
2019,Bosnia and Herzegovina,95.0
2020,Bosnia and Herzegovina,95.0
2021,Bosnia and Herzegovina,97.0
2007,Bulgaria,49.03
2008,Bulgaria,75.69
2009,Bulgaria,82.05
2010,Bulgaria,93.43
2011,Bulgaria,97.81
2012,Bulgaria,99.46
2013,Bulgaria,99.81
2014,Bulgaria,99.88
2015,Bulgaria,99.95
2016,Bulgaria,99.98
2017,Bulgaria,99.99
2018,Bulgaria,99.99
2019,Bulgaria,99.99
2020,Bulgaria,99.99
2021,Bulgaria,99.99
2007,Belarus,0.0
2009,Belarus,59.3
2010,Belarus,67.0
2011,Belarus,80.0
2012,Belarus,87.4
2013,Belarus,89.1
2014,Belarus,95.7
2015,Belarus,95.7
2016,Belarus,98.7
2017,Belarus,99.9
2018,Belarus,99.9
2019,Belarus,99.9
2020,Belarus,99.9
2021,Belarus,99.9
2009,Croatia,75.5
2010,Croatia,78.8
2011,Croatia,81.0
2012,Croatia,93.74
2013,Croatia,98.6
2014,Croatia,98.95
2015,Croatia,99.06
2016,Croatia,99.14
2017,Croatia,99.34
2018,Croatia,99.4
2019,Croatia,99.84
2020,Croatia,99.85
2021,Croatia,99.99
2009,Cyprus,85.0
2010,Cyprus,85.0
2011,Cyprus,85.3
2012,Cyprus,85.3
2013,Cyprus,90.0
2014,Cyprus,90.01
2015,Cyprus,90.01
2016,Cyprus,99.97
2017,Cyprus,99.97
2018,Cyprus,99.97
2019,Cyprus,99.97
2020,Cyprus,99.93
2021,Cyprus,99.93
2008,Czechia,84.0
2009,Czechia,90.4
2010,Czechia,90.4
2011,Czechia,87.0
2012,Czechia,90.1
2013,Czechia,90.3
2014,Czechia,98.4
2015,Czechia,99.0
2016,Czechia,99.7
2017,Czechia,99.8
2018,Czechia,99.8
2019,Czechia,99.8
2020,Czechia,99.8
2021,Czechia,99.8
2008,Denmark,97.0
2012,Denmark,70.1
2013,Denmark,73.6
2014,Denmark,99.5
2015,Denmark,99.99
2016,Denmark,100.0
2017,Denmark,100.0
2018,Denmark,100.0
2019,Denmark,100.0
2020,Denmark,100.0
2021,Denmark,100.0
2009,Estonia,85.0
2010,Estonia,95.0
2011,Estonia,97.0
2012,Estonia,97.0
2013,Estonia,100.0
2014,Estonia,100.0
2015,Estonia,100.0
2016,Estonia,99.0
2017,Estonia,100.0
2018,Estonia,100.0
2019,Estonia,100.0
2020,Estonia,100.0
2021,Estonia,100.0
2008,Finland,80.0
2011,Finland,95.0
2014,Finland,95.0
2015,Finland,99.9
2016,Finland,99.9
2017,Finland,99.9
2018,Finland,99.9
2019,Finland,99.9
2020,Finland,99.9
2021,Finland,99.9
2008,France,72.5
2010,France,91.0
2011,France,98.0
2012,France,98.0
2014,France,98.0
2015,France,99.0
2016,France,99.0
2017,France,99.0
2018,France,99.0
2019,France,99.0
2020,France,99.0
2021,France,99.0
2012,Georgia,74.35
2013,Georgia,80.79
2014,Georgia,99.0
2015,Georgia,99.0
2016,Georgia,99.85
2017,Georgia,99.98
2018,Georgia,99.98
2019,Georgia,99.98
2020,Georgia,99.98
2021,Georgia,99.98
2008,Germany,80.0
2011,Germany,89.0
2012,Germany,90.0
2013,Germany,92.0
2014,Germany,92.5
2015,Germany,95.7
2019,Germany,99.0
2020,Germany,99.64
2021,Germany,99.83
2008,Greece,88.0
2009,Greece,74.5
2010,Greece,96.0
2011,Greece,98.0
2012,Greece,98.0
2013,Greece,98.7
2014,Greece,98.7
2015,Greece,99.3
2016,Greece,99.4
2017,Greece,99.6
2018,Greece,99.7
2019,Greece,99.7
2020,Greece,99.7
2021,Greece,99.7
2008,Hungary,70.0
2009,Hungary,79.0
2010,Hungary,66.0
2011,Hungary,71.0
2012,Hungary,97.4
2014,Hungary,98.4
2015,Hungary,99.0
2016,Hungary,99.0
2017,Hungary,99.0
2018,Hungary,99.2
2019,Hungary,99.2
2020,Hungary,99.2
2021,Hungary,99.2
2007,Iceland,63.0
2009,Iceland,87.0
2010,Iceland,92.0
2011,Iceland,96.0
2012,Iceland,96.0
2013,Iceland,96.0
2014,Iceland,98.0
2015,Iceland,99.0
2016,Iceland,99.0
2017,Iceland,99.0
2018,Iceland,99.0
2019,Iceland,99.0
2020,Iceland,99.98
2021,Iceland,99.98
2008,Ireland,89.0
2011,Ireland,95.0
2012,Ireland,95.0
2013,Ireland,95.0
2014,Ireland,95.0
2015,Ireland,95.0
2016,Ireland,95.0
2017,Ireland,95.0
2018,Ireland,95.0
2019,Ireland,95.0
2020,Ireland,95.0
2021,Ireland,95.0
2008,Italy,62.0
2009,Italy,70.0
2010,Italy,80.0
2011,Italy,98.0
2012,Italy,99.0
2013,Italy,99.7
2014,Italy,99.0
2015,Italy,100.0
2016,Italy,100.0
2017,Italy,100.0
2018,Italy,100.0
2019,Italy,100.0
2020,Italy,100.0
2021,Italy,100.0
2012,Kazakhstan,45.73
2013,Kazakhstan,59.0
2014,Kazakhstan,59.0
2015,Kazakhstan,72.7
2016,Kazakhstan,86.8
2017,Kazakhstan,87.5
2018,Kazakhstan,87.9
2019,Kazakhstan,88.8
2020,Kazakhstan,93.4
2021,Kazakhstan,96.0
2011,Kyrgyzstan,32.0
2012,Kyrgyzstan,46.32
2013,Kyrgyzstan,51.0
2014,Kyrgyzstan,57.0
2015,Kyrgyzstan,59.0
2016,Kyrgyzstan,60.0
2017,Kyrgyzstan,75.0
2018,Kyrgyzstan,88.0
2019,Kyrgyzstan,91.0
2020,Kyrgyzstan,91.0
2021,Kyrgyzstan,91.0
2012,Latvia,95.0
2013,Latvia,95.0
2014,Latvia,95.0
2015,Latvia,95.0
2016,Latvia,99.0
2017,Latvia,99.0
2019,Latvia,99.0
2020,Latvia,99.0
2021,Latvia,99.0
2012,Liechtenstein,98.0
2013,Liechtenstein,99.0
2014,Liechtenstein,99.0
2015,Liechtenstein,99.0
2016,Liechtenstein,99.0
2017,Liechtenstein,99.0
2018,Liechtenstein,99.0
2019,Liechtenstein,99.0
2020,Liechtenstein,99.0
2021,Liechtenstein,99.0
2009,Lithuania,75.5
2010,Lithuania,46.0
2011,Lithuania,40.0
2012,Lithuania,54.0
2013,Lithuania,94.0
2014,Lithuania,99.0
2015,Lithuania,99.98
2016,Lithuania,99.98
2017,Lithuania,99.99
2018,Lithuania,99.99
2019,Lithuania,99.99
2020,Lithuania,99.99
2021,Lithuania,99.99
2008,Luxembourg,90.0
2009,Luxembourg,80.0
2010,Luxembourg,90.0
2012,Luxembourg,95.0
2014,Luxembourg,97.0
2015,Luxembourg,99.0
2016,Luxembourg,99.0
2017,Luxembourg,99.0
2018,Luxembourg,99.0
2019,Luxembourg,99.0
2020,Luxembourg,99.0
2021,Luxembourg,99.0
2012,Malta,88.64
2013,Malta,96.32
2014,Malta,99.0
2015,Malta,100.0
2016,Malta,100.0
2017,Malta,100.0
2018,Malta,100.0
2019,Malta,100.0
2020,Malta,100.0
2021,Malta,100.0
2009,Republic of Moldova,61.9
2011,Republic of Moldova,99.0
2012,Republic of Moldova,99.0
2013,Republic of Moldova,99.0
2014,Republic of Moldova,99.0
