Year,GeoAreaName,Sex,Value
2016,Azerbaijan,BOTHSEX,12.6
2020,Azerbaijan,BOTHSEX,13.4
2016,Austria,BOTHSEX,93.0
2020,Austria,BOTHSEX,93.0
2016,Armenia,BOTHSEX,16.2
2020,Armenia,BOTHSEX,19.6
2016,Belgium,BOTHSEX,100.0
2020,Belgium,MALE,100.0
2020,Belgium,BOTHSEX,100.0
2020,Belgium,FEMALE,100.0
2016,Bulgaria,BOTHSEX,28.8
2020,Bulgaria,BOTHSEX,28.8
2016,Cyprus,BOTHSEX,24.1
2020,Cyprus,BOTHSEX,24.1
2016,Czechia,FEMALE,32.0
2020,Czechia,BOTHSEX,32.0
2016,Denmark,BOTHSEX,63.7
2020,Denmark,BOTHSEX,63.7
2016,Estonia,BOTHSEX,91.7
2020,Estonia,BOTHSEX,91.7
2016,Finland,BOTHSEX,100.0
2020,Finland,MALE,100.0
2020,Finland,FEMALE,100.0
2020,Finland,BOTHSEX,100.0
2016,France,BOTHSEX,100.0
2020,France,FEMALE,100.0
2020,France,MALE,100.0
2020,France,BOTHSEX,100.0
2016,Georgia,BOTHSEX,12.0
2020,Georgia,BOTHSEX,92.9
2016,Germany,MALE,96.0
2020,Germany,BOTHSEX,96.0
2016,Hungary,BOTHSEX,56.0
2020,Hungary,BOTHSEX,56.0
2016,Ireland,BOTHSEX,73.8
2020,Ireland,BOTHSEX,73.8
2020,Italy,BOTHSEX,42.6
2016,Kazakhstan,BOTHSEX,100.0
2020,Kazakhstan,BOTHSEX,74.2
2020,Kyrgyzstan,BOTHSEX,14.1
2016,Latvia,BOTHSEX,85.0
2020,Latvia,BOTHSEX,85.0
2016,Lithuania,BOTHSEX,51.3
2020,Lithuania,BOTHSEX,51.3
2016,Netherlands,BOTHSEX,90.3
2020,Netherlands,BOTHSEX,90.3
2016,Norway,BOTHSEX,83.1
2020,Norway,BOTHSEX,83.1
2016,Poland,BOTHSEX,52.0
2020,Poland,BOTHSEX,52.0
2016,Portugal,BOTHSEX,59.3
2020,Portugal,BOTHSEX,59.3
2016,Romania,BOTHSEX,82.6
2020,Romania,BOTHSEX,82.6
2021,Serbia,BOTHSEX,10.7
2016,Slovakia,BOTHSEX,70.0
2020,Slovakia,BOTHSEX,70.0
2016,Slovenia,BOTHSEX,100.0
2020,Slovenia,FEMALE,100.0
2020,Slovenia,MALE,100.0
2020,Slovenia,BOTHSEX,100.0
2016,Spain,BOTHSEX,45.0
2020,Spain,BOTHSEX,45.0
2016,Sweden,BOTHSEX,100.0
2020,Sweden,FEMALE,100.0
2020,Sweden,MALE,100.0
2020,Sweden,BOTHSEX,100.0
2016,Switzerland,BOTHSEX,70.2
2020,Switzerland,BOTHSEX,70.2
2020,Tajikistan,BOTHSEX,7.5
2021,Turkmenistan,BOTHSEX,10.9
2021,Turkmenistan,MALE,1.9
2021,Turkmenistan,FEMALE,13.2
2018,Ukraine,BOTHSEX,39.0
2017,Uzbekistan,BOTHSEX,16.0
2020,Uzbekistan,BOTHSEX,15.6
2020,Uzbekistan,BOTHSEX,15.6
