Year,GeoAreaName,Value
2021,Croatia,5.69923091645787
2008,Cyprus,3.59414947955595
2009,Cyprus,4.50936302926019
2010,Cyprus,5.82172259923197
2011,Cyprus,9.98623419964975
2012,Cyprus,18.3749456234796
2013,Cyprus,38.5570399026523
2014,Cyprus,44.972072758843
2015,Cyprus,47.7478457712877
2016,Cyprus,36.6991177413136
2017,Cyprus,31.3888946804868
2018,Cyprus,19.520510219693
2019,Cyprus,17.0931036488541
2020,Cyprus,15.0190835443793
2021,Cyprus,8.99828242700788
2007,Czechia,2.36644725441615
2008,Czechia,2.82387346236027
2009,Czechia,4.49075321988402
2010,Czechia,5.45823355942604
2011,Czechia,5.29287307900868
2012,Czechia,5.35167967265287
2013,Czechia,5.26338617282875
2014,Czechia,5.63910825786119
2015,Czechia,5.43997199514248
2016,Czechia,4.52193536660192
2017,Czechia,3.682523035196
2018,Czechia,3.09590989646024
2019,Czechia,1.69280340962665
2020,Czechia,1.91231094967574
2021,Czechia,1.71615122107918
2005,Denmark,0.190194759302831
2010,Denmark,4.06863631073088
2011,Denmark,3.66034288721246
2012,Denmark,5.95051780307892
2013,Denmark,4.61814370485933
2014,Denmark,4.40079073803811
2015,Denmark,3.27824443113
2016,Denmark,2.65748344310486
2017,Denmark,1.74230597655898
2018,Denmark,1.76025735351403
2019,Denmark,1.36888337331626
2020,Denmark,1.40572759059854
2021,Denmark,1.24098689385217
2008,Estonia,1.9446847760978
2009,Estonia,5.20231138473194
2010,Estonia,5.37548640616725
2011,Estonia,4.04580581090276
2012,Estonia,2.62266859406297
2013,Estonia,1.47462231497042
2014,Estonia,1.38823609881308
2015,Estonia,2.76894770314042
2016,Estonia,2.17676369026511
2017,Estonia,2.37887496554021
2018,Estonia,1.55123999961087
2019,Estonia,1.97424852159292
2020,Estonia,1.64284699281484
2021,Estonia,1.08679556479312
2007,Finland,0.226516077373678
2008,Finland,0.409453887918507
2009,Finland,0.56999382899243
2010,Finland,0.505748742041625
2011,Finland,0.456371196024312
2012,Finland,0.445132847109479
2013,Finland,0.440752731540527
2014,Finland,0.847591074961831
2015,Finland,0.93246083066103
2016,Finland,1.04758761475179
2017,Finland,0.72626236804278
2018,Finland,0.950566178824407
2019,Finland,1.5073192904517
2020,Finland,1.45017555342117
2021,Finland,1.47082760274416
2008,France,2.81942025282791
2009,France,4.02193112740747
2010,France,3.75857389340272
2011,France,4.29145434826523
2012,France,4.29452327369679
2013,France,4.49543407979547
2014,France,4.16249928399605
2015,France,4.0452542986778
2016,France,3.70275907528325
2017,France,3.12359565297023
2018,France,2.74834162277966
2019,France,2.47314366528244
2020,France,2.70533899736906
2021,France,2.42255628688584
2003,Georgia,2.34319465597397
2004,Georgia,1.97156766439632
2005,Georgia,1.19432598058677
2006,Georgia,0.80588216364693
2007,Georgia,0.838418571196985
2008,Georgia,4.05808130517855
2009,Georgia,6.25544102917719
2010,Georgia,5.91968270460939
2011,Georgia,4.52600160107428
2012,Georgia,3.68025550193123
2013,Georgia,3.03171606579417
2014,Georgia,3.027064429527
2015,Georgia,2.7114511435798
2016,Georgia,3.44697501744778
2010,Albania,13.5082167685541
2011,Albania,18.047853036844
2012,Albania,21.1949876792055
2013,Albania,22.2438572106859
2014,Albania,21.4603340500503
2015,Albania,16.8424536921792
2016,Albania,16.5545127518585
2017,Albania,11.97172277931
2018,Albania,10.4273900688183
2019,Albania,7.97222983771095
2020,Albania,7.65009174813949
2021,Albania,5.39391025321323
2022,Albania,4.78957460572704
2006,Austria,2.73942939162815
2007,Austria,2.24246731582086
2008,Austria,1.90306942802893
2009,Austria,2.25042258658752
2010,Austria,2.83071715205898
2011,Austria,2.70681550509306
2012,Austria,2.81336476630545
2013,Austria,2.86654169526513
2014,Austria,3.47337431453068
2015,Austria,3.39283728404187
2016,Austria,2.69521741465076
2017,Austria,2.36889544229069
2018,Austria,1.88242856429559
2019,Austria,1.62862135995416
2020,Austria,1.57678096672626
2005,Armenia,1.97208948345974
2006,Armenia,2.4475556859775
2007,Armenia,2.40401572394746
2008,Armenia,4.28418920018598
2009,Armenia,4.86361900244843
2010,Armenia,3.04141129948019
2011,Armenia,3.42109151341693
2012,Armenia,3.66922217057882
2013,Armenia,4.48533892299217
2014,Armenia,6.96975042813576
2015,Armenia,7.94971668385926
2016,Armenia,6.72411125058909
2017,Armenia,5.43231777940314
2018,Armenia,4.75439825091817
2019,Armenia,5.50666582915208
2020,Armenia,6.55481572888625
2006,Belgium,1.28016415707089
2007,Belgium,1.16267286868485
2008,Belgium,1.66567893097526
2009,Belgium,3.11494720432571
2010,Belgium,2.83293355859471
2011,Belgium,3.34867691886338
2012,Belgium,3.79788657163647
2013,Belgium,4.318537467084
2014,Belgium,4.24739060198863
2015,Belgium,3.85093164747182
2016,Belgium,3.48452664274546
2017,Belgium,2.96174954064201
2017,Georgia,2.77879996979284
2018,Georgia,2.67886834382407
2019,Georgia,1.92840956509862
2020,Georgia,2.26743833598589
2021,Georgia,1.87663102481132
2022,Georgia,1.51410975758066
2005,Germany,4.05
2006,Germany,3.41
2007,Germany,2.65
2008,Germany,2.85
2009,Germany,3.31
2010,Germany,3.2
2011,Germany,3.03
2012,Germany,2.86
2013,Germany,2.7
2018,Belgium,2.26826570545996
2019,Belgium,2.08706915566812
2020,Belgium,2.06995809018823
2021,Belgium,2.03126042204704
2000,Bosnia and Herzegovina,21.215964833505
2001,Bosnia and Herzegovina,17.9071007297324
2002,Bosnia and Herzegovina,11.0172196258194
2003,Bosnia and Herzegovina,8.38582572565641
2004,Bosnia and Herzegovina,6.07354427319199
2005,Bosnia and Herzegovina,5.27560000618114
2006,Bosnia and Herzegovina,3.99876150251155
2007,Bosnia and Herzegovina,3.01859191826486
2008,Bosnia and Herzegovina,3.09119803439691
2009,Bosnia and Herzegovina,5.8712072518763
2014,Germany,2.34
2015,Germany,1.97
2016,Germany,1.71
2017,Germany,1.5
2018,Germany,1.24
2019,Germany,1.05
2008,Greece,2.47019680774369
2009,Greece,3.7737094478324
2010,Greece,5.62295516381546
2011,Greece,9.19946087632775
2012,Greece,15.7182240298714
2013,Greece,27.8147390613922
2014,Greece,29.9945374662288
2015,Greece,35.7068688820245
2016,Greece,37.3561319650912
2017,Greece,45.5723195514792
2018,Greece,41.9878672308848
2019,Greece,36.4485402973695
2020,Greece,26.978044320607
2021,Greece,9.16143294899957
2008,Hungary,3.22977053583448
2009,Hungary,8.13169846349339
2010,Hungary,10.0371610997272
2011,Hungary,13.6774946903895
2012,Hungary,16.042828623319
2013,Hungary,16.8257283651434
2014,Hungary,15.6215268130428
2015,Hungary,11.6631260334093
2016,Hungary,7.42356209737637
2010,Bosnia and Herzegovina,11.421782175376
2011,Bosnia and Herzegovina,11.7997140822193
2012,Bosnia and Herzegovina,13.4656882284517
2013,Bosnia and Herzegovina,15.1198478740683
2014,Bosnia and Herzegovina,14.1653123764986
2015,Bosnia and Herzegovina,13.7084158662801
2016,Bosnia and Herzegovina,11.7777190845963
2017,Bosnia and Herzegovina,10.0462751524632
2018,Bosnia and Herzegovina,8.77033547967657
2019,Bosnia and Herzegovina,7.41165705829786
2020,Bosnia and Herzegovina,6.12240215634338
2021,Bosnia and Herzegovina,5.77886406049307
2008,Bulgaria,2.40390652919768
2009,Bulgaria,6.42293385932725
2017,Hungary,4.16778804339289
2018,Hungary,2.46529955892284
2019,Hungary,1.50911884316991
2020,Hungary,3.95320327433446
2021,Hungary,3.66343769038352
2015,Iceland,5.85225689416538
2016,Iceland,4.12279811915939
2017,Iceland,2.86409951072451
2018,Iceland,2.51329639871644
2019,Iceland,2.92802451232259
2020,Iceland,2.90217036371759
2021,Iceland,2.06156567231269
2022,Iceland,1.39911577474254
2005,Ireland,0.480366744116291
2010,Bulgaria,11.9177087634194
2011,Bulgaria,14.9736139565097
2012,Bulgaria,16.6263209293069
2013,Bulgaria,16.8785208328338
2014,Bulgaria,16.7465294214345
2015,Bulgaria,14.612050861519
2016,Bulgaria,13.1730655335127
2017,Bulgaria,10.434453416252
2018,Bulgaria,7.80156177334957
2019,Bulgaria,6.62129943689451
2020,Bulgaria,5.79835202186254
2010,Belarus,3.54880427143014
2011,Belarus,4.15959581162895
2012,Belarus,5.50187400609008
2006,Ireland,0.534720753421795
2007,Ireland,0.629176742433281
2008,Ireland,1.92252115115214
2009,Ireland,9.7963666080107
2010,Ireland,12.4666710113595
2011,Ireland,16.1214680824703
2012,Ireland,21.3116231755291
2013,Ireland,22.3727039607198
2014,Ireland,20.64880382204
2015,Ireland,16.9137587763139
2016,Ireland,12.6269750146121
2017,Ireland,11.4589228987576
2018,Ireland,5.45685456904851
2019,Ireland,3.36383712525729
2020,Ireland,3.36142776920367
2021,Ireland,2.4821487470182
2005,Italy,6.99617313682385
2006,Italy,6.56811457626493
2007,Italy,5.7776082194137
2008,Italy,6.28258103994627
2009,Italy,9.4463437392788
2010,Italy,10.0278370674613
2011,Italy,11.7423491843706
2012,Italy,13.7463696406392
2013,Italy,16.5427056350995
2014,Italy,18.0330469839719
2015,Italy,18.064368830052
2016,Italy,17.1162385246125
2017,Italy,14.3832990405839
2018,Italy,8.38628316437891
2019,Italy,6.74918443535526
2020,Italy,4.35972073669912
2021,Italy,3.34809683915318
2008,Kazakhstan,7.08977471729689
2009,Kazakhstan,18.9234054057108
2010,Kazakhstan,20.9306236433774
2011,Kazakhstan,20.6654679453399
2012,Kazakhstan,19.3898666527902
2013,Kazakhstan,19.4708307953111
2014,Kazakhstan,12.3921431661953
2015,Kazakhstan,7.95254057239387
2016,Kazakhstan,6.71835222170944
2017,Kazakhstan,9.30976808361683
2018,Kazakhstan,7.38538294911547
2019,Kazakhstan,8.14263936186248
2020,Kazakhstan,6.85230170596321
2010,Kosovo,5.69841005452576
2011,Kosovo,5.60078770656019
2012,Kosovo,7.16122893927306
2013,Kosovo,8.13319885151951
2014,Kosovo,7.9569987721034
2015,Kosovo,5.83242585494619
2016,Kosovo,4.66130242044662
2017,Kosovo,2.93417258582566
2018,Kosovo,2.56894447422836
2019,Kosovo,1.93256959783446
2020,Kosovo,2.47418317289528
2021,Kosovo,2.13270464070687
2022,Kosovo,1.93873042358907
2010,Kyrgyzstan,14.7757186410975
2011,Kyrgyzstan,9.39821221158704
2012,Kyrgyzstan,6.55111366918828
2013,Kyrgyzstan,5.09046603734623
2014,Kyrgyzstan,4.18259903121424
2015,Kyrgyzstan,6.74285924908889
2016,Kyrgyzstan,8.51774848332393
2017,Kyrgyzstan,7.36791636375828
2018,Kyrgyzstan,7.29695767112001
2019,Kyrgyzstan,7.73068414377395
2020,Kyrgyzstan,10.0935469076538
2021,Kyrgyzstan,10.8192081411845
2022,Kyrgyzstan,12.4535695064953
2008,Latvia,3.04485753229265
2009,Latvia,20.2710789757026
2010,Latvia,22.2897256358893
2011,Latvia,14.0547877289945
2012,Latvia,8.7237859152224
2013,Latvia,6.4070404515206
2014,Latvia,4.59775813860822
2015,Latvia,4.64467819332291
2016,Latvia,6.25574429476529
2017,Latvia,5.50697759974228
2018,Latvia,5.28840202667788
2019,Latvia,5.00157140027426
2020,Latvia,3.09137577308037
2021,Latvia,2.47301429041714
2008,Lithuania,5.9947885892443
2009,Lithuania,22.1397887438421
2010,Lithuania,21.3129447476114
2011,Lithuania,17.6402783873711
2012,Lithuania,14.1140616832463
2013,Lithuania,11.5860323295319
2014,Lithuania,8.1860494113904
2015,Lithuania,4.94956913376007
2016,Lithuania,3.66064619634649
2017,Lithuania,3.17709584415856
