Year,GeoAreaName,Value
2006,Bosnia and Herzegovina,4716.11287
2007,Bosnia and Herzegovina,1930.4746
2008,Bosnia and Herzegovina,1865.89111
2009,Bosnia and Herzegovina,1788.26508
2010,Bosnia and Herzegovina,1640.33544
2011,Bosnia and Herzegovina,1554.69915
2012,Bosnia and Herzegovina,1403.54707
2013,Bosnia and Herzegovina,739.56357
2014,Bosnia and Herzegovina,613.17461
2015,Bosnia and Herzegovina,532.96558
2016,Bosnia and Herzegovina,523.05071
2017,Bosnia and Herzegovina,514.61833
2018,Bosnia and Herzegovina,499.0868
2019,Bosnia and Herzegovina,493.10058
2000,Albania,214.19602
2001,Albania,242.39454
2002,Albania,344.92222
2003,Albania,336.18746
2004,Albania,342.51783
2005,Albania,419.66437
2006,Albania,468.82274
2000,Hungary,5.02397
2001,Hungary,9.33483
2002,Hungary,34.68164
2003,Hungary,33.5774
2004,Hungary,27.2327
2005,Hungary,34.92885
2006,Hungary,31.00079
2020,Bosnia and Herzegovina,470.43277
2021,Bosnia and Herzegovina,557.22108
2022,Bosnia and Herzegovina,558.96881
2000,Bulgaria,29.7971
2001,Bulgaria,26.50397
2002,Bulgaria,35.76893
2003,Bulgaria,32.49859
2007,Albania,514.8518
2008,Albania,507.81793
2009,Albania,534.86953
2010,Albania,505.7396
2011,Albania,465.87128
2012,Albania,433.18241
2013,Albania,348.99722
2000,Norway,0.0
2001,Norway,0.0
2002,Norway,0.10983
2003,Norway,0.10922
2004,Norway,0.10854
2005,Norway,0.25858
2006,Norway,0.0
2007,Hungary,33.72445
2008,Hungary,16.09143
2009,Hungary,15.34608
2010,Hungary,14.38731
2011,Hungary,12.42062
2012,Hungary,10.9469
2013,Hungary,12.32781
2004,Bulgaria,28.39556
2005,Bulgaria,54.52812
2006,Bulgaria,44.29607
2007,Bulgaria,42.93953
2008,Bulgaria,39.65015
2009,Bulgaria,36.0055
2010,Bulgaria,33.7843
2014,Hungary,12.82183
2015,Hungary,14.71573
2016,Hungary,29.67899
2017,Hungary,34.10143
2018,Hungary,40.16406
2019,Hungary,40.99599
2020,Hungary,47.42368
2021,Hungary,48.00272
2022,Hungary,19.58019
2000,Iceland,1.76284
2001,Iceland,0.0
2002,Iceland,4.50199
2003,Iceland,3.78182
2004,Iceland,2.72225
2007,Norway,0.0
2008,Norway,0.0
2009,Norway,0.0
2010,Norway,0.0
2011,Norway,0.10027
2012,Norway,0.09898
2013,Norway,0.29357
2014,Norway,0.29034
2015,Norway,0.19178
2016,Norway,0.19016
2017,Norway,0.28323
2018,Norway,0.09383
2019,Norway,0.09315
2020,Norway,0.09273
2005,Iceland,3.33111
2006,Iceland,10.39018
2007,Iceland,3.16691
2008,Iceland,3.12808
2009,Iceland,1.57267
2010,Iceland,1.56865
2011,Iceland,0.0
2014,Albania,351.01641
2015,Albania,359.72504
2016,Albania,382.51617
2017,Albania,420.95693
2018,Albania,467.68097
2019,Albania,520.47741
2020,Albania,539.53821
2011,Bulgaria,30.8794
2012,Bulgaria,28.72047
2013,Bulgaria,25.3215
2014,Bulgaria,22.38859
2015,Bulgaria,17.36648
2016,Bulgaria,11.07319
2017,Bulgaria,10.01294
2012,Iceland,0.0
2013,Iceland,0.0
2014,Iceland,0.0
2015,Iceland,0.0
2016,Iceland,0.0
2017,Iceland,1.43395
2018,Iceland,1.39972
2018,Bulgaria,8.75033
2019,Bulgaria,8.06176
2020,Bulgaria,7.35016
2021,Bulgaria,6.65781
2022,Bulgaria,8.93468
2000,Belarus,24.57481
2001,Belarus,36.27673
2002,Belarus,62.99063
2003,Belarus,77.86109
2004,Belarus,82.4596
2005,Belarus,89.27917
2006,Belarus,95.04861
2007,Belarus,50.56934
2008,Belarus,54.99352
2021,Albania,692.08774
2022,Albania,707.85696
2000,Azerbaijan,3336.18979
2001,Azerbaijan,3126.49742
2002,Azerbaijan,2998.86426
2003,Azerbaijan,2890.65433
2004,Azerbaijan,2829.7831
2019,Iceland,1.37233
2020,Iceland,1.355
2021,Iceland,1.34525
2022,Iceland,24.66547
2000,Ireland,0.13172
2001,Ireland,0.12946
2002,Ireland,0.12734
2009,Belarus,56.59132
2010,Belarus,58.98085
2011,Belarus,60.97637
2012,Belarus,63.73823
2013,Belarus,45.24843
2014,Belarus,44.28502
2015,Belarus,42.40468
2005,Azerbaijan,2613.40997
2006,Azerbaijan,1409.37545
2007,Azerbaijan,177.82281
2008,Azerbaijan,179.79069
2009,Azerbaijan,184.29007
2010,Azerbaijan,179.91355
2011,Azerbaijan,171.3149
2012,Azerbaijan,162.4732
2013,Azerbaijan,111.53725
2014,Azerbaijan,107.06017
2015,Azerbaijan,97.73328
2016,Azerbaijan,100.77502
2017,Azerbaijan,107.59626
2018,Azerbaijan,110.22006
2003,Ireland,0.15034
2004,Ireland,0.12276
2005,Ireland,0.55162
2006,Ireland,0.11628
2007,Ireland,0.20364
2008,Ireland,0.15607
2009,Ireland,0.15506
2019,Azerbaijan,113.03671
2020,Azerbaijan,975.85634
2021,Azerbaijan,380.72779
2022,Azerbaijan,400.31901
2000,Austria,0.41149
2001,Austria,0.335
2002,Austria,0.88906
2003,Austria,0.83519
2004,Austria,0.53654
2005,Austria,0.7512
2006,Austria,0.36223
2007,Austria,0.22871
2008,Austria,0.17997
2009,Austria,0.17962
2010,Ireland,0.15436
2011,Ireland,0.15371
2012,Ireland,0.15301
2013,Ireland,0.15208
2014,Ireland,0.15081
2015,Ireland,0.10661
2016,Ireland,0.0
2010,Austria,0.11941
2011,Austria,0.11894
2012,Austria,0.17748
2013,Austria,0.05877
2014,Austria,0.05824
2015,Austria,0.0
2016,Austria,0.0
2016,Belarus,39.43251
2017,Belarus,37.59825
2018,Belarus,36.38644
2019,Belarus,35.43909
2020,Belarus,32.66533
2021,Belarus,48.47962
2022,Belarus,93.46309
2017,Austria,0.11335
2018,Austria,0.27092
2019,Austria,0.20222
2020,Austria,0.20192
2021,Austria,0.25757
2022,Austria,0.29084
2000,Armenia,183.41488
2017,Ireland,0.0
2018,Ireland,0.0
2019,Ireland,0.0
2020,Ireland,0.0
2021,Ireland,0.09988
2022,Ireland,0.45788
2000,Italy,0.08073
2001,Armenia,230.6571
2002,Armenia,426.34465
2003,Armenia,426.07358
2004,Armenia,436.79545
2005,Armenia,457.56761
2006,Armenia,492.20372
2007,Armenia,512.91151
2008,Armenia,546.37881
2009,Armenia,605.45895
2010,Armenia,594.10445
2011,Armenia,561.40243
2012,Armenia,545.07739
2013,Armenia,412.63946
2014,Armenia,408.69277
2001,Italy,0.06315
2002,Italy,0.38981
2003,Italy,0.36084
2004,Italy,0.33059
2005,Italy,0.3755
2006,Italy,0.18108
2007,Italy,0.14233
2000,Croatia,6904.72733
2001,Croatia,6067.33696
2002,Croatia,5790.0097
2003,Croatia,4917.80689
2004,Croatia,4632.41742
2005,Croatia,2623.13343
2006,Croatia,2081.13839
2007,Croatia,2231.92915
2008,Croatia,2163.06219
2009,Croatia,1717.6137
2010,Croatia,1487.73174
2011,Croatia,1422.27551
2012,Croatia,1428.27681
2013,Croatia,1144.64988
2008,Italy,0.09591
