Year,GeoAreaName,Value
2018,Albania,20
2018,Austria,2
2019,Armenia,0
2020,Armenia,0
2021,Armenia,0
2005,Bulgaria,337
2006,Bulgaria,20
2007,Bulgaria,0
2009,Bulgaria,0
2010,Bulgaria,12
2011,Bulgaria,0
2012,Bulgaria,96
2013,Bulgaria,0
2014,Bulgaria,16
2015,Bulgaria,33
2016,Bulgaria,20
2017,Bulgaria,138
2018,Bulgaria,48
2019,Bulgaria,2
2021,Bulgaria,155
2015,Belarus,0
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2020,Belarus,0
2021,Belarus,0
2005,Cyprus,29
2006,Cyprus,16
2007,Cyprus,34
2008,Cyprus,1
2009,Cyprus,308
2010,Cyprus,76
2011,Cyprus,322
2012,Cyprus,5
2013,Cyprus,1
2014,Cyprus,722
2015,Cyprus,88
2016,Cyprus,1
2015,Czechia,0
2016,Czechia,0
2017,Czechia,0
2015,Denmark,0
2016,Denmark,0
2017,Denmark,0
2018,Denmark,0
2019,Denmark,0
2020,Denmark,0
2005,Estonia,0
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,0
2011,Estonia,0
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2005,Finland,0
2006,Finland,0
2007,Finland,0
2008,Finland,0
2009,Finland,0
2010,Finland,0
2011,Finland,0
2012,Finland,0
2013,Finland,0
2014,Finland,0
2015,Finland,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2005,Georgia,0
2006,Georgia,0
2007,Georgia,0
2008,Georgia,0
2009,Georgia,0
2010,Georgia,0
2011,Georgia,0
2012,Georgia,0
2013,Georgia,0
2014,Georgia,0
2015,Georgia,0
2016,Georgia,0
2017,Georgia,0
2018,Georgia,0
2019,Georgia,0
2020,Georgia,64
2021,Georgia,0
2020,Hungary,0
2021,Hungary,0
2015,Ireland,0
2016,Ireland,606
2005,Kazakhstan,0
