Year,GeoAreaName,Value
2014,Albania,0.0
2000,Azerbaijan,26783.0
2001,Azerbaijan,4927.0
2002,Azerbaijan,3342.0
2003,Azerbaijan,11492.0
2004,Azerbaijan,105165.0
2005,Azerbaijan,5571.0
2006,Azerbaijan,1435482.0
2007,Azerbaijan,7677.0
2008,Azerbaijan,69180.0
2009,Azerbaijan,173658.0938
2010,Azerbaijan,151291.9062
2011,Azerbaijan,138281.5
2012,Azerbaijan,205211.2031
2013,Azerbaijan,152446.0
2014,Azerbaijan,529106.5
2015,Azerbaijan,382998.0
2016,Azerbaijan,707768.0
2017,Azerbaijan,216837.0
2018,Azerbaijan,283600.0
2019,Azerbaijan,254450.0
2020,Azerbaijan,296370.0
2021,Azerbaijan,299042.0
2004,Austria,861967.0
2006,Austria,335042.0
2008,Austria,395221.0
2010,Austria,401082.0
2012,Austria,338860.0
2014,Austria,440136.0
2016,Austria,448518.0
2018,Austria,458489.0
2020,Austria,402927.0
2000,Armenia,381578.0
2001,Armenia,375500.0
2002,Armenia,377900.0
2003,Armenia,344095.0
2004,Armenia,351400.0
2005,Armenia,346325.0
2006,Armenia,352279.0
2007,Armenia,362275.0
2008,Armenia,437258.53125
2009,Armenia,441023.5625
2010,Armenia,435397.78125
2011,Armenia,462895.8125
2012,Armenia,470505.6875
2013,Armenia,579049.8125
2014,Armenia,576419.375
2015,Armenia,555076.5625
2016,Armenia,615470.625
2017,Armenia,537813.6875
2018,Armenia,510858.5
2019,Armenia,570537.0
2004,Belgium,3310427.0
2006,Belgium,1760728.0
2008,Belgium,2200008.0
2010,Belgium,3487665.0
2012,Belgium,1703615.0
2014,Belgium,2101500.0
2016,Belgium,2449731.0
2018,Belgium,2713106.0
2020,Belgium,2284076.0
2004,Bulgaria,12090994.0
2006,Bulgaria,13474505.0
2008,Bulgaria,13037033.0
2010,Bulgaria,13561160.0
2012,Bulgaria,13389620.0
2014,Bulgaria,12176438.0
2016,Bulgaria,13177710.0
2018,Bulgaria,13557932.0
2020,Bulgaria,13791874.0
2005,Belarus,296800.0
2006,Belarus,323900.0
2007,Belarus,420400.0
2008,Belarus,537900.0
2009,Belarus,809800.0
2010,Belarus,957500.0
2011,Belarus,968400.0
2012,Belarus,1477060.0
2013,Belarus,1237640.0
2014,Belarus,1455060.0
2015,Belarus,1013570.0
2016,Belarus,1351350.0
2017,Belarus,1208420.0
2018,Belarus,2194923.0
2019,Belarus,1712710.0
2020,Belarus,1911507.0
2021,Belarus,1664040.0
2004,Croatia,42636.0
2006,Croatia,623383.0
2008,Croatia,18364.0
2010,Croatia,68554.0
2012,Croatia,73404.0
2014,Croatia,66055.0
2016,Croatia,75892.0
2018,Croatia,80637.0
2020,Croatia,105625.0
2004,Cyprus,65047.0
2006,Cyprus,16651.0
2008,Cyprus,23290.0
2010,Cyprus,30779.0
2012,Cyprus,13277.0
2014,Cyprus,157243.0
2016,Cyprus,141504.0
2018,Cyprus,210645.0
2020,Cyprus,22434.0
2004,Czechia,648497.0
2006,Czechia,572497.0
2008,Czechia,834798.0
2010,Czechia,831600.0
2012,Czechia,753402.0
2014,Czechia,597309.0
2016,Czechia,529490.0
2018,Czechia,615884.0
2020,Czechia,629832.0
2004,Denmark,338334.0
2006,Denmark,375562.0
2008,Denmark,416095.0
2010,Denmark,1073218.0
2012,Denmark,1206582.0
2014,Denmark,1546812.0
2016,Denmark,1884932.0
2018,Denmark,1774584.0
2020,Denmark,1102204.0
2004,Estonia,7180381.0
2006,Estonia,6864430.0
2008,Estonia,7708801.0
2010,Estonia,8928558.0
2012,Estonia,9131275.0
2014,Estonia,10315094.0
2016,Estonia,9590378.0
2018,Estonia,10729229.0
2020,Estonia,1474556.0
2004,Finland,2229060.0
2006,Finland,2172452.0
2008,Finland,2178038.0
2010,Finland,1365767.0
2012,Finland,1411308.0
2014,Finland,1915719.0
2016,Finland,2003904.0
2018,Finland,1724057.0
2020,Finland,3039892.0
2004,France,6772000.0
2006,France,6689820.0
2008,France,6853136.0
2010,France,8533645.0
2012,France,8841003.0
2014,France,7605065.0
2016,France,7165230.0
2018,France,9522197.0
2020,France,8118893.0
2004,Germany,20556732.0
2006,Germany,21743227.0
2008,Germany,23823844.0
2010,Germany,19046941.0
2012,Germany,21098397.0
2014,Germany,20521107.0
2016,Germany,21499052.0
2018,Germany,22419164.0
2020,Germany,21407959.0
2004,Greece,292650.0
2006,Greece,186785.0
2008,Greece,157014.0
2010,Greece,108202.0
2012,Greece,108104.0
2014,Greece,115015.0
2016,Greece,419407.0
2018,Greece,499943.0
2020,Greece,468674.0
2004,Hungary,325032.0
2006,Hungary,1179859.0
2008,Hungary,449610.0
2010,Hungary,373999.0
2012,Hungary,376811.0
2014,Hungary,372580.0
2016,Hungary,341660.0
2018,Hungary,384006.0
2020,Hungary,421202.0
2004,Iceland,11000.0
2008,Iceland,135100.0
2010,Iceland,7926.0
2012,Iceland,11639.0
2014,Iceland,36250.0
2016,Iceland,47852.0
2018,Iceland,27020.0
2004,Ireland,122734.0
2006,Ireland,190951.0
2008,Ireland,192782.0
2010,Ireland,266742.0
2012,Ireland,69111.0
2014,Ireland,86518.0
2016,Ireland,78411.0
2018,Ireland,115085.0
2004,Italy,2885110.0
2006,Italy,2926159.0
2008,Italy,3277345.0
2010,Italy,3106766.0
2012,Italy,3258267.0
2014,Italy,3574305.0
2016,Italy,3648542.0
2018,Italy,4531197.0
2020,Italy,4412859.0
2004,Kazakhstan,28404118.0
2005,Kazakhstan,17450440.0
2006,Kazakhstan,60856496.0
2007,Kazakhstan,283727872.0
2008,Kazakhstan,369855040.0
2009,Kazakhstan,106067768.0
2010,Kazakhstan,85282656.0
2011,Kazakhstan,108102072.0
2012,Kazakhstan,126843584.0
2013,Kazakhstan,175721440.0
2014,Kazakhstan,131607696.0
2015,Kazakhstan,86369280.0
2016,Kazakhstan,53210292.0
2017,Kazakhstan,399558016.0
2018,Kazakhstan,536541792.0
2019,Kazakhstan,370582784.0
2000,Kyrgyzstan,4011426.0
2001,Kyrgyzstan,35.0
2002,Kyrgyzstan,39.0
2003,Kyrgyzstan,5327.0
2004,Kyrgyzstan,307.0
2005,Kyrgyzstan,1555.0
2006,Kyrgyzstan,1258.0
2007,Kyrgyzstan,7909705.0
