Year,GeoAreaName,Age,Freq,Location,Sex,Value
2000,Albania,,,,,18.00857
2001,Albania,,,,,18.00857
2002,Albania,,,,,18.00857
2003,Albania,,,,,18.00857
2004,Albania,,,,,21.39582
2005,Albania,,,,,24.35709
2006,Albania,,,,,25.8089
2007,Albania,,,,,29.27365
2008,Albania,,,,,32.5212
2009,Albania,,,,,32.5212
2010,Albania,,,,,39.33411
2011,Albania,,,,,42.49268
2012,Albania,,,,,45.69862
2013,Albania,,,,,47.74644
2014,Albania,,,,,47.74644
2015,Albania,,,,,47.74644
2016,Albania,,,,,47.75835
2017,Albania,,,,,47.75835
2000,Bulgaria,,,,,12.40748
2001,Bulgaria,,,,,14.34809
2002,Bulgaria,,,,,27.33322
2003,Bulgaria,,,,,27.33492
2004,Bulgaria,,,,,27.3364
2005,Bulgaria,,,,,27.79562
2013,Liechtenstein,,,,,80.80091
2014,Liechtenstein,,,,,80.80091
2015,Liechtenstein,,,,,80.80091
2016,Liechtenstein,,,,,80.80091
2017,Liechtenstein,,,,,80.80091
2018,Liechtenstein,,,,,80.80091
2006,Bulgaria,,,,,27.87695
2007,Bulgaria,,,,,97.68615
2008,Bulgaria,,,,,98.31813
2009,Bulgaria,,,,,98.31813
2010,Bulgaria,,,,,98.31813
2011,Bulgaria,,,,,98.32241
2019,Liechtenstein,,,,,80.80091
2020,Liechtenstein,,,,,80.80091
2021,Liechtenstein,,,,,80.80091
2022,Liechtenstein,,,,,80.80091
2000,Lithuania,,,,,38.41434
2001,Lithuania,,,,,38.41434
2000,Georgia,,,,,21.28073
2001,Georgia,,,,,21.28073
2002,Georgia,,,,,21.28073
2003,Georgia,,,,,27.24431
2004,Georgia,,,,,27.24431
2005,Georgia,,,,,27.24431
2018,Albania,,,,,48.64983
2019,Albania,,,,,48.64983
2020,Albania,,,,,48.64983
2021,Albania,,,,,48.64983
2022,Albania,,,,,48.64983
2000,Azerbaijan,,,,,21.56186
2012,Bulgaria,,,,,98.32241
2013,Bulgaria,,,,,98.32241
2014,Bulgaria,,,,,98.32241
2015,Bulgaria,,,,,98.32246
2016,Bulgaria,,,,,98.32246
2017,Bulgaria,,,,,98.32246
2002,Lithuania,,,,,39.19654
2003,Lithuania,,,,,39.19654
2004,Lithuania,,,,,75.58561
2005,Lithuania,,,,,90.20256
2006,Lithuania,,,,,90.27481
2007,Lithuania,,,,,90.27481
2008,Lithuania,,,,,90.27481
2009,Lithuania,,,,,91.19015
2010,Lithuania,,,,,91.39803
2011,Lithuania,,,,,91.67222
2012,Lithuania,,,,,91.67456
2013,Lithuania,,,,,91.67456
2014,Lithuania,,,,,91.6776
2015,Lithuania,,,,,91.68138
2016,Lithuania,,,,,91.68138
2017,Lithuania,,,,,91.68138
2018,Lithuania,,,,,91.68138
2019,Lithuania,,,,,91.68138
2006,Georgia,,,,,29.21395
2007,Georgia,,,,,34.41954
2008,Georgia,,,,,34.41954
2009,Georgia,,,,,34.41954
2010,Georgia,,,,,34.41954
2011,Georgia,,,,,37.85399
2018,Bulgaria,,,,,99.19406
2019,Bulgaria,,,,,99.2754
2020,Bulgaria,,,,,99.2754
2021,Bulgaria,,,,,99.2754
2022,Bulgaria,,,,,99.2754
2000,Belarus,,,,,69.21331
2020,Lithuania,,,,,91.68155
2021,Lithuania,,,,,91.68155
2022,Lithuania,,,,,91.68155
2000,Luxembourg,,,,,42.87528
2001,Luxembourg,,,,,42.87528
2002,Luxembourg,,,,,68.48544
2003,Luxembourg,,,,,69.09542
2004,Luxembourg,,,,,74.67049
2005,Luxembourg,,,,,74.73414
2006,Luxembourg,,,,,74.73414
2007,Luxembourg,,,,,74.7989
2008,Luxembourg,,,,,74.7989
2012,Georgia,,,,,38.61304
2013,Georgia,,,,,38.61311
2014,Georgia,,,,,40.34226
2015,Georgia,,,,,40.34226
2016,Georgia,,,,,40.34226
2017,Georgia,,,,,40.34226
2001,Belarus,,,,,76.06976
2002,Belarus,,,,,76.06976
2003,Belarus,,,,,76.06976
2004,Belarus,,,,,76.06976
2005,Belarus,,,,,77.43318
2006,Belarus,,,,,77.43318
2009,Luxembourg,,,,,78.59105
2010,Luxembourg,,,,,78.59105
2011,Luxembourg,,,,,78.59105
2012,Luxembourg,,,,,78.94256
2013,Luxembourg,,,,,78.94256
2014,Luxembourg,,,,,78.98003
2018,Georgia,,,,,40.34226
2019,Georgia,,,,,40.34578
2020,Georgia,,,,,40.34578
2021,Georgia,,,,,42.37266
2022,Georgia,,,,,42.37266
2000,Germany,,,,,46.02583
2007,Belarus,,,,,77.43318
2008,Belarus,,,,,77.43318
2009,Belarus,,,,,77.43318
2010,Belarus,,,,,77.43318
2011,Belarus,,,,,77.43318
2012,Belarus,,,,,78.91919
2013,Belarus,,,,,78.91919
2014,Belarus,,,,,85.31275
2015,Belarus,,,,,87.90428
2016,Belarus,,,,,87.90428
2017,Belarus,,,,,87.90428
2018,Belarus,,,,,87.90428
2015,Luxembourg,,,,,79.66529
2016,Luxembourg,,,,,84.04548
2017,Luxembourg,,,,,84.04599
2018,Luxembourg,,,,,84.04665
2019,Luxembourg,,,,,84.24528
2020,Luxembourg,,,,,84.25695
2001,Azerbaijan,,,,,21.56186
2002,Azerbaijan,,,,,21.56186
2003,Azerbaijan,,,,,25.9245
2004,Azerbaijan,,,,,28.70238
2005,Azerbaijan,,,,,28.93473
2006,Azerbaijan,,,,,33.20337
2021,Luxembourg,,,,,84.25695
2022,Luxembourg,,,,,84.25695
2000,Malta,,,,,75.38589
2001,Malta,,,,,75.38589
2002,Malta,,,,,75.66296
2003,Malta,,,,,85.47628
2019,Belarus,,,,,87.90428
2020,Belarus,,,,,87.90428
2021,Belarus,,,,,87.90428
2022,Belarus,,,,,87.90428
2000,Croatia,,,,,21.46881
2001,Croatia,,,,,21.71731
2004,Malta,,,,,85.47628
2005,Malta,,,,,85.57851
2006,Malta,,,,,87.89543
2007,Malta,,,,,88.07482
2008,Malta,,,,,88.07877
2009,Malta,,,,,88.07877
2002,Croatia,,,,,21.71774
2003,Croatia,,,,,21.9165
2004,Croatia,,,,,21.9165
2005,Croatia,,,,,21.9165
2006,Croatia,,,,,24.75404
2007,Croatia,,,,,24.75404
2010,Malta,,,,,89.25163
2011,Malta,,,,,90.6446
2012,Malta,,,,,90.64468
2013,Malta,,,,,90.64468
2014,Malta,,,,,90.64468
2015,Malta,,,,,90.64468
2001,Germany,,,,,55.29396
2002,Germany,,,,,55.67264
2003,Germany,,,,,56.43976
2004,Germany,,,,,64.66645
2005,Germany,,,,,66.00031
2006,Germany,,,,,70.45026
2008,Croatia,,,,,24.75404
2009,Croatia,,,,,24.75404
2010,Croatia,,,,,24.75658
2011,Croatia,,,,,28.52719
2012,Croatia,,,,,28.52719
2013,Croatia,,,,,73.37383
2014,Croatia,,,,,80.77662
2015,Croatia,,,,,80.77662
2016,Croatia,,,,,80.77662
2017,Croatia,,,,,80.77662
2018,Croatia,,,,,80.77662
2019,Croatia,,,,,80.77662
2016,Malta,,,,,90.85365
2017,Malta,,,,,90.85365
2018,Malta,,,,,90.85365
2019,Malta,,,,,90.8537
2020,Malta,,,,,90.8537
2021,Malta,,,,,90.8537
2020,Croatia,,,,,80.77662
2021,Croatia,,,,,80.77662
2022,Croatia,,,,,80.77662
2000,Cyprus,,,,,4.60592
2001,Cyprus,,,,,6.27847
2002,Cyprus,,,,,6.27847
2003,Cyprus,,,,,7.07566
2004,Cyprus,,,,,8.35087
2005,Cyprus,,,,,18.90698
2006,Cyprus,,,,,18.90698
2007,Cyprus,,,,,40.8441
2008,Cyprus,,,,,54.0622
