Year,GeoAreaName,Age,Sex,Value
2007,Austria,ALLAGE,BOTHSEX,0.14
2007,Austria,ALLAGE,MALE,0.27
2007,Austria,18+,MALE,0.25
2007,Austria,18+,BOTHSEX,0.13
2009,Austria,18+,FEMALE,0.23
2009,Austria,18+,MALE,0.24
2009,Austria,ALLAGE,BOTHSEX,0.26
2009,Austria,18+,BOTHSEX,0.24
2009,Austria,ALLAGE,FEMALE,0.26
2009,Austria,<18Y,BOTHSEX,0.39
2009,Austria,ALLAGE,MALE,0.27
2010,Austria,ALLAGE,MALE,0.29
2010,Austria,18+,MALE,0.33
2010,Austria,18+,BOTHSEX,0.19
2010,Austria,ALLAGE,BOTHSEX,0.17
2012,Austria,ALLAGE,BOTHSEX,0.33
2012,Austria,18+,MALE,0.51
2012,Austria,18+,FEMALE,0.22
2012,Austria,18+,BOTHSEX,0.36
2012,Austria,ALLAGE,FEMALE,0.21
2012,Austria,ALLAGE,MALE,0.46
2013,Austria,ALLAGE,MALE,0.39
2013,Austria,18+,BOTHSEX,0.3
2013,Austria,ALLAGE,FEMALE,0.16
2013,Austria,18+,MALE,0.42
2013,Austria,18+,FEMALE,0.19
2008,Albania,ALLAGE,BOTHSEX,3.66
2008,Albania,18+,BOTHSEX,4.37
2008,Albania,<18Y,BOTHSEX,1.89
2009,Albania,ALLAGE,BOTHSEX,3.21
2009,Albania,ALLAGE,MALE,1.16
2009,Albania,<18Y,FEMALE,1.27
2009,Albania,<18Y,MALE,4.07
2009,Albania,18+,BOTHSEX,3.4
2009,Albania,<18Y,BOTHSEX,2.71
2007,Croatia,ALLAGE,BOTHSEX,0.34
2007,Croatia,18+,BOTHSEX,0.39
2007,Croatia,ALLAGE,MALE,0.61
2007,Croatia,18+,MALE,0.71
2007,Hungary,18+,BOTHSEX,0.27
2007,Hungary,ALLAGE,BOTHSEX,0.28
2007,Hungary,18+,MALE,0.58
2007,Hungary,ALLAGE,MALE,0.59
2007,Hungary,<18Y,BOTHSEX,0.32
2007,Hungary,<18Y,MALE,0.62
2013,Austria,ALLAGE,BOTHSEX,0.27
2014,Austria,18+,FEMALE,0.71
2014,Austria,ALLAGE,FEMALE,0.6
2014,Austria,ALLAGE,BOTHSEX,0.92
2014,Austria,ALLAGE,MALE,1.27
2014,Austria,18+,BOTHSEX,1.05
2014,Austria,18+,MALE,1.41
2014,Austria,<18Y,MALE,0.65
2009,Albania,ALLAGE,FEMALE,0.34
2010,Albania,ALLAGE,BOTHSEX,3.33
2010,Albania,<18Y,BOTHSEX,1.79
2010,Albania,18+,BOTHSEX,3.89
2011,Albania,ALLAGE,BOTHSEX,2.9
2011,Albania,<18Y,BOTHSEX,5.19
2011,Albania,18+,BOTHSEX,2.09
2012,Albania,18+,BOTHSEX,3.05
2012,Albania,ALLAGE,BOTHSEX,3.18
2008,Croatia,ALLAGE,BOTHSEX,0.16
2008,Croatia,18+,BOTHSEX,0.2
2009,Croatia,ALLAGE,BOTHSEX,0.18
2009,Croatia,18+,MALE,0.3
2009,Croatia,ALLAGE,MALE,0.28
2014,Austria,<18Y,BOTHSEX,0.34
2015,Austria,<18Y,BOTHSEX,0.73
