Year,GeoAreaName,Age,Sex,Value
2021,Albania,46+,MALE,1
2022,Albania,46+,FEMALE,1
2023,Albania,46+,FEMALE,1
2021,Azerbaijan,46+,FEMALE,1
2022,Azerbaijan,46+,FEMALE,1
2023,Azerbaijan,46+,FEMALE,1
2021,Austria,46+,MALE,1
2022,Austria,46+,MALE,1
2023,Austria,46+,MALE,1
2021,Armenia,<=45Y,MALE,1
2022,Armenia,<=45Y,MALE,1
2023,Armenia,<=45Y,MALE,1
2021,Belgium,46+,FEMALE,1
2022,Belgium,46+,FEMALE,1
2023,Belgium,46+,FEMALE,1
2021,Bosnia and Herzegovina,46+,MALE,2
2021,Bosnia and Herzegovina,46+,FEMALE,1
2022,Bosnia and Herzegovina,46+,MALE,2
2022,Bosnia and Herzegovina,46+,FEMALE,1
2023,Bosnia and Herzegovina,46+,MALE,3
2021,Bulgaria,46+,FEMALE,1
2022,Bulgaria,<=45Y,MALE,1
2023,Bulgaria,46+,MALE,1
2021,Belarus,46+,MALE,1
2022,Belarus,46+,MALE,1
2023,Belarus,46+,MALE,1
2021,Croatia,46+,MALE,1
2022,Croatia,46+,MALE,1
2023,Croatia,46+,MALE,1
2021,Cyprus,46+,MALE,1
2022,Cyprus,<=45Y,FEMALE,1
2023,Cyprus,<=45Y,FEMALE,1
2021,Czechia,46+,MALE,1
2022,Czechia,<=45Y,FEMALE,1
2023,Czechia,<=45Y,FEMALE,1
2021,Denmark,46+,MALE,1
2022,Denmark,46+,MALE,1
2023,Denmark,46+,MALE,1
2021,Estonia,46+,MALE,1
2022,Estonia,<=45Y,MALE,1
2023,Estonia,<=45Y,MALE,1
2021,Finland,46+,FEMALE,1
2022,Finland,46+,FEMALE,1
2023,Finland,46+,MALE,1
2021,France,46+,MALE,1
2022,France,46+,MALE,1
2023,France,46+,FEMALE,1
2021,Georgia,<=45Y,MALE,1
2022,Georgia,46+,MALE,1
2023,Georgia,46+,MALE,1
2021,Germany,46+,MALE,1
2022,Germany,46+,FEMALE,1
2023,Germany,46+,FEMALE,1
2021,Greece,46+,MALE,1
2022,Greece,46+,MALE,1
2023,Greece,46+,MALE,1
2021,Hungary,46+,MALE,1
2022,Hungary,46+,MALE,1
2023,Hungary,46+,MALE,1
2021,Iceland,46+,MALE,1
2022,Iceland,46+,MALE,1
2023,Iceland,46+,MALE,1
2021,Ireland,46+,MALE,1
2022,Ireland,46+,MALE,1
2023,Ireland,46+,MALE,1
2021,Italy,46+,MALE,1
2022,Italy,46+,MALE,1
2023,Italy,<=45Y,MALE,1
2021,Kazakhstan,46+,MALE,1
