Year,GeoAreaName,Value
1984,Albania,-1.51292
1985,Albania,-1.91877
1986,Albania,-0.15258
1987,Albania,0.2499
1988,Albania,-1.32115
1989,Albania,-1.74427
1990,Albania,-5.83174
1991,Albania,-15.27885
1992,Albania,-7.77399
1993,Albania,1.25705
1994,Albania,-8.36279
1995,Albania,-0.48062
1996,Albania,-3.3535
1997,Albania,-12.05361
1998,Albania,-2.55581
1999,Albania,-4.83792
2000,Albania,-4.49092
2001,Albania,-5.54295
2002,Albania,-9.37244
2003,Albania,-7.24967
2004,Albania,-4.98178
2005,Albania,-7.09724
2006,Albania,-7.54158
2007,Albania,-10.7781
2008,Albania,-15.62853
2009,Albania,-15.38048
2010,Albania,-11.36587
2011,Albania,-12.9331
2012,Albania,-10.20018
2013,Albania,-9.27419
2014,Albania,-10.7754
2015,Albania,-8.60488
2016,Albania,-7.59083
2017,Albania,-7.54425
2018,Albania,-6.70492
2019,Albania,-7.91371
2020,Albania,-8.68751
2021,Albania,-7.5028
1995,Azerbaijan,-16.57389
1996,Azerbaijan,-29.31625
1997,Azerbaijan,-23.11206
1998,Azerbaijan,-30.68844
1999,Azerbaijan,-13.08986
2000,Azerbaijan,-3.18186
2016,Luxembourg,4.7193
2017,Luxembourg,4.54067
2018,Luxembourg,3.73116
2019,Luxembourg,3.52232
2020,Luxembourg,4.72525
2021,Luxembourg,4.84234
1971,Malta,0.4642
1972,Malta,7.63696
1973,Malta,8.78729
1974,Malta,1.37953
1975,Malta,12.48453
2001,Azerbaijan,-0.90675
2002,Azerbaijan,-12.32185
2003,Azerbaijan,-27.77137
2004,Azerbaijan,-29.82837
2005,Azerbaijan,1.26316
2006,Azerbaijan,17.66958
2007,Azerbaijan,27.28832
2008,Azerbaijan,33.67854
2009,Azerbaijan,22.97253
2010,Azerbaijan,28.42683
1995,Croatia,-6.36771
1996,Croatia,-4.54669
1997,Croatia,-10.40208
1998,Croatia,-5.32133
1999,Croatia,-6.3585
2000,Croatia,-1.5501
2001,Croatia,-2.2198
2002,Croatia,-6.13522
2003,Croatia,-9.16447
2004,Croatia,-6.12387
2005,Croatia,-7.40072
1976,Malta,10.42572
1977,Malta,6.39702
1978,Malta,9.15424
1979,Malta,4.65264
1980,Malta,3.10281
1981,Malta,6.94602
1982,Malta,1.00236
1983,Malta,-0.41655
1984,Malta,0.74806
1985,Malta,-2.30723
1986,Malta,0.47874
2021,Switzerland,7.389
2002,Tajikistan,-1.23934
2003,Tajikistan,-0.30629
2004,Tajikistan,-2.74745
2005,Tajikistan,-12.81001
2006,Tajikistan,-13.15838
2007,Tajikistan,-32.09642
2008,Tajikistan,-20.51371
2009,Tajikistan,-14.4085
2010,Tajikistan,-10.29883
2011,Azerbaijan,25.99623
2012,Azerbaijan,21.4913
2013,Azerbaijan,16.49273
2014,Azerbaijan,13.56754
2015,Azerbaijan,-0.41921
2016,Azerbaijan,-3.60046
2017,Azerbaijan,4.1222
2018,Azerbaijan,12.84377
2019,Azerbaijan,9.06062
2020,Azerbaijan,-0.53303
1987,Malta,1.28917
1988,Malta,3.02324
1989,Malta,-0.44697
1990,Malta,-2.18898
1991,Malta,-0.26796
1992,Malta,1.00067
1993,Malta,-3.113
1994,Malta,-4.3866
1995,Malta,-10.97487
1996,Malta,-11.77801
1997,Malta,-6.09019
2006,Croatia,-7.67827
2007,Croatia,-7.83712
2008,Croatia,-10.54785
2009,Croatia,-6.45268
2010,Croatia,-2.44799
2011,Croatia,-1.64902
2012,Croatia,-0.36247
2013,Croatia,-1.04296
2014,Croatia,0.18797
2015,Croatia,3.27271
2016,Croatia,2.31094
2021,Azerbaijan,15.17988
2005,Austria,1.97188
2006,Austria,3.26926
2007,Austria,3.78972
2008,Austria,4.46684
2009,Austria,2.56465
2010,Austria,2.92459
2011,Austria,1.57498
2012,Austria,1.50022
2013,Austria,1.94778
2014,Austria,2.39275
1998,Malta,-5.88496
1999,Malta,-3.23483
2000,Malta,-11.11236
2001,Malta,-3.4365
2002,Malta,2.26351
2003,Malta,-2.84695
2004,Malta,-3.78744
2005,Malta,-6.52181
2006,Malta,-7.82938
2007,Malta,-2.00922
2008,Malta,-0.84663
2009,Malta,-6.41415
2010,Malta,-4.64482
2011,Malta,-0.13497
2012,Malta,1.59808
2013,Malta,2.56183
2014,Malta,8.53006
2015,Malta,2.70968
2016,Malta,-0.56872
2017,Malta,5.95028
2018,Malta,6.43501
2019,Malta,4.94373
2011,Tajikistan,-6.33658
2012,Tajikistan,-8.92694
2013,Tajikistan,-10.47281
2014,Tajikistan,-3.47274
2015,Tajikistan,-5.76772
2016,Tajikistan,-4.15919
2017,Tajikistan,2.10934
2018,Tajikistan,-4.88966
2019,Tajikistan,-2.23226
2020,Tajikistan,4.12965
2017,Croatia,3.82353
2018,Croatia,1.54751
2019,Croatia,2.72809
2020,Croatia,-0.3215
2021,Croatia,3.01952
1976,Cyprus,-4.60922
1977,Cyprus,-14.23696
1978,Cyprus,-19.19039
1979,Cyprus,-18.60863
1980,Cyprus,-11.9908
1981,Cyprus,-8.22975
2015,Austria,1.7368
2016,Austria,2.72121
2017,Austria,1.35426
2018,Austria,0.9625
2019,Austria,2.39207
2020,Austria,2.96323
2021,Austria,0.33867
1993,Armenia,-5.638
1994,Armenia,-7.89106
1995,Armenia,-15.02924
1996,Armenia,-20.17629
2020,Malta,-2.78002
2021,Malta,-4.63058
1995,Republic of Moldova,-4.82664
1996,Republic of Moldova,-11.31659
1997,Republic of Moldova,-14.24241
1998,Republic of Moldova,-19.70369
1999,Republic of Moldova,-5.79783
2000,Republic of Moldova,-7.62091
2001,Republic of Moldova,-1.80864
2002,Republic of Moldova,-1.19147
1997,Armenia,-20.47821
1998,Armenia,-21.9751
1999,Armenia,-16.93557
2000,Armenia,-15.78121
2001,Armenia,-10.43982
2002,Armenia,-6.2201
2003,Armenia,-6.1812
2004,Armenia,-2.20436
2005,Armenia,-2.52832
2006,Armenia,-2.39537
2007,Armenia,-7.3566
2003,Republic of Moldova,-6.56921
2004,Republic of Moldova,-1.77543
2005,Republic of Moldova,-7.55635
2006,Republic of Moldova,-11.3378
2007,Republic of Moldova,-15.24815
2008,Republic of Moldova,-16.11221
2009,Republic of Moldova,-8.91988
2010,Republic of Moldova,-6.9028
2011,Republic of Moldova,-10.12501
2012,Republic of Moldova,-7.39017
2021,Tajikistan,8.40055
1974,Türkiye,-1.57279
1975,Türkiye,-3.68154
1976,Türkiye,-3.96828
1977,Türkiye,-5.35075
1978,Türkiye,-1.9432
1979,Türkiye,-1.58181
1980,Türkiye,-4.95178
1981,Türkiye,-2.72522
1982,Türkiye,-1.47491
1983,Türkiye,-3.11779
2008,Armenia,-14.22465
2009,Armenia,-16.48371
2010,Armenia,-13.62195
2011,Armenia,-10.44033
2012,Armenia,-9.96233
2013,Armenia,-7.31625
2014,Armenia,-7.76787
2015,Armenia,-2.66181
2016,Armenia,-0.95658
2017,Armenia,-1.50884
2018,Armenia,-7.41966
2013,Republic of Moldova,-5.16294
2014,Republic of Moldova,-5.97569
2015,Republic of Moldova,-5.9758
2016,Republic of Moldova,-3.57333
2017,Republic of Moldova,-5.74359
2018,Republic of Moldova,-10.57714
2019,Republic of Moldova,-9.23689
2020,Republic of Moldova,-7.47824
2021,Republic of Moldova,-12.42283
2007,Montenegro,-39.7768
1982,Cyprus,-8.25155
1983,Cyprus,-9.49254
1984,Cyprus,-9.72779
1985,Cyprus,-7.4156
1986,Cyprus,-0.61195
1987,Cyprus,-0.20759
1988,Cyprus,-2.51426
1989,Cyprus,-5.4492
1990,Cyprus,-2.76044
1991,Cyprus,-7.28401
1992,Cyprus,-9.23296
2008,Montenegro,-49.64724
2009,Montenegro,-27.68575
2010,Montenegro,-20.56604
2011,Montenegro,-14.62713
2012,Montenegro,-15.6239
2013,Montenegro,-11.45161
2014,Montenegro,-12.41697
2015,Montenegro,-10.92897
2016,Montenegro,-16.16363
2017,Montenegro,-15.67775
1993,Cyprus,1.66563
1994,Cyprus,1.00141
1995,Cyprus,-2.065
1996,Cyprus,-4.67157
1997,Cyprus,-4.37876
1998,Cyprus,2.84348
1999,Cyprus,-1.62159
2000,Cyprus,-4.88748
2001,Cyprus,-3.09917
2002,Cyprus,-3.32013
2003,Cyprus,-2.00767
2004,Cyprus,-4.77327
2005,Cyprus,-5.26683
2006,Cyprus,-6.36794
2007,Cyprus,-7.63668
2008,Cyprus,-14.44401
2009,Cyprus,-6.69717
2010,Cyprus,-10.8469
2011,Cyprus,-2.19403
2012,Cyprus,-3.98594
2013,Cyprus,-1.46016
2014,Cyprus,-4.12432
2018,Montenegro,-17.12496
2019,Montenegro,-14.36533
2020,Montenegro,-25.93424
2021,Montenegro,-9.21427
1967,Netherlands,2.42025
1968,Netherlands,2.71004
1969,Netherlands,2.23358
1970,Netherlands,0.50595
1971,Netherlands,1.17648
1972,Netherlands,3.84006
1973,Netherlands,4.48762
1974,Netherlands,3.48449
1975,Netherlands,2.38789
1976,Netherlands,3.28575
1977,Netherlands,1.11269
1978,Netherlands,-0.58032
1979,Netherlands,0.19465
