Year,GeoAreaName,Value
2000,Albania,151.7316
2001,Albania,0.0
2002,Albania,22.7409
2003,Albania,0.0
2004,Albania,0.0
2005,Albania,403.2045
2006,Albania,0.0
2007,Albania,198.5163
2008,Albania,0.0
2009,Albania,841.6007
2010,Albania,0.0
2011,Albania,4.7281
2012,Albania,1675.1796
2013,Albania,77.5893
2014,Albania,191.4708
2015,Albania,0.0
2016,Albania,0.0
2017,Albania,296.8351
2018,Albania,186.591
2019,Albania,0.0
2000,Azerbaijan,0.0
2001,Azerbaijan,332.0851
2002,Azerbaijan,206.3736
2003,Azerbaijan,0.0
2004,Azerbaijan,0.0
2005,Azerbaijan,0.0
2006,Azerbaijan,0.0
2007,Azerbaijan,0.0
2008,Azerbaijan,0.0
2009,Azerbaijan,0.0
2010,Azerbaijan,0.0
2011,Azerbaijan,0.0
2012,Azerbaijan,0.0
2013,Azerbaijan,0.0
2014,Azerbaijan,0.0
2015,Azerbaijan,0.0
2016,Azerbaijan,0.0
2017,Azerbaijan,0.0
2000,Kazakhstan,445.3962
2001,Kazakhstan,0.0
2002,Kazakhstan,0.0
2003,Kazakhstan,0.0
2004,Kazakhstan,0.0
2005,Kazakhstan,302.4034
2006,Kazakhstan,0.0
2007,Kazakhstan,38.2236
2008,Kazakhstan,0.0
2018,Azerbaijan,0.0
2019,Azerbaijan,0.0
2000,Armenia,0.0
2001,Armenia,356.1707
2002,Armenia,442.2707
2003,Armenia,34.7439
2004,Armenia,0.0
2005,Armenia,0.0
2006,Armenia,253.6389
2007,Armenia,12.3302
2008,Armenia,1078.1896
2009,Armenia,0.0
2010,Armenia,0.0
2011,Armenia,0.0
2012,Armenia,0.0
2013,Armenia,0.0
2014,Armenia,0.0
2015,Armenia,269.6615
2016,Armenia,213.0415
2017,Armenia,0.0
2009,Kazakhstan,0.0
2010,Kazakhstan,0.0
2011,Kazakhstan,0.0
2012,Kazakhstan,0.0
2013,Kazakhstan,0.0
2014,Kazakhstan,0.0
2015,Kazakhstan,0.0
2016,Kazakhstan,0.0
2017,Kazakhstan,93.0139
2018,Kazakhstan,806.7599
2019,Kazakhstan,553.6
2020,Kazakhstan,850.48
2000,Kosovo,0.0
2001,Kosovo,0.0
2002,Kosovo,0.0
2003,Kosovo,0.0
2004,Kosovo,0.0
2005,Kosovo,0.0
2006,Kosovo,0.0
2007,Kosovo,0.0
2008,Kosovo,0.0
2009,Kosovo,0.0
2010,Kosovo,0.0
2011,Kosovo,213.4824
2012,Kosovo,541.3934
2013,Kosovo,0.0
2014,Kosovo,0.0
2015,Kosovo,0.0
2016,Kosovo,0.0
2017,Kosovo,0.0
2018,Kosovo,0.0
2019,Kosovo,211.73
2000,Kyrgyzstan,0.0
2001,Kyrgyzstan,0.0
