Year,GeoAreaName,Sex,Value
2000,Bulgaria,BOTHSEX,18.2
2000,Bulgaria,FEMALE,10.1
2000,Bulgaria,MALE,26.8
2005,Bulgaria,FEMALE,6.7
2005,Bulgaria,MALE,20.2
2005,Bulgaria,BOTHSEX,13.2
2010,Bulgaria,BOTHSEX,12.4
2010,Bulgaria,FEMALE,5.9
2010,Bulgaria,MALE,19.2
2015,Bulgaria,BOTHSEX,9.8
2015,Bulgaria,FEMALE,4.5
2015,Bulgaria,MALE,15.5
2019,Bulgaria,BOTHSEX,9.7
2019,Bulgaria,MALE,15.3
2019,Bulgaria,FEMALE,4.4
2000,Belarus,FEMALE,11.9
2000,Belarus,MALE,75.6
2000,Belarus,BOTHSEX,41.8
2005,Belarus,BOTHSEX,43.5
2005,Belarus,FEMALE,12.9
2005,Belarus,MALE,78.5
2010,Belarus,BOTHSEX,35.9
2010,Belarus,FEMALE,11.2
2010,Belarus,MALE,64.3
2015,Belarus,BOTHSEX,24.3
2015,Belarus,FEMALE,8.3
2015,Belarus,MALE,42.7
2019,Belarus,BOTHSEX,21.2
2019,Belarus,FEMALE,7.7
2000,Switzerland,BOTHSEX,20.2
2000,Switzerland,FEMALE,12.4
2000,Switzerland,MALE,28.4
2005,Switzerland,BOTHSEX,19.0
2005,Switzerland,FEMALE,12.6
2005,Switzerland,MALE,25.7
2010,Switzerland,MALE,19.9
2010,Switzerland,FEMALE,9.2
2010,Switzerland,BOTHSEX,14.5
2015,Switzerland,BOTHSEX,15.0
2015,Switzerland,MALE,20.5
2015,Switzerland,FEMALE,9.5
2019,Switzerland,BOTHSEX,14.5
2019,Switzerland,MALE,20.2
2019,Switzerland,FEMALE,9.0
2000,Tajikistan,FEMALE,2.2
2000,Tajikistan,MALE,5.2
2000,Tajikistan,BOTHSEX,3.8
2005,Tajikistan,FEMALE,2.2
2005,Tajikistan,BOTHSEX,3.6
2005,Tajikistan,MALE,5.0
2010,Tajikistan,MALE,5.3
2010,Tajikistan,BOTHSEX,3.9
2010,Tajikistan,FEMALE,2.5
2015,Tajikistan,BOTHSEX,4.1
2015,Tajikistan,FEMALE,2.9
2015,Tajikistan,MALE,5.4
2019,Tajikistan,FEMALE,2.8
2019,Belarus,MALE,36.7
2000,Croatia,BOTHSEX,20.8
2000,Croatia,FEMALE,10.3
2000,Croatia,MALE,32.1
2005,Croatia,BOTHSEX,20.1
2005,Croatia,FEMALE,9.9
2005,Croatia,MALE,31.0
2010,Croatia,BOTHSEX,18.3
2010,Croatia,FEMALE,9.0
2010,Croatia,MALE,28.4
2015,Croatia,BOTHSEX,17.6
2015,Croatia,FEMALE,9.2
2015,Croatia,MALE,26.7
2019,Croatia,BOTHSEX,16.4
2019,Croatia,FEMALE,8.1
2019,Croatia,MALE,25.3
2000,Cyprus,BOTHSEX,2.0
2000,Cyprus,FEMALE,1.3
2000,Cyprus,MALE,2.8
2005,Cyprus,FEMALE,1.3
2005,Cyprus,MALE,3.9
2005,Cyprus,BOTHSEX,2.6
2010,Cyprus,BOTHSEX,5.3
2010,Cyprus,FEMALE,2.1
2010,Cyprus,MALE,8.4
2015,Cyprus,MALE,7.3
2015,Cyprus,BOTHSEX,4.7
2015,Cyprus,FEMALE,2.1
2019,Cyprus,BOTHSEX,3.6
2019,Cyprus,FEMALE,1.3
2019,Cyprus,MALE,6.0
2000,Czechia,BOTHSEX,16.3
2000,Czechia,FEMALE,6.8
2000,Czechia,MALE,26.3
2005,Czechia,BOTHSEX,15.8
2005,Czechia,FEMALE,5.8
2005,Czechia,MALE,26.3
2010,Czechia,MALE,25.4
2010,Czechia,BOTHSEX,15.0
2010,Czechia,FEMALE,5.1
2015,Czechia,BOTHSEX,13.6
2015,Czechia,FEMALE,5.0
2015,Czechia,MALE,22.5
2019,Czechia,BOTHSEX,12.2
2019,Czechia,FEMALE,4.8
2019,Czechia,MALE,19.8
2000,Denmark,BOTHSEX,15.6
2000,Denmark,FEMALE,8.8
2000,Denmark,MALE,22.6
2005,Denmark,BOTHSEX,14.8
2019,Tajikistan,MALE,5.7
2019,Tajikistan,BOTHSEX,4.3
2000,Türkiye,MALE,6.2
2000,Türkiye,BOTHSEX,4.0
2000,Türkiye,FEMALE,1.8
2005,Türkiye,BOTHSEX,2.8
2005,Türkiye,FEMALE,1.5
2005,Türkiye,MALE,4.2
2010,Türkiye,FEMALE,1.3
2010,Türkiye,BOTHSEX,2.4
2000,Albania,BOTHSEX,4.9
2000,Albania,FEMALE,2.8
2000,Albania,MALE,7.0
2005,Albania,BOTHSEX,7.5
2005,Albania,FEMALE,5.2
2005,Albania,MALE,9.7
2010,Albania,BOTHSEX,7.8
2010,Albania,FEMALE,6.1
2010,Albania,MALE,9.5
2015,Albania,BOTHSEX,4.8
2005,Denmark,FEMALE,9.5
2005,Denmark,MALE,20.3
2010,Denmark,BOTHSEX,11.8
2010,Denmark,MALE,16.5
2010,Denmark,FEMALE,7.2
2015,Denmark,FEMALE,7.2
2015,Denmark,MALE,14.7
2015,Denmark,BOTHSEX,10.9
2019,Denmark,BOTHSEX,10.7
2019,Denmark,FEMALE,6.5
2010,Türkiye,MALE,3.6
2015,Türkiye,BOTHSEX,2.3
2015,Türkiye,FEMALE,1.3
2015,Türkiye,MALE,3.3
2019,Türkiye,FEMALE,1.2
2019,Türkiye,BOTHSEX,2.4
2019,Türkiye,MALE,3.6
2000,Turkmenistan,FEMALE,4.2
2000,Turkmenistan,BOTHSEX,12.5
2000,Turkmenistan,MALE,21.1
2019,Denmark,MALE,14.9
2000,Estonia,BOTHSEX,29.1
2000,Estonia,FEMALE,12.6
2000,Estonia,MALE,48.0
2005,Estonia,BOTHSEX,22.6
2005,Estonia,FEMALE,8.2
2005,Estonia,MALE,39.2
2010,Estonia,BOTHSEX,18.8
2010,Estonia,FEMALE,6.6
2010,Estonia,MALE,32.7
2005,Turkmenistan,FEMALE,5.5
2005,Turkmenistan,BOTHSEX,15.1
2005,Turkmenistan,MALE,25.0
2010,Turkmenistan,MALE,13.2
2010,Turkmenistan,FEMALE,4.0
2010,Turkmenistan,BOTHSEX,8.5
2015,Turkmenistan,MALE,9.4
2015,Turkmenistan,FEMALE,3.2
2015,Turkmenistan,BOTHSEX,6.3
2019,Turkmenistan,BOTHSEX,5.7
2019,Turkmenistan,FEMALE,2.6
2019,Turkmenistan,MALE,8.8
2000,Ukraine,BOTHSEX,39.1
2000,Ukraine,MALE,70.9
2000,Ukraine,FEMALE,11.4
2005,Ukraine,MALE,61.9
2005,Ukraine,FEMALE,9.5
2005,Ukraine,BOTHSEX,33.8
2010,Ukraine,FEMALE,7.7
2010,Ukraine,MALE,44.0
2010,Ukraine,BOTHSEX,24.5
2015,Ukraine,BOTHSEX,21.6
2015,Ukraine,FEMALE,6.7
2015,Ukraine,MALE,38.9
2019,Ukraine,FEMALE,6.5
2019,Ukraine,BOTHSEX,21.6
2019,Ukraine,MALE,39.2
2000,North Macedonia,FEMALE,5.5
2000,North Macedonia,MALE,13.1
2015,Albania,FEMALE,3.2
2015,Albania,MALE,6.3
2019,Albania,BOTHSEX,4.3
2019,Albania,FEMALE,2.7
2019,Albania,MALE,5.9
2000,Azerbaijan,BOTHSEX,3.1
2000,Azerbaijan,FEMALE,1.2
2000,Azerbaijan,MALE,5.1
2005,Azerbaijan,BOTHSEX,4.5
2005,Azerbaijan,FEMALE,1.9
2000,North Macedonia,BOTHSEX,9.3
2005,North Macedonia,FEMALE,4.8
2005,North Macedonia,MALE,12.4
2005,North Macedonia,BOTHSEX,8.6
2010,North Macedonia,BOTHSEX,7.1
2010,North Macedonia,FEMALE,4.0
2010,North Macedonia,MALE,10.1
2015,North Macedonia,BOTHSEX,9.2
2015,North Macedonia,MALE,13.7
2005,Azerbaijan,MALE,7.2
2010,Azerbaijan,FEMALE,1.9
2010,Azerbaijan,BOTHSEX,4.6
2010,Azerbaijan,MALE,7.3
2015,Azerbaijan,FEMALE,1.6
2015,Azerbaijan,BOTHSEX,4.1
2015,Azerbaijan,MALE,6.6
2019,Azerbaijan,BOTHSEX,4.1
2019,Azerbaijan,FEMALE,1.6
2019,Azerbaijan,MALE,6.6
2015,North Macedonia,FEMALE,4.7
2019,North Macedonia,MALE,13.9
2019,North Macedonia,BOTHSEX,9.4
2019,North Macedonia,FEMALE,4.8
2000,Uzbekistan,FEMALE,4.3
2000,Uzbekistan,MALE,16.0
2000,Uzbekistan,BOTHSEX,10.1
2005,Uzbekistan,BOTHSEX,9.1
2005,Uzbekistan,FEMALE,4.3
2000,Austria,BOTHSEX,19.9
2000,Austria,FEMALE,10.6
2000,Austria,MALE,29.8
2005,Austria,BOTHSEX,17.2
2005,Austria,FEMALE,8.6
2005,Austria,MALE,26.4
2010,Austria,BOTHSEX,16.1
2010,Austria,FEMALE,7.6
2010,Austria,MALE,25.1
2015,Austria,MALE,24.8
2005,Uzbekistan,MALE,13.9
2010,Uzbekistan,BOTHSEX,8.1
