Year,GeoAreaName,Age,Location,Sex,Value
2000,Estonia,15+,,MALE,61.9
2000,Estonia,15+,,FEMALE,30.1
2000,Estonia,15+,,BOTHSEX,46.0
2005,Estonia,15+,,MALE,54.9
2005,Estonia,15+,,FEMALE,28.2
2005,Estonia,15+,,BOTHSEX,41.6
2010,Estonia,15+,,BOTHSEX,37.2
2010,Estonia,15+,,MALE,47.9
2000,Slovenia,15+,,MALE,27.0
2000,Slovenia,15+,,BOTHSEX,25.1
2005,Slovenia,15+,,MALE,26.2
2005,Slovenia,15+,,FEMALE,22.1
2005,Slovenia,15+,,BOTHSEX,24.2
2010,Slovenia,15+,,BOTHSEX,23.5
2010,Slovenia,15+,,MALE,25.7
2010,Slovenia,15+,,FEMALE,21.3
2010,Estonia,15+,,FEMALE,26.4
2015,Estonia,15+,,MALE,41.8
2015,Estonia,15+,,FEMALE,24.7
2015,Estonia,15+,,BOTHSEX,33.3
2018,Estonia,15+,,MALE,38.5
2018,Estonia,15+,,FEMALE,23.7
2018,Estonia,15+,,BOTHSEX,30.5
2019,Estonia,15+,,BOTHSEX,30.5
2015,Slovenia,15+,,MALE,25.0
2015,Slovenia,15+,,FEMALE,20.4
2015,Slovenia,15+,,BOTHSEX,22.7
2018,Slovenia,15+,,FEMALE,20.0
2018,Slovenia,15+,,MALE,24.7
2018,Slovenia,15+,,BOTHSEX,22.3
2019,Slovenia,15+,,BOTHSEX,22.3
2019,Slovenia,15+,,FEMALE,19.8
2019,Estonia,15+,,FEMALE,23.5
2019,Estonia,15+,,MALE,37.4
2020,Estonia,15+,,BOTHSEX,29.7
2020,Estonia,15+,,MALE,36.3
2020,Estonia,15+,,FEMALE,23.0
2000,Finland,15+,,FEMALE,24.7
2000,Finland,15+,,BOTHSEX,35.7
2000,Finland,15+,,MALE,46.7
2005,Finland,15+,,MALE,40.5
2005,Finland,15+,,FEMALE,22.2
2005,Finland,15+,,BOTHSEX,31.4
2010,Finland,15+,,MALE,35.5
2010,Finland,15+,,FEMALE,20.1
2010,Finland,15+,,BOTHSEX,27.8
2015,Finland,15+,,MALE,30.9
2015,Finland,15+,,FEMALE,18.0
2019,Slovenia,15+,,MALE,24.7
2020,Slovenia,15+,,BOTHSEX,22.0
2020,Slovenia,15+,,FEMALE,19.6
2020,Slovenia,15+,,MALE,24.4
2000,Spain,15+,,MALE,44.5
2000,Spain,15+,,FEMALE,29.0
2000,Spain,15+,,BOTHSEX,36.8
2005,Spain,15+,,BOTHSEX,34.3
2005,Spain,15+,,MALE,40.1
2005,Spain,15+,,FEMALE,28.5
2010,Spain,15+,,FEMALE,27.9
2010,Spain,15+,,BOTHSEX,31.9
2010,Spain,15+,,MALE,35.8
2015,Spain,15+,,MALE,32.0
2015,Spain,15+,,FEMALE,27.3
2015,Spain,15+,,BOTHSEX,29.7
2000,Albania,15+,,BOTHSEX,35.0
2000,Albania,15+,,MALE,59.0
2000,Albania,15+,,FEMALE,10.9
2005,Albania,15+,,MALE,53.2
2005,Albania,15+,,FEMALE,9.4
2005,Albania,15+,,BOTHSEX,31.3
2010,Albania,15+,,MALE,47.9
2010,Albania,15+,,FEMALE,8.1
2018,Spain,15+,,BOTHSEX,28.1
2018,Spain,15+,,FEMALE,27.0
2018,Spain,15+,,MALE,30.0
2019,Spain,15+,,BOTHSEX,28.1
2019,Spain,15+,,FEMALE,26.9
2019,Spain,15+,,MALE,29.3
2020,Spain,15+,,BOTHSEX,27.7
2020,Spain,15+,,MALE,28.6
2010,Albania,15+,,BOTHSEX,28.0
2015,Albania,15+,,MALE,43.2
2015,Albania,15+,,FEMALE,6.9
2015,Albania,15+,,BOTHSEX,25.1
2018,Albania,15+,,BOTHSEX,23.0
2018,Albania,15+,,FEMALE,6.4
2018,Albania,15+,,MALE,40.7
2019,Albania,15+,,MALE,39.8
2019,Albania,15+,,FEMALE,6.2
2019,Albania,15+,,BOTHSEX,23.0
2020,Albania,15+,,MALE,38.8
2020,Albania,15+,,FEMALE,6.0
2020,Albania,15+,,BOTHSEX,22.4
2000,Azerbaijan,15+,,MALE,57.1
2000,Azerbaijan,15+,,FEMALE,0.3
2000,Azerbaijan,15+,,BOTHSEX,28.7
2005,Azerbaijan,15+,,MALE,54.8
2005,Azerbaijan,15+,,FEMALE,0.3
2005,Azerbaijan,15+,,BOTHSEX,27.6
2010,Azerbaijan,15+,,FEMALE,0.2
2010,Azerbaijan,15+,,BOTHSEX,26.2
2010,Azerbaijan,15+,,MALE,52.2
2015,Azerbaijan,15+,,FEMALE,0.2
2015,Azerbaijan,15+,,BOTHSEX,25.2
2020,Spain,15+,,FEMALE,26.7
2000,Sweden,15+,,MALE,48.6
2000,Sweden,15+,,FEMALE,38.9
2000,Sweden,15+,,BOTHSEX,43.8
2005,Sweden,15+,,MALE,42.9
2005,Sweden,15+,,FEMALE,32.3
2005,Sweden,15+,,BOTHSEX,37.6
2010,Sweden,15+,,BOTHSEX,32.3
2015,Azerbaijan,15+,,MALE,50.1
2018,Azerbaijan,15+,,MALE,48.4
2018,Azerbaijan,15+,,FEMALE,0.1
2018,Azerbaijan,15+,,BOTHSEX,24.2
2019,Azerbaijan,15+,,BOTHSEX,24.2
2019,Azerbaijan,15+,,FEMALE,0.1
2019,Azerbaijan,15+,,MALE,48.2
2020,Azerbaijan,15+,,MALE,47.9
2010,Sweden,15+,,MALE,37.9
2010,Sweden,15+,,FEMALE,26.7
2015,Sweden,15+,,BOTHSEX,27.9
2015,Sweden,15+,,MALE,33.7
2015,Sweden,15+,,FEMALE,22.1
2018,Sweden,15+,,MALE,31.3
2018,Sweden,15+,,BOTHSEX,24.8
2018,Sweden,15+,,FEMALE,19.6
2020,Azerbaijan,15+,,FEMALE,0.1
2020,Azerbaijan,15+,,BOTHSEX,24.0
2000,Austria,15+,,MALE,56.8
2000,Austria,15+,,FEMALE,47.8
2000,Austria,15+,,BOTHSEX,52.3
2005,Austria,15+,,MALE,47.2
2005,Austria,15+,,FEMALE,40.4
2005,Austria,15+,,BOTHSEX,43.8
2019,Sweden,15+,,BOTHSEX,24.8
2019,Sweden,15+,,FEMALE,19.0
2019,Sweden,15+,,MALE,30.5
2020,Sweden,15+,,BOTHSEX,24.0
2020,Sweden,15+,,FEMALE,18.2
2020,Sweden,15+,,MALE,29.8
2000,Switzerland,15+,,BOTHSEX,28.3
2000,Switzerland,15+,,MALE,32.9
2015,Finland,15+,,BOTHSEX,24.5
2018,Finland,15+,,FEMALE,17.0
2018,Finland,15+,,MALE,28.3
2018,Finland,15+,,BOTHSEX,22.2
2019,Finland,15+,,FEMALE,16.6
2019,Finland,15+,,MALE,27.7
2019,Finland,15+,,BOTHSEX,22.2
2020,Finland,15+,,BOTHSEX,21.6
2010,Austria,15+,,BOTHSEX,37.1
2010,Austria,15+,,MALE,39.7
2010,Austria,15+,,FEMALE,34.5
2015,Austria,15+,,MALE,33.1
2015,Austria,15+,,FEMALE,29.3
2015,Austria,15+,,BOTHSEX,31.2
2018,Austria,15+,,BOTHSEX,27.1
2018,Austria,15+,,MALE,29.8
2000,Switzerland,15+,,FEMALE,23.7
2005,Switzerland,15+,,MALE,31.8
2005,Switzerland,15+,,FEMALE,23.5
2005,Switzerland,15+,,BOTHSEX,27.7
2010,Switzerland,15+,,MALE,30.5
2010,Switzerland,15+,,FEMALE,23.3
2010,Switzerland,15+,,BOTHSEX,26.9
2015,Switzerland,15+,,MALE,29.3
2015,Switzerland,15+,,FEMALE,23.1
2015,Switzerland,15+,,BOTHSEX,26.2
2018,Switzerland,15+,,BOTHSEX,25.7
2018,Switzerland,15+,,FEMALE,23.0
2018,Switzerland,15+,,MALE,28.4
2019,Switzerland,15+,,BOTHSEX,25.7
2019,Switzerland,15+,,FEMALE,23.0
2019,Switzerland,15+,,MALE,28.3
2018,Austria,15+,,FEMALE,26.6
2019,Austria,15+,,BOTHSEX,27.1
2019,Austria,15+,,MALE,28.6
2019,Austria,15+,,FEMALE,25.6
