Year,GeoAreaName,Sex,Value
2013,Azerbaijan,BOTHSEX,72.41433
2014,Azerbaijan,BOTHSEX,73.9173
2014,Azerbaijan,FEMALE,70.65596
2014,Azerbaijan,MALE,77.2075
2015,Azerbaijan,BOTHSEX,74.1245
2015,Azerbaijan,FEMALE,70.46501
2015,Azerbaijan,MALE,77.80999
2016,Azerbaijan,FEMALE,69.84266
2016,Azerbaijan,MALE,77.01012
2016,Azerbaijan,BOTHSEX,73.41631
2017,Azerbaijan,FEMALE,79.72038
2017,Azerbaijan,MALE,88.3795
2017,Azerbaijan,BOTHSEX,84.0
2018,Azerbaijan,BOTHSEX,83.5
2018,Azerbaijan,FEMALE,79.34035
2018,Azerbaijan,MALE,87.74649
2019,Azerbaijan,BOTHSEX,83.5
2019,Azerbaijan,FEMALE,79.43088
2019,Azerbaijan,MALE,87.64452
2020,Azerbaijan,BOTHSEX,84.00001
2020,Azerbaijan,FEMALE,79.94754
2020,Azerbaijan,MALE,88.12328
2021,Azerbaijan,BOTHSEX,84.0
2021,Azerbaijan,FEMALE,83.37485
2021,Azerbaijan,MALE,84.63484
2017,Armenia,BOTHSEX,72.60673
2017,Armenia,FEMALE,72.63815
2017,Armenia,MALE,72.56871
2018,Armenia,FEMALE,76.81744
2018,Armenia,MALE,75.95236
2018,Armenia,BOTHSEX,76.42854
2021,Belgium,FEMALE,90.285
2021,Belgium,MALE,89.77226
2021,Belgium,BOTHSEX,90.02923
2017,Belarus,BOTHSEX,93.48521
2017,Belarus,FEMALE,94.98769
2017,Belarus,MALE,91.48085
2018,Belarus,BOTHSEX,94.83765
2018,Belarus,FEMALE,95.69948
2018,Belarus,MALE,93.68755
2019,Belarus,BOTHSEX,95.26146
2019,Belarus,FEMALE,96.25902
2019,Belarus,MALE,93.94575
2020,Belarus,BOTHSEX,95.88722
2020,Belarus,FEMALE,96.88836
2020,Belarus,MALE,94.59995
2021,Belarus,BOTHSEX,97.08283
2021,Belarus,FEMALE,97.77932
2021,Belarus,MALE,96.09757
2014,Cyprus,BOTHSEX,96.64527
2014,Cyprus,FEMALE,95.12687
2014,Cyprus,MALE,98.30874
2015,Cyprus,BOTHSEX,97.88419
2015,Cyprus,FEMALE,96.52754
2015,Cyprus,MALE,99.32579
2016,Cyprus,BOTHSEX,94.6476
2016,Cyprus,FEMALE,92.93833
2016,Cyprus,MALE,96.50693
2017,Cyprus,FEMALE,98.67434
2017,Cyprus,BOTHSEX,99.39767
2018,Cyprus,FEMALE,98.1957
2018,Cyprus,BOTHSEX,98.63963
2018,Cyprus,MALE,99.10814
2014,Czechia,BOTHSEX,96.83097
2014,Czechia,FEMALE,96.30083
2014,Czechia,MALE,97.3838
2015,Czechia,FEMALE,96.85832
2015,Czechia,MALE,97.17774
2015,Czechia,BOTHSEX,97.01434
2018,Czechia,BOTHSEX,95.99467
2018,Czechia,FEMALE,95.55424
2018,Czechia,MALE,96.45834
2019,Czechia,BOTHSEX,96.85865
2019,Czechia,FEMALE,97.11053
2019,Czechia,MALE,96.58792
2020,Czechia,MALE,98.70424
2020,Czechia,BOTHSEX,98.78035
2020,Czechia,FEMALE,98.85248
2016,Denmark,MALE,82.47347
2016,Denmark,FEMALE,83.16165
2016,Denmark,BOTHSEX,82.81615
2014,Finland,BOTHSEX,98.51155
2014,Finland,MALE,98.66281
2014,Finland,FEMALE,98.3671
2015,Finland,BOTHSEX,98.37641
2015,Finland,MALE,99.08269
2015,Finland,FEMALE,97.70135
2016,Finland,BOTHSEX,98.44687
2016,Finland,MALE,98.7833
2016,Finland,FEMALE,98.12443
2017,Finland,BOTHSEX,98.86333
2017,Finland,MALE,99.14663
2017,Finland,FEMALE,98.59119
2018,Finland,BOTHSEX,98.4067
2018,Finland,MALE,98.86544
2018,Finland,FEMALE,97.9644
2018,France,MALE,79.57814
2018,France,FEMALE,77.8036
2018,France,BOTHSEX,78.65287
2021,France,BOTHSEX,95.50847
2021,France,FEMALE,95.06501
2021,France,MALE,95.99248
2016,Georgia,MALE,80.82144
2016,Georgia,FEMALE,76.1753
2016,Georgia,BOTHSEX,78.36856
2017,Georgia,MALE,82.87116
2017,Georgia,FEMALE,77.63554
2017,Georgia,BOTHSEX,80.10182
2018,Georgia,MALE,90.58676
2018,Georgia,FEMALE,84.3448
2018,Georgia,BOTHSEX,87.24829
2019,Georgia,MALE,91.61623
2019,Georgia,FEMALE,87.85453
2019,Georgia,BOTHSEX,89.59828
2020,Georgia,MALE,92.76031
2020,Georgia,FEMALE,89.68109
2020,Georgia,BOTHSEX,91.12045
2021,Georgia,MALE,93.38525
2021,Georgia,FEMALE,89.5178
2021,Georgia,BOTHSEX,91.31344
2017,Ireland,FEMALE,83.0
2017,Ireland,MALE,83.0
2017,Ireland,BOTHSEX,83.00017
2018,Ireland,MALE,86.5843
2018,Ireland,FEMALE,88.30218
2018,Ireland,BOTHSEX,87.45078
2014,Italy,MALE,91.51701
2014,Italy,FEMALE,88.2709
2014,Italy,BOTHSEX,89.84244
2015,Italy,MALE,91.36853
2015,Italy,FEMALE,88.70872
2015,Italy,BOTHSEX,89.9968
2016,Italy,MALE,92.69065
2016,Italy,FEMALE,90.41824
2016,Italy,BOTHSEX,91.51952
2016,Kazakhstan,FEMALE,84.81702
2016,Kazakhstan,BOTHSEX,85.39276
2016,Kazakhstan,MALE,86.01884
2017,Kazakhstan,BOTHSEX,86.80756
2017,Kazakhstan,MALE,87.14367
2017,Kazakhstan,FEMALE,86.49801
2018,Kazakhstan,MALE,88.77549
2018,Kazakhstan,FEMALE,87.14488
2018,Kazakhstan,BOTHSEX,87.92729
2019,Kazakhstan,MALE,88.59599
2019,Kazakhstan,FEMALE,87.6821
2019,Kazakhstan,BOTHSEX,88.12096
2020,Kazakhstan,MALE,90.93822
2020,Kazakhstan,FEMALE,90.138
2020,Kazakhstan,BOTHSEX,90.52256
2021,Kazakhstan,BOTHSEX,92.59077
2021,Kazakhstan,FEMALE,92.5023
2021,Kazakhstan,MALE,92.68623
2014,Lithuania,FEMALE,96.98561
2014,Lithuania,BOTHSEX,96.70808
2014,Lithuania,MALE,96.39515
2015,Lithuania,MALE,95.50155
2015,Lithuania,FEMALE,95.88235
2015,Lithuania,BOTHSEX,95.70312
2016,Lithuania,FEMALE,95.58825
2016,Lithuania,MALE,95.50152
2016,Lithuania,BOTHSEX,95.54746
2017,Lithuania,MALE,95.5015
2017,Lithuania,FEMALE,95.88237
2017,Lithuania,BOTHSEX,95.70313
2018,Lithuania,BOTHSEX,95.70213
2018,Lithuania,FEMALE,95.88237
2018,Lithuania,MALE,95.50158
2019,Lithuania,BOTHSEX,95.70315
2019,Lithuania,MALE,95.50362
2019,Lithuania,FEMALE,95.88447
2013,Republic of Moldova,BOTHSEX,53.63698
2014,Netherlands,MALE,77.46479
2014,Netherlands,BOTHSEX,74.30556
2014,Netherlands,FEMALE,71.23288
2015,Netherlands,FEMALE,78.08219
2015,Netherlands,BOTHSEX,78.62069
2015,Netherlands,MALE,80.28169
2016,Netherlands,MALE,86.11111
2016,Netherlands,FEMALE,82.43243
2016,Netherlands,BOTHSEX,84.24658
2021,Netherlands,BOTHSEX,87.41722
2021,Netherlands,MALE,88.0
2021,Netherlands,FEMALE,86.84211
2017,Norway,BOTHSEX,98.00001
2019,Norway,BOTHSEX,88.82264
2019,Norway,MALE,90.12938
2019,Norway,FEMALE,88.4848
2021,Norway,BOTHSEX,95.99999
2021,Norway,FEMALE,97.00001
2021,Norway,MALE,95.0
2019,Romania,BOTHSEX,96.18078
2019,Romania,MALE,97.16888
2019,Romania,FEMALE,95.20594
2020,Romania,BOTHSEX,96.80275
2020,Romania,FEMALE,96.26653
2020,Romania,MALE,97.3431
2021,Romania,FEMALE,97.51483
2021,Romania,MALE,98.17727
2021,Romania,BOTHSEX,97.84308
2016,Serbia,MALE,92.46008
2016,Serbia,FEMALE,91.06751
2016,Serbia,BOTHSEX,91.7518
2017,Serbia,BOTHSEX,92.56021
2017,Serbia,FEMALE,91.9479
2017,Serbia,MALE,93.19387
2020,Serbia,BOTHSEX,94.05679
2020,Serbia,MALE,96.66906
2020,Serbia,FEMALE,91.53361
2021,Serbia,FEMALE,94.37235
2021,Serbia,MALE,96.58234
2021,Serbia,BOTHSEX,95.45823
2020,Slovakia,FEMALE,74.43456
2020,Slovakia,MALE,78.2876
2020,Slovakia,BOTHSEX,76.34679
2017,Slovenia,MALE,97.39186
2017,Slovenia,FEMALE,97.51455
2017,Slovenia,BOTHSEX,97.45229
2018,Slovenia,MALE,95.73031
2018,Slovenia,FEMALE,96.75501
2018,Slovenia,BOTHSEX,96.23437
2019,Slovenia,MALE,97.66963
2019,Slovenia,FEMALE,96.81252
