Year,GeoAreaName,Value
2006,Azerbaijan,-4.84668
2007,Azerbaijan,4.20793
2008,Azerbaijan,15.69177
2009,Azerbaijan,18.62751
2010,Azerbaijan,19.51319
2011,Azerbaijan,32.16004
2012,Azerbaijan,33.62563
2013,Azerbaijan,31.00789
2014,Azerbaijan,32.99135
2015,Azerbaijan,39.13281
2016,Azerbaijan,33.25616
2017,Azerbaijan,26.43414
2006,Serbia,1.14205
2007,Serbia,22.38359
2008,Serbia,28.49936
2009,Serbia,32.48043
2010,Serbia,38.28565
2011,Serbia,31.54911
2012,Serbia,8.27975
2013,Serbia,8.03238
2014,Serbia,21.30529
2015,Serbia,18.56802
2016,Serbia,16.02854
2017,Serbia,28.32898
2018,Azerbaijan,30.10187
2019,Azerbaijan,24.88806
2020,Azerbaijan,21.31276
2021,Azerbaijan,15.12768
2022,Azerbaijan,18.97342
2006,Austria,3.1738
2007,Austria,8.89701
2008,Austria,15.53474
2009,Austria,8.02755
2010,Austria,11.3864
2011,Austria,12.26243
2012,Austria,14.12889
2018,Serbia,30.38345
2019,Serbia,25.509
2020,Serbia,27.77558
2021,Serbia,28.60795
2022,Serbia,26.42345
2006,Slovakia,4.33847
2007,Slovakia,25.17721
2008,Slovakia,18.67495
2009,Slovakia,11.87707
2010,Slovakia,4.96825
2011,Slovakia,8.07347
2012,Slovakia,-4.637
2013,Austria,13.71407
2014,Austria,23.38029
2015,Austria,23.93651
2016,Austria,27.70076
2017,Austria,31.45065
2018,Austria,36.35449
2019,Austria,39.8013
2020,Austria,46.37218
2021,Austria,51.56509
2022,Austria,57.74253
2006,Armenia,-0.70508
2007,Armenia,9.80269
2008,Armenia,18.80675
2009,Armenia,27.93521
2010,Armenia,29.43614
2011,Armenia,32.63118
2012,Armenia,29.91242
2013,Armenia,27.06914
2014,Armenia,27.27021
2015,Armenia,27.84747
2016,Armenia,28.08725
2017,Armenia,34.49634
2018,Armenia,37.03299
2019,Armenia,39.13165
2013,Slovakia,4.41776
2014,Slovakia,19.7039
2015,Slovakia,15.80864
2016,Slovakia,-0.87905
2017,Slovakia,-3.95074
2018,Slovakia,-3.0438
2019,Slovakia,-4.31712
2020,Slovakia,-1.4362
2021,Slovakia,6.4106
2022,Slovakia,9.52301
2006,Slovenia,10.36096
2007,Slovenia,13.56644
2020,Armenia,46.49849
2021,Armenia,51.80622
2022,Armenia,54.12659
2006,Belgium,14.42902
2007,Belgium,24.0048
2008,Belgium,23.59929
2009,Belgium,10.05708
2010,Belgium,13.61325
2011,Belgium,5.77023
2012,Belgium,1.2949
2013,Belgium,-0.15361
2014,Belgium,13.70218
2008,Slovenia,20.72935
2009,Slovenia,15.98084
2010,Slovenia,13.15237
2011,Slovenia,19.93625
2012,Slovenia,15.27806
2013,Slovenia,7.70637
2014,Slovenia,24.22902
2015,Slovenia,30.83107
2016,Slovenia,23.3661
2017,Slovenia,26.9196
2018,Slovenia,41.72774
2019,Slovenia,41.08771
2015,Belgium,16.72254
2016,Belgium,25.25249
2017,Belgium,35.07126
2018,Belgium,54.15245
2019,Belgium,62.35492
2020,Belgium,63.34429
2021,Belgium,84.99659
2022,Belgium,103.75251
2006,Bosnia and Herzegovina,16.47817
2007,Bosnia and Herzegovina,14.86207
2008,Bosnia and Herzegovina,16.31119
2009,Bosnia and Herzegovina,26.3047
2010,Bosnia and Herzegovina,18.31187
2011,Bosnia and Herzegovina,17.98392
2012,Bosnia and Herzegovina,6.0593
2013,Bosnia and Herzegovina,3.42568
2014,Bosnia and Herzegovina,12.08826
2015,Bosnia and Herzegovina,20.70024
2016,Bosnia and Herzegovina,8.13981
2017,Bosnia and Herzegovina,22.64797
2018,Bosnia and Herzegovina,28.02215
2019,Bosnia and Herzegovina,28.46434
2020,Bosnia and Herzegovina,17.47261
2020,Slovenia,38.78558
2021,Slovenia,37.83915
2022,Slovenia,39.0856
2006,Spain,-8.67981
2007,Spain,-10.47561
2008,Spain,-8.35334
2009,Spain,-17.12878
2010,Spain,-5.64068
2011,Spain,13.90321
2012,Spain,28.07838
2013,Spain,18.68893
2014,Spain,33.20445
2021,Bosnia and Herzegovina,17.01872
2022,Bosnia and Herzegovina,12.18287
2006,Bulgaria,1.85892
2007,Bulgaria,9.41741
2008,Bulgaria,13.12277
2009,Bulgaria,10.23002
2010,Bulgaria,11.55014
2011,Bulgaria,12.60479
2012,Bulgaria,10.71138
2013,Bulgaria,14.80982
2014,Bulgaria,15.75246
2015,Bulgaria,18.60787
2006,Albania,-2.82799
2007,Albania,2.0549
2008,Albania,6.05733
2009,Albania,3.1827
2010,Albania,3.09724
2011,Albania,9.9327
2012,Albania,9.30351
2013,Albania,8.74844
2014,Albania,11.56631
2015,Albania,11.71622
