Year,GeoAreaName,Value
2000,Germany,0.00023
2001,Germany,0.00031
2002,Germany,0.00039
2003,Germany,0.00041
2004,Germany,0.00041
2005,Germany,0.00041
2006,Germany,0.00042
2007,Germany,0.00042
2008,Germany,0.00043
2009,Germany,0.00043
2010,Germany,0.00043
2011,Germany,0.00044
2012,Germany,0.00044
2013,Germany,0.00043
2014,Germany,0.00044
2015,Germany,0.00044
2016,Germany,0.00043
2017,Germany,0.00043
2018,Germany,0.00044
2019,Germany,0.00043
2020,Germany,0.00043
2021,Germany,0.00043
2022,Germany,0.00043
2000,Greece,0.00039
2001,Greece,0.00078
2002,Greece,0.00114
2003,Greece,0.00152
2004,Greece,0.00191
2005,Greece,0.00192
2006,Greece,0.00194
2007,Greece,0.00197
2008,Greece,0.00197
2009,Greece,0.00193
2010,Greece,0.00193
2011,Greece,0.00194
2012,Greece,0.00194
2000,Albania,0.00053
2001,Albania,0.00107
2002,Albania,0.00159
2003,Albania,0.00207
2004,Albania,0.00263
2005,Albania,0.00266
2006,Albania,0.00269
2007,Albania,0.00273
2008,Albania,0.00272
2009,Albania,0.00269
2010,Albania,0.00266
2011,Albania,0.00265
2013,Greece,0.00198
2014,Greece,0.00204
2015,Greece,0.00205
2016,Greece,0.00206
2017,Greece,0.00207
2018,Greece,0.00207
2019,Greece,0.00207
2020,Greece,0.00207
2021,Greece,0.00206
2022,Greece,0.00205
2000,Hungary,0.00013
2001,Hungary,0.00027
2000,Türkiye,0.00164
2001,Türkiye,0.00188
2002,Türkiye,0.00251
2003,Türkiye,0.00318
2004,Türkiye,0.00328
2005,Türkiye,0.00332
2006,Türkiye,0.0034
2007,Türkiye,0.00347
2008,Türkiye,0.00349
2009,Türkiye,0.00347
2010,Türkiye,0.0035
2011,Türkiye,0.00358
2002,Hungary,0.0004
2003,Hungary,0.00052
2004,Hungary,0.00065
2005,Hungary,0.00064
2006,Hungary,0.00063
2007,Hungary,0.00063
2008,Hungary,0.00063
2009,Hungary,0.00063
2010,Hungary,0.00063
2011,Hungary,0.00064
2012,Hungary,0.00064
2013,Hungary,0.00064
2012,Albania,0.00261
2013,Albania,0.00267
2014,Albania,0.00271
2015,Albania,0.00272
2016,Albania,0.0027
2017,Albania,0.00276
2018,Albania,0.00277
2019,Albania,0.00278
2020,Albania,0.00283
2021,Albania,0.00291
2022,Albania,0.00293
2000,Azerbaijan,0.00362
2012,Türkiye,0.00368
2013,Türkiye,0.00381
2014,Türkiye,0.00398
2015,Türkiye,0.00404
2016,Türkiye,0.0041
2017,Türkiye,0.00414
2018,Türkiye,0.00415
2019,Türkiye,0.00413
2020,Türkiye,0.00419
2021,Türkiye,0.00418
2022,Türkiye,0.00412
2000,Turkmenistan,0.00028
2014,Hungary,0.00063
2015,Hungary,0.00063
2016,Hungary,0.00063
2017,Hungary,0.00062
2018,Hungary,0.00062
2019,Hungary,0.00062
2020,Hungary,0.00061
2021,Hungary,0.00061
2022,Hungary,0.00061
2000,Iceland,0.00076
2001,Iceland,0.00117
2002,Iceland,0.00158
2001,Turkmenistan,0.00026
2002,Turkmenistan,0.00025
2003,Turkmenistan,0.00025
2004,Turkmenistan,0.00025
2005,Turkmenistan,0.00025
2006,Turkmenistan,0.00027
2007,Turkmenistan,0.00027
2008,Turkmenistan,0.00028
2009,Turkmenistan,0.00028
2010,Turkmenistan,0.00029
2011,Turkmenistan,0.0003
2012,Turkmenistan,0.0003
2001,Azerbaijan,0.00407
2002,Azerbaijan,0.00541
2003,Azerbaijan,0.00684
2004,Azerbaijan,0.00694
2005,Azerbaijan,0.00709
