Year,GeoAreaName,Mode of transportation,Value
2017,Albania,AIR,0.0
2020,Albania,AIR,0.0
2021,Albania,AIR,0.0
2017,Azerbaijan,AIR,61625500.0
2018,Azerbaijan,AIR,44088600.0
2019,Azerbaijan,AIR,1620437910.0
2020,Azerbaijan,AIR,2030378090.0
2021,Azerbaijan,AIR,3173723770.0
2017,Austria,AIR,391268000.0
2018,Austria,AIR,373511000.0
2019,Austria,AIR,320036527.0
2020,Austria,AIR,74560823.0
2021,Austria,AIR,125155714.0
2019,Armenia,AIR,326500.0
2020,Armenia,AIR,116920.0
2021,Armenia,AIR,1347896.0
2017,Belgium,AIR,1574378609.0
2018,Belgium,AIR,1285344187.0
2019,Belgium,AIR,1353426977.0
2020,Belgium,AIR,1265065944.0
2021,Belgium,AIR,1827413026.121
2020,Bosnia and Herzegovina,AIR,0.0
2017,Bulgaria,AIR,1718960.0
2018,Bulgaria,AIR,1375000.0
2019,Bulgaria,AIR,1257000.0
2020,Bulgaria,AIR,1024890.0
2021,Bulgaria,AIR,58087.0
2017,Belarus,AIR,1915100.0
2018,Belarus,AIR,1900400.0
2019,Belarus,AIR,2883900.0
2020,Belarus,AIR,1882857.0
2021,Belarus,AIR,2257300.0
2017,Croatia,AIR,582750.0
2018,Croatia,AIR,529790.0
2019,Croatia,AIR,440600.0
2020,Croatia,AIR,179350.0
2021,Croatia,AIR,148530.0
2017,Cyprus,AIR,340320.0
2018,Cyprus,AIR,21000.0
2019,Cyprus,AIR,140000.0
2020,Cyprus,AIR,328962.0
2021,Cyprus,AIR,105655.573
2017,Czechia,AIR,27814650.0
2018,Czechia,AIR,25226370.0
2019,Czechia,AIR,22732540.0
2020,Czechia,AIR,4323665.0
2021,Czechia,AIR,473080.0
2017,Denmark,AIR,256611493.0
2018,Denmark,AIR,254506828.0
2019,Denmark,AIR,273445109.0
2020,Denmark,AIR,174239640.0
2021,Denmark,AIR,98585333.33333
2017,Estonia,AIR,0.0
2017,Finland,AIR,852012630.0
2018,Finland,AIR,957638590.0
2019,Finland,AIR,1067315110.0
2020,Finland,AIR,480379190.0
2021,Finland,AIR,750289250.0
2017,France,AIR,4260597000.0
2018,France,AIR,4443789000.0
2019,France,AIR,4522586000.0
2020,France,AIR,2467943000.0
2021,France,AIR,4107030000.0
2017,Georgia,AIR,478400.0
2018,Georgia,AIR,750900.0
2019,Georgia,AIR,640604.0
2020,Georgia,AIR,134700.0
2021,Georgia,AIR,113350.0
2017,Germany,AIR,7901652344.0
2018,Germany,AIR,7969863640.0
2019,Germany,AIR,7763619214.0
2020,Germany,AIR,5454642249.0
2021,Germany,AIR,11533048536.03
2017,Greece,AIR,23525000.0
2018,Greece,AIR,21909000.0
2019,Greece,AIR,23905760.0
2020,Greece,AIR,10098440.0
2021,Greece,AIR,12459300.0
2017,Hungary,AIR,0.0
2020,Hungary,AIR,0.0
2021,Hungary,AIR,0.0
2017,Iceland,AIR,166752350.0
2018,Iceland,AIR,163646108.0
2019,Iceland,AIR,138653502.0
2020,Iceland,AIR,135059286.0
2021,Iceland,AIR,149000507.0
2017,Ireland,AIR,154385040.0
2018,Ireland,AIR,168711700.0
2019,Ireland,AIR,174540400.0
2020,Ireland,AIR,131775022.0
2021,Ireland,AIR,86364470.0
2017,Italy,AIR,1437245062.0
2018,Italy,AIR,1418004731.0
2019,Italy,AIR,1344955151.0
2020,Italy,AIR,978760630.0
2021,Italy,AIR,1150691582.0
2017,Kazakhstan,AIR,49507700.0
2018,Kazakhstan,AIR,49643060.0
2019,Kazakhstan,AIR,49849010.0
2020,Kazakhstan,AIR,23539570.0
2021,Kazakhstan,AIR,31447970.0
2017,Kyrgyzstan,AIR,21650.0
2018,Kyrgyzstan,AIR,1263266.0
2019,Kyrgyzstan,AIR,495853.0
2020,Kyrgyzstan,AIR,5855.0
2021,Kyrgyzstan,AIR,2330.29
2017,Latvia,AIR,2831080.0
2018,Latvia,AIR,4014870.0
2019,Latvia,AIR,5163762.0
2020,Latvia,AIR,4321230.0
2021,Latvia,AIR,2318220.0
2017,Lithuania,AIR,472000.0
2019,Lithuania,AIR,0.0
2020,Lithuania,AIR,2807193.0
2021,Lithuania,AIR,0.0
2017,Luxembourg,AIR,7321112170.0
2018,Luxembourg,AIR,7323039580.0
2019,Luxembourg,AIR,7188043340.0
2020,Luxembourg,AIR,7344759036.0
2021,Luxembourg,AIR,8588534760.0
2017,Malta,AIR,2636210.0
2018,Malta,AIR,4814530.0
2019,Malta,AIR,6727273.0
2020,Malta,AIR,2903531.0
