Year,GeoAreaName,Activity,Value
2000,Bulgaria,ISIC4_C,445.24
2001,Bulgaria,ISIC4_C,480.03
2002,Bulgaria,ISIC4_C,514.17
2003,Bulgaria,ISIC4_C,581.42
2004,Bulgaria,ISIC4_C,598.87
2005,Bulgaria,ISIC4_C,640.79
2006,Bulgaria,ISIC4_C,711.07
2007,Bulgaria,ISIC4_C,822.23
2008,Bulgaria,ISIC4_C,844.04
2009,Bulgaria,ISIC4_C,777.72
2010,Bulgaria,ISIC4_C,754.02
2011,Bulgaria,ISIC4_C,808.59
2012,Bulgaria,ISIC4_C,896.22
2013,Bulgaria,ISIC4_C,851.34
2014,Bulgaria,ISIC4_C,875.65
2015,Bulgaria,ISIC4_C,946.62
2016,Bulgaria,ISIC4_C,998.52
2017,Bulgaria,ISIC4_C,1024.11
2018,Bulgaria,ISIC4_C,1067.13
2019,Bulgaria,ISIC4_C,1092.07
2020,Bulgaria,ISIC4_C,966.22
2021,Bulgaria,ISIC4_C,1003.98
2022,Bulgaria,ISIC4_C,1060.5
2000,Belarus,ISIC4_C,414.51
2001,Belarus,ISIC4_C,447.03
2002,Belarus,ISIC4_C,480.72
2003,Belarus,ISIC4_C,531.67
2004,Belarus,ISIC4_C,642.9
2005,Belarus,ISIC4_C,740.24
2006,Belarus,ISIC4_C,846.17
2007,Belarus,ISIC4_C,921.2
2008,Belarus,ISIC4_C,1060.73
2009,Belarus,ISIC4_C,1040.77
2010,Belarus,ISIC4_C,1155.54
2011,Belarus,ISIC4_C,1271.24
2012,Belarus,ISIC4_C,1348.86
2013,Belarus,ISIC4_C,1283.71
2014,Belarus,ISIC4_C,1285.3
2015,Belarus,ISIC4_C,1201.44
2016,Belarus,ISIC4_C,1197.8
2000,Norway,ISIC4_C,4940.58
2001,Norway,ISIC4_C,4877.65
2002,Norway,ISIC4_C,4819.43
2003,Norway,ISIC4_C,4941.24
2004,Norway,ISIC4_C,5134.84
2005,Norway,ISIC4_C,5295.47
2006,Norway,ISIC4_C,5378.72
2007,Norway,ISIC4_C,5513.89
2008,Norway,ISIC4_C,5593.02
2009,Norway,ISIC4_C,5117.08
2010,Norway,ISIC4_C,5143.1
2011,Norway,ISIC4_C,5165.7
2012,Norway,ISIC4_C,5205.47
2013,Norway,ISIC4_C,5315.67
2014,Norway,ISIC4_C,5414.15
2015,Norway,ISIC4_C,5109.34
2016,Norway,ISIC4_C,4847.69
2017,Norway,ISIC4_C,4824.88
2018,Norway,ISIC4_C,4880.69
2019,Norway,ISIC4_C,4934.52
2020,Norway,ISIC4_C,4782.6
2000,Albania,ISIC4_C,78.4
2001,Albania,ISIC4_C,83.66
2002,Albania,ISIC4_C,88.0
2003,Albania,ISIC4_C,106.02
2004,Albania,ISIC4_C,113.51
2005,Albania,ISIC4_C,130.55
2006,Albania,ISIC4_C,149.0
2007,Albania,ISIC4_C,169.39
2008,Albania,ISIC4_C,162.2
2009,Albania,ISIC4_C,168.1
2010,Albania,ISIC4_C,188.66
2017,Belarus,ISIC4_C,1279.91
2018,Belarus,ISIC4_C,1347.54
2019,Belarus,ISIC4_C,1367.52
2020,Belarus,ISIC4_C,1376.64
2021,Belarus,ISIC4_C,1465.62
