Year,GeoAreaName,Value
2008,Albania,155.52783
2019,Azerbaijan,1718.79824
2020,Azerbaijan,1734.85481
2021,Azerbaijan,1741.11362
2002,Austria,2965.68455
2004,Austria,3158.79469
2005,Austria,3449.33454
2006,Austria,3524.13895
2007,Austria,3810.03152
2008,Austria,4136.92593
2009,Austria,4140.10453
2010,Austria,4349.71722
2011,Austria,4390.34667
2012,Austria,4669.44719
2013,Austria,4724.72032
2014,Austria,4947.87477
2015,Austria,5019.43848
2016,Austria,5372.23996
2017,Austria,5387.92896
2018,Austria,5639.06333
2019,Austria,5895.44374
2020,Austria,5751.32256
2000,Belgium,2970.19422
2001,Belgium,3123.98921
2002,Belgium,2958.84489
2003,Belgium,2967.37
2004,Belgium,3091.60518
2005,Belgium,3142.7299
2006,Belgium,3284.43073
2007,Belgium,3395.01749
2008,Belgium,3411.75263
2009,Belgium,3519.85499
2010,Belgium,3732.83127
2011,Belgium,3875.64397
2012,Belgium,4113.26364
2013,Belgium,4155.91094
2014,Belgium,4528.91488
2015,Belgium,4711.04559
2016,Belgium,4780.51719
2017,Belgium,4729.55358
2018,Belgium,5003.94559
2019,Belgium,5253.21059
2020,Belgium,5750.1439
2003,Bosnia and Herzegovina,61.59419
2004,Bosnia and Herzegovina,63.42766
2005,Bosnia and Herzegovina,67.1423
2006,Bosnia and Herzegovina,178.23305
2007,Bosnia and Herzegovina,198.03677
2012,Bosnia and Herzegovina,160.13994
2013,Bosnia and Herzegovina,233.86738
2014,Bosnia and Herzegovina,292.38061
2015,Bosnia and Herzegovina,365.22839
2016,Bosnia and Herzegovina,419.99063
2017,Bosnia and Herzegovina,485.42082
2018,Bosnia and Herzegovina,471.2501
2019,Bosnia and Herzegovina,460.03635
2020,Bosnia and Herzegovina,451.9908
2021,Bosnia and Herzegovina,447.2239
2000,Bulgaria,1185.17766
2001,Bulgaria,1162.19205
2002,Bulgaria,1172.479
2003,Bulgaria,1228.67973
2004,Bulgaria,1268.87888
2005,Bulgaria,1307.79884
2006,Bulgaria,1354.47304
2007,Bulgaria,1478.61752
2008,Bulgaria,1513.00749
