Year,GeoAreaName,Value
2012,Azerbaijan,6.68
2013,Azerbaijan,14.31
2014,Azerbaijan,49.0
2015,Azerbaijan,39.0
2016,Azerbaijan,41.0
2017,Azerbaijan,42.0
2018,Azerbaijan,49.0
2019,Azerbaijan,93.0
2020,Azerbaijan,93.0
2021,Azerbaijan,94.0
2012,Austria,31.57
2013,Austria,58.41
2014,Austria,85.0
2015,Austria,98.0
2016,Austria,98.0
2017,Austria,98.0
2018,Austria,98.0
2019,Austria,98.0
2020,Austria,98.0
2021,Austria,98.0
2012,Armenia,17.54
2013,Armenia,44.0
2014,Armenia,46.0
2015,Armenia,46.5
2016,Armenia,52.48
2017,Armenia,90.05
2018,Armenia,99.1
2019,Armenia,99.3
2020,Armenia,100.0
2021,Armenia,100.0
2012,Belgium,12.23
2013,Belgium,51.7
2014,Belgium,88.0
2015,Belgium,99.89
2016,Belgium,100.0
2017,Belgium,100.0
2018,Belgium,100.0
2019,Belgium,100.0
2020,Belgium,100.0
2021,Belgium,100.0
2014,Bosnia and Herzegovina,0.0
2015,Bosnia and Herzegovina,0.0
2016,Bosnia and Herzegovina,0.0
2017,Bosnia and Herzegovina,0.0
2018,Bosnia and Herzegovina,0.0
2019,Bosnia and Herzegovina,82.0
2020,Bosnia and Herzegovina,82.0
2021,Bosnia and Herzegovina,93.0
2012,Bulgaria,0.0
2013,Bulgaria,0.0
2014,Bulgaria,34.5
2015,Bulgaria,56.73
2016,Bulgaria,86.75
2017,Bulgaria,99.34
2018,Bulgaria,99.71
2019,Bulgaria,99.94
2020,Bulgaria,99.85
2021,Bulgaria,99.85
2014,Belarus,6.0
2015,Belarus,20.4
2016,Belarus,41.5
2017,Belarus,68.5
2018,Belarus,75.7
2019,Belarus,75.7
2020,Belarus,89.5
2021,Belarus,97.4
2012,Croatia,13.9
2013,Croatia,23.0
2014,Croatia,45.0
2015,Croatia,98.0
2016,Croatia,96.85
2017,Croatia,98.31
2018,Croatia,98.5
2019,Croatia,99.44
2020,Croatia,99.53
2021,Croatia,99.45
2014,Cyprus,0.0
2015,Cyprus,60.0
2016,Cyprus,73.0
2017,Cyprus,96.0
2018,Cyprus,97.53
2019,Cyprus,99.6
2020,Cyprus,99.93
2021,Cyprus,99.91
2012,Czechia,0.0
2013,Czechia,0.0
2014,Czechia,92.1
2015,Czechia,98.7
2016,Czechia,99.7
2017,Czechia,99.8
2018,Czechia,99.8
2019,Czechia,99.8
2020,Czechia,99.8
2021,Czechia,99.8
2012,Denmark,83.08
2014,Denmark,99.5
2015,Denmark,99.99
2016,Denmark,100.0
2017,Denmark,100.0
2018,Denmark,100.0
2019,Denmark,100.0
2020,Denmark,100.0
2021,Denmark,100.0
2012,Estonia,70.0
2013,Estonia,97.0
2014,Estonia,100.0
2015,Estonia,100.0
2016,Estonia,99.0
2017,Estonia,99.0
2018,Estonia,99.0
2019,Estonia,99.0
2020,Estonia,99.0
2021,Estonia,99.0
2012,Finland,65.11
2013,Finland,79.14
2014,Finland,95.0
2015,Finland,99.9
2016,Finland,99.9
2017,Finland,99.9
2018,Finland,99.9
2019,Finland,99.9
2020,Finland,99.9
2021,Finland,99.9
2012,France,20.0
2013,France,63.0
2014,France,74.0
2015,France,80.0
2016,France,90.0
2017,France,98.0
2018,France,99.0
2019,France,99.0
2020,France,99.0
2021,France,99.0
2013,Georgia,8.86
2014,Georgia,20.0
2015,Georgia,82.0
2016,Georgia,91.99
2017,Georgia,99.72
2018,Georgia,99.72
2019,Georgia,99.72
2020,Georgia,99.72
2021,Georgia,99.72
2012,Germany,53.0
2013,Germany,67.0
2014,Germany,92.1
2015,Germany,95.7
2016,Germany,96.2
2017,Germany,96.2
2018,Germany,98.2
2019,Germany,99.0
2020,Germany,99.64
2021,Germany,99.83
2012,Greece,35.13
2013,Greece,55.0
2014,Greece,55.0
2015,Greece,83.0
2016,Greece,93.0
2017,Greece,98.0
2018,Greece,98.8
2019,Greece,98.8
2020,Greece,98.8
2021,Greece,98.8
2012,Hungary,27.0
2013,Hungary,38.0
2014,Hungary,78.3
2015,Hungary,97.3
2016,Hungary,98.0
2017,Hungary,99.0
2018,Hungary,99.2
2019,Hungary,99.2
2020,Hungary,99.2
2021,Hungary,99.2
2013,Iceland,67.7
2014,Iceland,89.0
2015,Iceland,93.0
2016,Iceland,95.5
2017,Iceland,98.2
2018,Iceland,98.2
2019,Iceland,98.9
2020,Iceland,99.98
2021,Iceland,99.98
2013,Ireland,40.0
2014,Ireland,87.0
2015,Ireland,90.0
2016,Ireland,90.0
2017,Ireland,90.0
2018,Ireland,90.0
2019,Ireland,90.0
2020,Ireland,90.0
2021,Ireland,90.0
2012,Italy,7.09
2013,Italy,49.0
2014,Italy,90.0
2015,Italy,93.0
2016,Italy,96.0
2017,Italy,98.0
2018,Italy,99.0
2019,Italy,100.0
2020,Italy,100.0
2021,Italy,100.0
2012,Kazakhstan,2.67
2013,Kazakhstan,25.86
2014,Kazakhstan,43.3
2015,Kazakhstan,65.5
2016,Kazakhstan,69.0
2017,Kazakhstan,72.9
2018,Kazakhstan,75.3
2019,Kazakhstan,75.7
2020,Kazakhstan,81.3
2021,Kazakhstan,83.5
2014,Kyrgyzstan,0.5
2015,Kyrgyzstan,1.6
2016,Kyrgyzstan,40.0
2017,Kyrgyzstan,50.0
2018,Kyrgyzstan,70.0
2019,Kyrgyzstan,85.0
2020,Kyrgyzstan,85.0
2021,Kyrgyzstan,85.0
2012,Latvia,26.67
2013,Latvia,38.64
2014,Latvia,75.0
2015,Latvia,90.0
2016,Latvia,95.0
2017,Latvia,95.0
2019,Latvia,95.0
2020,Latvia,95.0
2021,Latvia,95.0
2014,Liechtenstein,0.0
2015,Liechtenstein,96.0
2016,Liechtenstein,96.0
2017,Liechtenstein,97.0
2018,Liechtenstein,98.0
2019,Liechtenstein,98.0
2020,Liechtenstein,98.0
2021,Liechtenstein,98.33
2012,Lithuania,44.44
2013,Lithuania,48.89
2014,Lithuania,80.0
2015,Lithuania,91.0
2016,Lithuania,98.0
2017,Lithuania,98.0
2018,Lithuania,99.0
2019,Lithuania,99.99
2020,Lithuania,99.99
2021,Lithuania,99.99
2012,Luxembourg,90.0
2013,Luxembourg,90.0
2014,Luxembourg,93.0
2015,Luxembourg,96.0
2016,Luxembourg,95.0
2017,Luxembourg,96.0
2018,Luxembourg,97.0
2019,Luxembourg,98.0
2020,Luxembourg,98.0
2021,Luxembourg,99.8
2013,Malta,30.0
2014,Malta,62.0
2015,Malta,100.0
2016,Malta,100.0
2017,Malta,100.0
2018,Malta,100.0
2019,Malta,100.0
2020,Malta,100.0
2021,Malta,100.0
2012,Republic of Moldova,22.87
2013,Republic of Moldova,28.67
2014,Republic of Moldova,33.0
2015,Republic of Moldova,84.0
2016,Republic of Moldova,97.0
2017,Republic of Moldova,97.0
2018,Republic of Moldova,97.0
2019,Republic of Moldova,98.0
2020,Republic of Moldova,99.0
2021,Republic of Moldova,99.0
2012,Montenegro,10.0
2013,Montenegro,38.0
2014,Montenegro,62.0
2015,Montenegro,65.0
2016,Montenegro,85.0
2017,Montenegro,98.0
2018,Montenegro,97.62
2019,Montenegro,97.65
2020,Montenegro,97.52
2021,Montenegro,97.83
2012,Netherlands,29.28
2013,Netherlands,80.0
2014,Netherlands,99.0
2015,Netherlands,99.0
2016,Netherlands,99.0
2017,Netherlands,99.0
2018,Netherlands,99.0
2019,Netherlands,99.0
2020,Netherlands,99.0
2021,Netherlands,99.0
2012,Norway,54.92
2013,Norway,68.95
2014,Norway,85.0
2015,Norway,99.0
2016,Norway,99.2
2017,Norway,99.8
2018,Norway,99.9
2019,Norway,99.9
2020,Norway,99.9
2021,Norway,99.9
2012,Poland,50.0
2013,Poland,66.7
2014,Poland,80.0
2015,Poland,100.0
2016,Poland,100.0
2017,Poland,100.0
2018,Poland,100.0
2019,Poland,100.0
2020,Poland,100.0
2021,Poland,100.0
2012,Portugal,90.0
2013,Portugal,93.0
2014,Portugal,95.0
2015,Portugal,94.3
2016,Portugal,98.8
2017,Portugal,98.9
2018,Portugal,99.2
2019,Portugal,99.7
2020,Portugal,99.9
2021,Portugal,99.8
2012,Romania,54.0
2013,Romania,59.0
2014,Romania,55.8
2015,Romania,66.1
2016,Romania,75.2
2017,Romania,88.54
2018,Romania,92.56
2019,Romania,98.13
2020,Romania,98.22
2021,Romania,98.63
2014,Serbia,0.0
2015,Serbia,56.74
2016,Serbia,78.2
2017,Serbia,94.4
2018,Serbia,96.7
2019,Serbia,96.86
2020,Serbia,98.1
2021,Serbia,98.19
2012,Slovakia,11.15
2013,Slovakia,24.0
2014,Slovakia,52.0
2015,Slovakia,75.0
2016,Slovakia,87.0
2017,Slovakia,92.0
2018,Slovakia,94.0
2019,Slovakia,97.0
2020,Slovakia,99.0
2021,Slovakia,99.0
2012,Slovenia,12.8
2013,Slovenia,63.4
2014,Slovenia,89.7
2015,Slovenia,95.7
2016,Slovenia,97.4
2017,Slovenia,98.6
2018,Slovenia,99.5
2019,Slovenia,99.7
2020,Slovenia,99.9
2021,Slovenia,99.99
2013,Spain,51.27
2014,Spain,75.0
2015,Spain,91.3
2016,Spain,91.3
2017,Spain,96.2
2018,Spain,97.8
2019,Spain,99.4
2020,Spain,99.6
2021,Spain,99.6
2012,Sweden,93.26
2013,Sweden,99.19
2014,Sweden,99.45
2015,Sweden,99.99
2016,Sweden,100.0
2017,Sweden,100.0
2018,Sweden,100.0
2019,Sweden,100.0
2020,Sweden,100.0
