Year,GeoAreaName,Value
2010,Albania,30.3835245888424
2011,Albania,32.8008768955256
2012,Albania,35.6138531661464
2013,Albania,33.6079104470378
2014,Albania,38.6759848510118
2015,Albania,40.8455541098016
2016,Albania,39.9694150548205
2017,Albania,40.1811003899305
2018,Albania,45.9480414361102
2019,Albania,49.0392178072044
2020,Albania,46.937267849233
2021,Albania,44.9193956705706
2022,Albania,39.579419872045
2006,Austria,68.5280590183821
2007,Austria,67.107763112562
2008,Austria,69.7331162533543
2009,Austria,76.233982549907
2010,Austria,67.959402199087
2011,Austria,71.5770615839428
2012,Austria,73.3583475895964
2013,Austria,68.9188906517956
2014,Austria,66.9956090872689
2015,Austria,68.4885847529703
2016,Austria,67.2350588071169
2017,Austria,65.7015265821804
2018,Austria,68.1697858304631
2019,Austria,63.9306007653345
2020,Austria,78.0292710566669
2005,Armenia,110.507950322591
2006,Armenia,106.06196550337
2007,Armenia,71.665388886537
2008,Armenia,60.3016766888781
2009,Armenia,89.7330814851878
2010,Armenia,131.488041365896
2011,Armenia,120.784889188978
2012,Armenia,126.051501942715
2013,Armenia,142.311773011946
2014,Armenia,129.369182731678
2015,Armenia,142.356928000604
2016,Armenia,170.769985644649
2017,Armenia,141.692214863328
2018,Armenia,119.492796528962
2019,Armenia,111.657786210032
2020,Armenia,108.798496809401
2005,Belgium,58.1631600068796
2006,Belgium,66.7158015095973
2007,Belgium,61.2925860162613
2008,Belgium,86.2481541960199
2009,Belgium,81.0253809438146
2010,Belgium,75.6830627190396
2011,Belgium,82.0580689166901
2012,Belgium,77.2684466953093
2013,Belgium,68.5468466908185
2014,Belgium,61.2855501840045
2015,Belgium,56.7759424890914
2016,Belgium,55.829022825731
2017,Belgium,53.8924770177887
2018,Belgium,25.0082444510106
2019,Belgium,23.3923495728803
2020,Belgium,32.2648276600717
2021,Belgium,25.1709201797951
2000,Bosnia and Herzegovina,54.0494036675623
2001,Bosnia and Herzegovina,65.0787130408063
2002,Bosnia and Herzegovina,51.5190348825523
2003,Bosnia and Herzegovina,58.7375213456581
2004,Bosnia and Herzegovina,59.5254449010301
2005,Bosnia and Herzegovina,61.912742893894
2006,Bosnia and Herzegovina,60.7730615475189
2007,Bosnia and Herzegovina,61.2847085896158
2008,Bosnia and Herzegovina,75.8940510477755
2009,Bosnia and Herzegovina,81.6072198345517
2010,Bosnia and Herzegovina,71.7415365368483
2011,Bosnia and Herzegovina,67.3294348219995
2012,Bosnia and Herzegovina,65.2887592350965
2013,Bosnia and Herzegovina,65.896587126096
2014,Bosnia and Herzegovina,65.6199330354813
2015,Bosnia and Herzegovina,61.9207355673143
2016,Bosnia and Herzegovina,61.6189198804179
2017,Bosnia and Herzegovina,59.8505100677801
2018,Bosnia and Herzegovina,60.4384664767768
2019,Bosnia and Herzegovina,61.0306198154242
2020,Bosnia and Herzegovina,51.3422147737663
2021,Bosnia and Herzegovina,51.2768477474965
2008,Bulgaria,26.4382369119365
2009,Bulgaria,26.5504124512208
2010,Bulgaria,30.0236891133431
2011,Bulgaria,29.0594728338969
2012,Bulgaria,29.9550852888117
2013,Bulgaria,30.5739554162117
2014,Bulgaria,33.7335202991291
2015,Bulgaria,40.1784369597318
2016,Bulgaria,40.9770353167847
2017,Bulgaria,41.494612811018
2018,Bulgaria,35.7827997161006
2019,Bulgaria,33.9259748620908
2020,Bulgaria,36.3461482856908
2010,Belarus,97.5063451044987
2011,Belarus,127.772994155941
2012,Belarus,96.25754870391
2013,Belarus,89.6274311703239
2014,Belarus,89.9312347360578
2015,Belarus,75.7991754475079
2016,Belarus,50.966661757831
2017,Belarus,60.1545438932907
2018,Belarus,167.591273745368
2019,Belarus,155.618346245457
2020,Belarus,122.904073106537
2021,Belarus,141.861060084896
2006,Croatia,61.8691487202185
2007,Croatia,61.5550751322023
2008,Croatia,54.5604335096847
2009,Croatia,53.4815607574983
2010,Croatia,37.8101465172057
2011,Croatia,38.4431771730772
2012,Croatia,38.7079342179945
2013,Croatia,38.1584719653519
2014,Croatia,42.6793701604889
2015,Croatia,41.8517257978837
2016,Croatia,42.5872999940927
2017,Croatia,47.3098518521258
2018,Croatia,47.0749070081833
2019,Croatia,46.7483528549572
2020,Croatia,48.0639511063301
2021,Croatia,37.4630203658471
2008,Cyprus,46.4917494392549
2009,Cyprus,51.1536100578965
2010,Cyprus,37.3413933833989
2011,Cyprus,28.2044504504289
2012,Cyprus,24.1171623781393
2013,Cyprus,30.3186311619645
2014,Cyprus,24.6345821523814
2015,Cyprus,36.4516168593447
2016,Cyprus,20.9785952627273
2017,Cyprus,25.798693495428
2018,Cyprus,44.9287813886096
2019,Cyprus,47.501520865105
2020,Cyprus,39.4630558228594
2021,Cyprus,42.6630133074392
2005,Czechia,87.7203483140537
2007,Czechia,71.5340735340688
2008,Czechia,70.3255777051739
2009,Czechia,69.9682884811372
2010,Czechia,71.1244331806709
2011,Czechia,72.2268448461247
2012,Czechia,71.3867683883422
2013,Czechia,67.3749870396305
2014,Czechia,64.85780675504
2015,Czechia,61.6845940267827
2016,Czechia,53.8099745613813
2017,Czechia,39.8275063313907
2018,Czechia,29.9707242797218
2019,Czechia,38.7443371914924
2020,Czechia,40.8581264444713
2021,Czechia,53.5157096737092
2005,Denmark,63.9908103405973
2006,Denmark,53.4667575346401
2007,Denmark,52.1514623863104
2008,Denmark,45.1397990115881
2009,Denmark,62.7253400134488
2010,Denmark,66.3095579833788
2011,Denmark,73.8264755026065
2012,Denmark,82.567175383026
2013,Denmark,56.765781852997
2014,Denmark,55.1160972403776
2015,Denmark,47.4212498630116
2016,Denmark,49.1488244984964
2017,Denmark,47.1434822648094
2018,Denmark,50.1086929366119
2019,Denmark,49.5128353349024
2020,Denmark,59.3227573633341
2021,Denmark,58.347232726425
2008,Estonia,19.374202452209
2009,Estonia,24.9487688598973
2010,Estonia,25.2401705368396
2011,Estonia,25.7203842049093
2012,Estonia,25.8000506650683
2013,Estonia,21.6036716167558
2014,Estonia,28.7417794844608
2015,Estonia,29.2487456030453
2016,Estonia,31.4832898320444
2017,Estonia,28.111916952729
2018,Estonia,26.4187465702767
2019,Estonia,24.9511408048798
2020,Estonia,30.5531116851142
2021,Estonia,31.0004245846906
2014,Finland,18.9083498425703
2015,Finland,22.4456514150878
2016,Finland,25.0511871389409
2017,Finland,20.9489777603733
2018,Finland,19.0743104015972
2019,Finland,22.1350273226114
2020,Finland,21.7269719835183
2021,Finland,22.2089352697521
2008,France,128.323493222094
2009,France,93.1309100347863
2010,France,87.960518167028
2011,France,87.6353457895702
2012,France,88.474109846893
2013,France,71.6127634986469
2014,France,17.7773382423067
2015,France,17.5187422988036
2016,France,20.1929602921626
2017,France,20.7401042923995
2018,France,19.3017692807711
2019,France,20.1431971958039
2020,France,25.9888407856105
2021,France,26.9990386189077
2001,Georgia,58.9851659401045
2002,Georgia,51.351697106824
2003,Georgia,52.2392604046208
2004,Georgia,48.9899752540583
2005,Georgia,39.5685530150162
2006,Georgia,42.0860684319228
2007,Georgia,42.2083439710274
2008,Georgia,34.9570174795816
2009,Georgia,41.3103835553282
2010,Georgia,41.8773783760641
2011,Georgia,44.4130811801777
2012,Georgia,44.7532162339726
2013,Georgia,43.1168992020815
2014,Georgia,34.7502606191843
2015,Georgia,35.6048490461673
2016,Georgia,33.9832187152747
2017,Georgia,32.086686032787
2018,Georgia,27.1380013164706
2019,Georgia,24.172245046155
2020,Georgia,25.2178323726528
2021,Georgia,26.2750164057766
2022,Georgia,41.9268833461969
2007,Germany,119.42
2008,Germany,120.38
