Year,GeoAreaName,Counterpart,Value
2016,Spain,DO,6.14091
2016,Spain,CN,17.03801
2016,Spain,BG,7.65047
2016,Spain,PH,4.45978
2016,Spain,RO,5.20238
2016,Spain,BO,5.76008
2016,Spain,BR,7.60751
2016,Spain,HN,8.11332
2016,Spain,PE,5.96193
2016,Spain,NG,5.27517
2016,Spain,EC,5.30231
2016,Spain,MA,5.94491
2016,Spain,CO,8.47537
2017,Spain,DO,7.18122
2017,Spain,PH,5.58585
2017,Spain,PE,4.93514
2017,Spain,CO,5.53184
2017,Spain,HN,4.84174
2017,Spain,BO,5.078
2017,Spain,MA,6.19455
2017,Spain,BR,6.90379
2017,Spain,BG,7.07143
2017,Spain,RO,4.71429
2017,Spain,EC,3.54762
2017,Spain,CN,17.30296
2018,Spain,HN,2.8163
2018,Spain,BO,3.13343
2018,Spain,MA,3.09253
2018,Spain,NG,5.81161
2018,Spain,PE,3.33678
2018,Spain,RO,2.37619
2018,Spain,EC,2.57085
2018,Spain,DO,3.19778
2018,Spain,PH,3.57665
2018,Spain,BG,2.41168
2018,Spain,BR,3.41845
2018,Spain,CO,4.22653
2018,Spain,CN,5.39311
2019,Spain,PH,2.62199
2019,Spain,EC,3.32428
2019,Spain,PE,3.59011
2019,Spain,RO,1.04672
2019,Spain,BG,2.10233
2019,Spain,CN,4.90949
2016,Austria,TR,6.63454
2016,Austria,HR,5.0644
2016,Austria,XK,7.35714
2016,Austria,BA,9.47682
2016,Austria,HU,7.35411
2016,Austria,RS,9.76585
2017,Austria,RS,6.82711
2017,Austria,TR,3.34525
2017,Austria,XK,5.69048
2019,Spain,CO,3.10504
2019,Spain,NG,5.61851
2019,Spain,DO,0.75473
2019,Spain,BO,3.47847
2019,Spain,BR,4.02451
2019,Spain,HN,3.35619
2019,Spain,MA,1.75162
2020,Spain,BO,0.85
2020,Spain,CO,-0.04905
2020,Spain,CN,3.21427
2020,Spain,RO,1.032
2020,Spain,BG,1.39048
2020,Spain,NG,4.42474
2020,Spain,PE,3.80661
2020,Spain,PH,1.10035
2020,Spain,MA,2.39277
2020,Spain,HN,1.43326
2020,Spain,BR,0.98802
2020,Spain,DO,0.96932
2020,Spain,EC,1.52285
2021,Spain,EC,1.37333
2021,Spain,DO,3.08
2021,Spain,BG,1.10667
2021,Spain,CN,0.36
2021,Spain,CO,2.95667
2021,Spain,BO,2.8775
2021,Spain,BR,2.49
2021,Spain,HN,3.04
2021,Spain,MA,3.67
2021,Spain,PH,1.70667
2021,Spain,PE,3.35333
2021,Spain,NG,3.49
2021,Spain,RO,1.04
2016,Sweden,LB,10.71407
2016,Sweden,SO,10.41949
2016,Sweden,IN,7.65417
2016,Sweden,CN,6.09551
2017,Sweden,IN,2.1902
2017,Sweden,CN,4.24395
2017,Sweden,SO,6.19635
2018,Sweden,CN,3.43929
2018,Sweden,IN,1.84565
2018,Sweden,SO,7.25625
2018,Sweden,LB,8.77371
2019,Sweden,SO,13.0707
2019,Sweden,IN,0.52993
2019,Sweden,CN,2.63147
2019,Sweden,LB,7.36371
2020,Sweden,SO,6.18827
2020,Sweden,CN,3.07789
2020,Sweden,LB,8.29594
2020,Sweden,IN,0.47401
2021,Sweden,LB,6.12
2021,Sweden,CN,1.73667
2021,Sweden,SO,6.51
2021,Sweden,IN,0.46667
2016,Switzerland,XK,18.94587
2016,Switzerland,AL,19.54427
2016,Switzerland,HU,11.18695
2016,Switzerland,LK,14.65857
2016,Switzerland,RS,16.36717
2017,Switzerland,LK,4.88512
2017,Switzerland,RS,15.32955
2017,Switzerland,HU,4.42525
2017,Switzerland,XK,2.99262
2017,Switzerland,AL,10.90106
2018,Switzerland,XK,5.00746
2018,Switzerland,AL,4.70031
2018,Switzerland,HU,1.6018
2018,Switzerland,LK,4.83881
2018,Switzerland,RS,9.87003
2019,Switzerland,XK,4.29215
2019,Switzerland,AL,6.90688
2019,Switzerland,RS,4.93643
2019,Switzerland,HU,1.9489
2019,Switzerland,LK,2.70865
2020,Switzerland,HU,2.52477
2020,Switzerland,RS,4.8652
2020,Switzerland,AL,8.53034
2020,Switzerland,XK,3.84595
2020,Switzerland,LK,1.86463
2021,Switzerland,XK,4.83
2021,Switzerland,AL,6.70333
2021,Switzerland,RS,2.02333
2021,Switzerland,HU,2.08667
2021,Switzerland,LK,0.32
2016,Türkiye,BG,10.37941
