Year,GeoAreaName,Value
2005,Cyprus,2.79636
2006,Cyprus,1.61071
2007,Cyprus,13.72496
2008,Cyprus,1.98096
2009,Cyprus,106.72456
2010,Cyprus,27.12868
2011,Cyprus,40.77455
2012,Cyprus,0.77817
2013,Cyprus,0.17138
2014,Cyprus,111.67763
2015,Cyprus,7.4119
2016,Cyprus,0.83481
2018,Cyprus,76.71285
2021,Cyprus,0.08037
2015,Czechia,0.0
2016,Czechia,0.0
2017,Czechia,294.36998
2015,Denmark,0.0
2005,Albania,292.38609
2006,Albania,32.46335
2007,Albania,7.59387
2008,Albania,8.23257
2009,Albania,265.03639
2010,Albania,1449.20074
2011,Albania,23.85669
2012,Albania,57.11929
2013,Albania,166.29639
2014,Albania,140.56368
2015,Albania,37.84934
2016,Albania,24.26188
2016,Denmark,0.0
2017,Denmark,0.0
2018,Denmark,0.0
2019,Denmark,0.0
2020,Denmark,2872.67959
2005,Estonia,137.55595
2017,Albania,0.17365
2018,Albania,162.77299
2019,Albania,50.55877
2020,Albania,5.19734
2005,Austria,1.34921
2006,Austria,0.73781
2006,Estonia,0.0
2007,Estonia,0.0
2008,Estonia,0.0
2009,Estonia,0.0
2010,Estonia,45.06078
2011,Estonia,0.0
2012,Estonia,0.0
2013,Estonia,0.0
2014,Estonia,0.0
2015,Estonia,0.0
2016,Estonia,0.0
2017,Estonia,0.0
2007,Austria,1.31409
2008,Austria,1.82667
2009,Austria,1.42636
2010,Austria,0.77725
2011,Austria,0.67928
2012,Austria,0.68805
2013,Austria,6.87537
2014,Austria,0.35104
2015,Austria,2.26788
2016,Austria,0.68677
2017,Austria,3.08042
2018,Austria,74.99565
2018,Estonia,0.0
2005,Finland,11.64111
2006,Finland,8.61953
2007,Finland,6.15625
2008,Finland,8.49777
2009,Finland,6.34767
2010,Finland,6.06903
2011,Finland,4.28983
2012,Finland,7.41053
2013,Finland,4.52603
2014,Finland,5.06325
2015,Finland,3.79781
2019,Austria,130.59105
2020,Austria,102.02219
