Year,GeoAreaName,Value
2018,Albania,2
2017,Armenia,915
2019,Armenia,1
2005,Bulgaria,859
2006,Bulgaria,31
2007,Bulgaria,17
2008,Bulgaria,9
2010,Bulgaria,42
2011,Bulgaria,213
2012,Bulgaria,37
2013,Bulgaria,3
2014,Bulgaria,120
2016,Bulgaria,17
2017,Bulgaria,43
2019,Bulgaria,57
2020,Bulgaria,18
2021,Bulgaria,155
2016,Belarus,0
2017,Belarus,0
2018,Belarus,0
2019,Belarus,0
2015,Czechia,0
2016,Czechia,0
2017,Czechia,0
2006,Estonia,0
2007,Estonia,0
2008,Estonia,0
2009,Estonia,0
2010,Estonia,0
2011,Estonia,0
2012,Estonia,0
2013,Estonia,0
2014,Estonia,0
2015,Estonia,0
2016,Estonia,0
2017,Estonia,0
2018,Estonia,0
2015,Finland,0
2016,Finland,0
2017,Finland,0
2018,Finland,0
2019,Finland,0
2015,Georgia,0
2016,Georgia,0
2018,Georgia,0
2019,Georgia,0
2005,Kazakhstan,0
2006,Kazakhstan,0
2007,Kazakhstan,0
2008,Kazakhstan,0
2009,Kazakhstan,0
2010,Kazakhstan,0
2011,Kazakhstan,0
2012,Kazakhstan,0
2013,Kazakhstan,0
2014,Kazakhstan,0
2015,Kazakhstan,0
2016,Kazakhstan,0
2017,Kazakhstan,55
2018,Kazakhstan,8
2019,Kazakhstan,13
2020,Kazakhstan,7
2015,Kyrgyzstan,175
2016,Kyrgyzstan,65
2017,Kyrgyzstan,112
2018,Kyrgyzstan,145
2019,Kyrgyzstan,77
2020,Lithuania,0
2020,Montenegro,13
2021,Montenegro,84
2017,Netherlands,0
2005,Romania,708
2006,Romania,152
2007,Romania,164
2008,Romania,44908
2009,Romania,915
2010,Romania,891
2011,Romania,393
2012,Romania,356
2013,Romania,356
2014,Romania,225
2015,Romania,402
2016,Romania,631
2017,Romania,196
2019,Romania,1631
2020,Romania,1227
2021,Romania,13
2019,Slovenia,1528
2015,Sweden,0
2016,Sweden,0
2017,Sweden,0
2018,Sweden,0
2019,Sweden,0
2020,Sweden,0
2005,Switzerland,1596
2006,Switzerland,1229
2007,Switzerland,1281
2008,Switzerland,1200
2009,Switzerland,1522
2010,Switzerland,812
2011,Switzerland,1034
2012,Switzerland,912
2013,Switzerland,947
2014,Switzerland,964
2015,Switzerland,929
2016,Switzerland,763
2017,Switzerland,1032
2018,Switzerland,1708
2019,Switzerland,1138
2020,Switzerland,1330
2015,Tajikistan,92
2016,Tajikistan,1292
2017,Tajikistan,90
2018,Tajikistan,31
2019,Tajikistan,9
2019,Turkmenistan,0
2015,Ukraine,105
2016,Ukraine,72
2017,Ukraine,269
2018,Ukraine,274
2019,Ukraine,321
2019,Uzbekistan,0
2019,Uzbekistan,0
