Year,GeoAreaName,Value
2015,Albania,100
2020,Albania,100
2015,Azerbaijan,100
2020,Azerbaijan,100
2015,Austria,100
2020,Austria,100
2015,Armenia,100
2020,Armenia,100
2015,Belgium,100
2020,Belgium,100
2015,Bosnia and Herzegovina,100
2020,Bosnia and Herzegovina,100
2015,Bulgaria,100
2020,Bulgaria,100
2015,Belarus,100
2020,Belarus,100
2015,Croatia,100
2020,Croatia,100
2015,Cyprus,100
2020,Cyprus,100
2015,Czechia,100
2020,Czechia,100
2015,Denmark,100
2020,Denmark,100
2015,Estonia,100
2020,Estonia,100
2015,Finland,100
2020,Finland,100
2015,France,100
2020,France,100
2015,Georgia,100
2020,Georgia,100
2015,Germany,100
2020,Germany,100
2015,Greece,100
2020,Greece,100
2015,Hungary,100
2020,Hungary,100
2015,Iceland,100
2020,Iceland,100
2015,Ireland,100
2020,Ireland,100
2015,Italy,100
2020,Italy,100
2015,Kazakhstan,100
2020,Kazakhstan,100
2015,Kyrgyzstan,100
2020,Kyrgyzstan,100
2015,Latvia,100
2020,Latvia,100
2015,Liechtenstein,100
2020,Liechtenstein,100
2015,Lithuania,100
2020,Lithuania,100
2015,Luxembourg,100
2020,Luxembourg,100
2015,Malta,100
2020,Malta,100
2015,Republic of Moldova,100
2020,Republic of Moldova,100
2015,Montenegro,100
2020,Montenegro,100
2015,Netherlands,100
2020,Netherlands,100
2015,Norway,100
2020,Norway,100
2015,Poland,100
2020,Poland,100
2015,Portugal,100
2020,Portugal,100
2015,Romania,100
2020,Romania,100
2015,Serbia,100
2020,Serbia,100
2015,Slovakia,100
2020,Slovakia,100
2015,Slovenia,100
2020,Slovenia,100
2015,Spain,100
2020,Spain,100
2015,Sweden,100
2020,Sweden,100
2015,Switzerland,100
2020,Switzerland,100
2015,Tajikistan,100
2020,Tajikistan,100
2015,Türkiye,100
2020,Türkiye,100
2015,Turkmenistan,100
2020,Turkmenistan,100
2015,Ukraine,100
2020,Ukraine,100
2015,North Macedonia,100
2020,North Macedonia,100
2015,Uzbekistan,100
2020,Uzbekistan,100
2020,Uzbekistan,100
