Year,GeoAreaName,Sex,Value
2018,Belgium,MALE,3.42
2018,Belgium,BOTHSEX,2.72
2018,Belgium,FEMALE,2.04
2013,France,MALE,2.8
2013,France,FEMALE,2.55
2013,France,BOTHSEX,2.67
2014,France,MALE,2.8
2014,France,BOTHSEX,2.7
2014,France,FEMALE,2.6
2015,France,BOTHSEX,2.8
2015,France,FEMALE,2.8
2015,France,MALE,2.7
2016,France,MALE,2.7
2016,France,BOTHSEX,2.7
2016,France,FEMALE,2.7
2017,France,MALE,2.1
2017,France,FEMALE,2.0
2017,France,BOTHSEX,2.1
2018,France,MALE,2.4
2018,France,BOTHSEX,2.3
2018,France,FEMALE,2.1
2019,France,MALE,2.6
2019,France,BOTHSEX,2.4
2019,France,FEMALE,2.3
2020,Germany,MALE,3.0
2020,Germany,BOTHSEX,2.3
2020,Germany,FEMALE,1.6
2015,Ireland,BOTHSEX,2.0
2016,Italy,BOTHSEX,1.3
2016,Italy,MALE,1.6
2016,Italy,FEMALE,1.1
2020,Luxembourg,MALE,4.82
2020,Luxembourg,FEMALE,4.45
2020,Luxembourg,BOTHSEX,4.7
2018,Serbia,FEMALE,10.4
2020,Slovenia,BOTHSEX,1.41
2020,Slovenia,MALE,1.22
2020,Slovenia,FEMALE,1.6
2020,Slovenia,FEMALE,1.6
