Year,GeoAreaName,Value
2007,Hungary,101.6748
2008,Hungary,100.3963
2009,Hungary,100.3136
2010,Hungary,103.8794
2011,Hungary,108.1338
2012,Hungary,100.6979
2013,Hungary,107.7657
2014,Hungary,97.1576
2015,Hungary,99.2536
2016,Hungary,103.1457
2017,Hungary,98.3264
2018,Hungary,99.9006
2019,Hungary,103.9395
2020,Hungary,113.55756
2021,Hungary,106.78614
2022,Hungary,122.02592
2015,Ireland,109.05939
2016,Ireland,103.18565
2017,Ireland,102.31534
2018,Ireland,105.2057
2019,Ireland,102.04479
2020,Ireland,113.06568
2021,Ireland,97.2077
2022,Ireland,106.6283
2007,Italy,118.1244
2008,Italy,98.4179
2009,Italy,100.8264
2010,Italy,100.8588
2011,Italy,101.4604
2012,Italy,101.7282
2013,Italy,100.0024
2014,Italy,100.0036
2015,Italy,100.0036
2016,Italy,99.9964
2017,Italy,100.0012
2018,Italy,100.7274
2019,Italy,100.7348
2020,Italy,115.193
2021,Italy,105.96418
2022,Italy,112.37522
2007,Kazakhstan,113.2005
2008,Kazakhstan,125.7258
2009,Kazakhstan,96.272
2010,Kazakhstan,110.1358
2011,Kazakhstan,110.6811
2012,Kazakhstan,105.286
2013,Kazakhstan,96.3374
2014,Kazakhstan,105.2537
2015,Kazakhstan,91.056
2007,Albania,95.021
2008,Albania,95.2465
2009,Albania,98.7057
2010,Albania,88.3208
2011,Albania,92.0097
2012,Albania,94.7897
2013,Albania,96.2216
2014,Albania,95.6736
2015,Albania,94.48
2016,Albania,95.9058
2016,Kazakhstan,111.0062
2017,Kazakhstan,130.3111
2018,Kazakhstan,107.4837
2019,Kazakhstan,116.3024
2020,Kazakhstan,98.27007
2021,Kazakhstan,99.14975
2022,Kazakhstan,113.71892
2007,Kosovo,92.1673
2008,Kosovo,93.1637
2009,Kosovo,99.8415
2017,Albania,101.3905
2018,Albania,95.791
2019,Albania,94.6726
2020,Albania,97.6164
2021,Albania,100.53424
2007,Azerbaijan,106.5006
2008,Azerbaijan,126.4744
2009,Azerbaijan,85.0171
2010,Azerbaijan,95.8504
2011,Azerbaijan,120.7838
2012,Azerbaijan,102.0176
2013,Azerbaijan,97.7706
2014,Azerbaijan,93.2513
2015,Azerbaijan,84.2867
2016,Azerbaijan,109.1447
2017,Azerbaijan,104.1124
2018,Azerbaijan,108.0059
2019,Azerbaijan,96.8829
2020,Azerbaijan,96.08652
2021,Azerbaijan,96.07406
2022,Azerbaijan,99.25551
2014,Austria,105.3514
2015,Austria,100.3476
2016,Austria,100.94698
2017,Austria,99.54948
2018,Austria,99.73693
2019,Austria,100.78184
2020,Austria,106.45821
2021,Austria,106.63303
2022,Austria,106.97055
2007,Armenia,113.6139
2008,Armenia,98.6035
2009,Armenia,98.2716
2010,Armenia,102.0087
2011,Armenia,98.547
2012,Armenia,96.3534
2013,Armenia,99.1559
2014,Armenia,99.0867
2015,Armenia,107.9195
2016,Armenia,105.2339
2017,Armenia,110.6381
2018,Armenia,98.7635
2019,Armenia,98.4831
2020,Armenia,95.2547
2021,Armenia,97.80258
2022,Armenia,86.62733
2014,Belgium,106.18636
2015,Belgium,101.77897
2016,Belgium,101.94139
2017,Belgium,102.11149
2018,Belgium,103.48019
2019,Belgium,102.7788
2020,Belgium,105.9022
2021,Belgium,103.60377
2022,Belgium,105.84626
2007,Bosnia and Herzegovina,100.0
2008,Bosnia and Herzegovina,95.3839
2009,Bosnia and Herzegovina,124.2336
2010,Bosnia and Herzegovina,99.2534
2011,Bosnia and Herzegovina,96.806
2012,Bosnia and Herzegovina,98.1752
2013,Bosnia and Herzegovina,90.3773
2014,Bosnia and Herzegovina,95.3246
2015,Bosnia and Herzegovina,93.9036
2016,Bosnia and Herzegovina,88.0687
2017,Bosnia and Herzegovina,88.6438
2018,Bosnia and Herzegovina,80.9888
2019,Bosnia and Herzegovina,83.8316
2020,Bosnia and Herzegovina,95.47498
2021,Bosnia and Herzegovina,103.01719
2007,Bulgaria,99.1893
2008,Bulgaria,90.9146
2009,Bulgaria,68.1131
2010,Bulgaria,97.0977
2011,Bulgaria,90.079
2012,Bulgaria,93.3388
2013,Bulgaria,92.4007
2014,Bulgaria,83.5508
2010,Kosovo,104.7959
2011,Kosovo,93.8856
2012,Kosovo,94.0126
2013,Kosovo,93.0107
2014,Kosovo,92.0455
2015,Kosovo,92.3368
2016,Kosovo,98.0012
2017,Kosovo,90.3648
2018,Kosovo,91.712
2015,Bulgaria,91.8914
2016,Bulgaria,92.3106
2017,Bulgaria,92.8226
2018,Bulgaria,98.2132
2019,Bulgaria,95.5031
2020,Bulgaria,90.0885
2021,Bulgaria,85.46065
2022,Bulgaria,102.44866
2005,Belarus,110.8265
2006,Belarus,104.5379
2019,Kosovo,87.7789
2020,Kosovo,93.37296
2021,Kosovo,90.57381
2007,Kyrgyzstan,108.96785
2008,Kyrgyzstan,97.58339
2009,Kyrgyzstan,105.45339
2010,Kyrgyzstan,92.89339
2011,Kyrgyzstan,92.21669
2012,Kyrgyzstan,100.86701
2007,Belarus,111.9151
2010,Belarus,98.0536
2011,Belarus,131.2311
2012,Belarus,112.5812
2013,Belarus,88.7783
2014,Belarus,95.478
2015,Belarus,107.8899
2016,Belarus,102.4966
2017,Belarus,101.5592
2013,Kyrgyzstan,86.70271
2014,Kyrgyzstan,104.37406
2015,Kyrgyzstan,101.6812
2016,Kyrgyzstan,93.09452
2017,Kyrgyzstan,101.28848
2018,Kyrgyzstan,88.09232
2019,Kyrgyzstan,92.16246
2020,Kyrgyzstan,91.31334
2021,Kyrgyzstan,92.0836
2007,Latvia,96.48416
2008,Latvia,97.16296
2009,Latvia,101.41745
2010,Latvia,106.31594
2011,Latvia,97.23896
2012,Latvia,96.7872
2013,Latvia,101.46584
2014,Latvia,119.1667
2015,Latvia,118.5333
2016,Latvia,113.7662
2018,Belarus,99.8836
2019,Belarus,95.9783
2020,Belarus,93.14713
2021,Belarus,104.57038
2007,Croatia,103.6451
2008,Croatia,100.1145
2009,Croatia,94.6454
2010,Croatia,100.3559
2011,Croatia,99.2758
2012,Croatia,100.8387
2017,Latvia,111.629
2018,Latvia,116.0894
2019,Latvia,113.2979
2020,Latvia,105.74303
2021,Latvia,106.07333
2022,Latvia,109.44265
2011,Lithuania,9.238
2012,Lithuania,7.927
2013,Lithuania,8.35
2014,Lithuania,8.36
2013,Croatia,100.4412
2014,Croatia,97.7007
2015,Croatia,99.6914
2016,Croatia,98.2297
2017,Croatia,97.3592
2018,Croatia,97.1788
2019,Croatia,99.7159
2020,Croatia,105.8378
2021,Croatia,97.68786
2017,Cyprus,104.29309
2015,Lithuania,107.8752
2016,Lithuania,102.3705
