Year,GeoAreaName,Age,Value
2012,Republic of Moldova,M24T35,100.0
2012,Republic of Moldova,M36T47,100.0
2012,Republic of Moldova,M48T59,100.0
2012,Republic of Moldova,<5Y,99.6
2012,Republic of Moldova,<1Y,98.0
2012,Republic of Moldova,M12T23,100.0
2013,Montenegro,M24T35,100.0
2013,Montenegro,M36T47,99.1
2013,Montenegro,M48T59,100.0
2013,Montenegro,<5Y,99.4
2013,Montenegro,<1Y,97.7
2013,Montenegro,M12T23,100.0
2021,Netherlands,<1Y,100.0
2021,Norway,<1Y,100.0
2018,Poland,<1Y,100.0
2020,Portugal,<1Y,100.0
2020,Romania,<1Y,100.0
2019,Serbia,M36T47,100.0
2019,Serbia,<1Y,99.809
2019,Serbia,M12T23,100.0
2019,Serbia,M48T59,100.0
2019,Serbia,<5Y,99.9
2019,Serbia,M24T35,99.789
2021,Slovakia,<5Y,100.0
2021,Slovenia,<1Y,100.0
2020,Spain,<1Y,100.0
2021,Sweden,<1Y,100.0
2021,Switzerland,<1Y,100.0
2017,Tajikistan,M24T35,97.5
2017,Tajikistan,M12T23,96.0
2017,Tajikistan,<5Y,95.8
2017,Tajikistan,M48T59,98.1
2017,Tajikistan,M36T47,97.5
2017,Tajikistan,<1Y,89.6
2018,Türkiye,<5Y,98.4
2019,Turkmenistan,M24T35,100.0
2019,Turkmenistan,M36T47,100.0
2019,Turkmenistan,M48T59,100.0
2019,Turkmenistan,<1Y,99.286
2019,Turkmenistan,<5Y,99.9
2019,Turkmenistan,M12T23,99.884
2012,Ukraine,M48T59,100.0
2012,Ukraine,M36T47,100.0
2012,Ukraine,M24T35,100.0
2012,Ukraine,M12T23,100.0
2012,Ukraine,<5Y,99.8
2012,Ukraine,<1Y,98.8
2019,North Macedonia,<1Y,98.967
2019,North Macedonia,M12T23,100.0
2019,North Macedonia,<5Y,99.8
2019,North Macedonia,M48T59,100.0
2019,North Macedonia,M36T47,100.0
2018,Albania,<1Y,97.7
2018,Albania,M12T23,98.9
2018,Albania,M24T35,98.8
2018,Albania,M36T47,97.8
2018,Albania,M48T59,98.9
2018,Albania,<5Y,98.4
2006,Azerbaijan,<1Y,87.9
2006,Azerbaijan,M12T23,92.5
2006,Azerbaijan,M24T35,98.0
2006,Azerbaijan,M36T47,95.4
2006,Azerbaijan,M48T59,95.6
2006,Azerbaijan,<5Y,93.6
2021,Austria,<1Y,100.0
2016,Armenia,<1Y,99.7
2016,Armenia,M12T23,99.3
2016,Armenia,M24T35,98.9
2016,Armenia,M36T47,100.0
2016,Armenia,M48T59,98.7
2016,Armenia,<5Y,98.7
2021,Belgium,<1Y,100.0
2006,Bosnia and Herzegovina,<1Y,98.1
2006,Bosnia and Herzegovina,M12T23,99.7
2006,Bosnia and Herzegovina,M36T47,99.7
2006,Bosnia and Herzegovina,M48T59,100.0
2006,Bosnia and Herzegovina,<5Y,99.5
2006,Bosnia and Herzegovina,M24T35,100.0
2021,Bulgaria,<1Y,100.0
2019,Belarus,<1Y,100.0
2019,Croatia,<1Y,100.0
2020,Cyprus,<1Y,100.0
2021,Czechia,<1Y,100.0
2019,Denmark,<1Y,100.0
2021,Estonia,<1Y,100.0
2021,Finland,<1Y,100.0
2020,France,<1Y,100.0
2017,Georgia,<1Y,97.5
2017,Georgia,M12T23,98.6
2017,Georgia,M24T35,99.6
2017,Georgia,M36T47,99.4
2017,Georgia,M48T59,97.2
2017,Georgia,<5Y,98.5
2021,Germany,<5Y,100.0
2021,Greece,<1Y,100.0
2021,Hungary,<1Y,100.0
2021,Iceland,<1Y,100.0
2021,Ireland,<1Y,100.0
2021,Italy,<1Y,100.0
2015,Kazakhstan,<1Y,98.7
2015,Kazakhstan,M12T23,100.0
2015,Kazakhstan,M24T35,100.0
2015,Kazakhstan,M36T47,99.8
2015,Kazakhstan,M48T59,100.0
2015,Kazakhstan,<5Y,99.7
2018,Kyrgyzstan,M36T47,99.9
2018,Kyrgyzstan,M48T59,99.8
2018,Kyrgyzstan,<5Y,98.9
2018,Kyrgyzstan,<1Y,96.9
2018,Kyrgyzstan,M12T23,98.8
2018,Kyrgyzstan,M24T35,99.2
2021,Latvia,<1Y,100.0
2021,Liechtenstein,<1Y,100.0
2021,Lithuania,<1Y,100.0
2021,Luxembourg,<1Y,100.0
2021,Malta,<1Y,100.0
2019,North Macedonia,M24T35,100.0
2022,Uzbekistan,M24T35,100.0
2022,Uzbekistan,M36T47,100.0
2022,Uzbekistan,M48T59,100.0
2022,Uzbekistan,<5Y,100.0
2022,Uzbekistan,M12T23,100.0
2022,Uzbekistan,<1Y,100.0
2022,Uzbekistan,<1Y,100.0
