Year,GeoAreaName,Value
1995,Armenia,-29.27702
1996,Armenia,-0.42317
1997,Armenia,11.91122
1998,Armenia,-5.17877
1999,Armenia,-1.70087
2000,Armenia,7.02326
2001,Armenia,6.86804
2002,Armenia,18.24892
2003,Armenia,27.40847
2004,Armenia,-3.26883
2005,Armenia,14.15683
2006,Armenia,3.76097
2007,Armenia,12.99479
2008,Armenia,7.27811
2009,Armenia,-19.15362
2010,Armenia,12.8
2011,Armenia,-2.29997
2012,Armenia,-2.73246
2013,Armenia,0.0
2014,Armenia,-2.7
2015,Armenia,-15.3
2016,Armenia,6.3
2017,Armenia,24.6
2018,Armenia,13.3
2019,Armenia,11.6
2020,Armenia,-31.5
2021,Armenia,12.9
1971,Belgium,3.64456
1972,Belgium,9.56908
1973,Belgium,18.58651
1974,Belgium,4.41643
1975,Belgium,-9.08239
1976,Belgium,12.38551
1977,Belgium,4.77093
1978,Belgium,2.66831
1979,Belgium,8.95589
1980,Belgium,-1.92099
1981,Belgium,-1.9352
1982,Belgium,1.35475
1983,Belgium,-1.23223
1984,Belgium,6.39252
1985,Belgium,0.40726
1986,Belgium,4.5889
1987,Belgium,6.75289
1988,Belgium,10.42016
1989,Belgium,9.6935
1990,Belgium,4.86873
1991,Belgium,2.85922
1992,Belgium,4.11706
1993,Belgium,-0.36085
1994,Belgium,7.28041
1995,Belgium,4.65171
1996,Belgium,5.55411
1997,Belgium,8.20231
1998,Belgium,5.05814
1999,Belgium,3.37329
2000,Belgium,13.01551
2001,Belgium,-0.75547
2002,Belgium,1.05598
2003,Belgium,1.45948
2004,Belgium,6.30667
2005,Belgium,6.42658
2006,Belgium,5.14185
2007,Belgium,5.57933
2008,Belgium,3.805
2009,Belgium,-10.85889
2010,Belgium,9.68797
2011,Belgium,5.62503
2012,Belgium,-0.6748
2013,Belgium,-0.21386
2014,Belgium,5.52827
2015,Belgium,3.91367
1997,Albania,-8.69086
1998,Albania,18.97587
1999,Albania,15.42479
2000,Albania,49.5404
2001,Albania,15.22186
2002,Albania,9.81638
2003,Albania,5.12761
2004,Albania,8.21622
2005,Albania,16.19521
2006,Albania,8.70613
2007,Albania,19.38568
2008,Albania,3.62239
2009,Albania,-1.14025
2010,Albania,-0.57295
2011,Albania,6.18627
2012,Albania,-6.69415
2013,Albania,-0.64363
2014,Albania,4.25879
2015,Albania,-2.87521
2016,Albania,6.92012
2017,Albania,8.35581
2018,Albania,2.39696
2019,Albania,2.28965
2020,Albania,-19.78939
1992,Hungary,0.24697
1993,Hungary,20.24439
1994,Hungary,8.84442
1995,Hungary,15.05186
1996,Hungary,7.04569
1997,Hungary,24.0251
1998,Hungary,22.57416
1999,Hungary,13.26216
2000,Hungary,23.18039
2001,Hungary,5.84945
2002,Hungary,8.67817
2003,Hungary,9.4355
2004,Hungary,17.99664
2005,Hungary,8.03978
2006,Hungary,15.11452
2007,Hungary,14.14624
2008,Hungary,5.89283
2009,Hungary,-14.18679
2010,Hungary,9.74459
2011,Hungary,4.05437
2012,Hungary,-3.14071
2013,Hungary,4.11593
2014,Hungary,10.90108
2015,Hungary,5.67698
2016,Hungary,3.47069
2017,Hungary,8.39655
2018,Hungary,6.9635
2019,Hungary,8.20604
2020,Hungary,-3.85469
2021,Hungary,9.09484
1971,Iceland,24.57887
1972,Iceland,0.51341
1973,Iceland,20.32986
1974,Iceland,12.51728
1975,Iceland,-12.75434
1976,Iceland,-3.64831
1977,Iceland,20.57983
1978,Iceland,3.64059
1979,Iceland,2.46637
1980,Iceland,2.99052
1981,Iceland,7.11599
1982,Iceland,-0.5702
1983,Iceland,-9.69538
1984,Iceland,9.14515
1985,Iceland,9.41921
1986,Iceland,0.94854
1987,Iceland,23.26526
1988,Iceland,-4.58489
1989,Iceland,-10.25729
1990,Iceland,0.99082
1991,Iceland,5.25867
1992,Iceland,-5.97234
1993,Iceland,-7.50121
1994,Iceland,3.82198
1995,Iceland,3.61751
1996,Iceland,14.59909
1997,Iceland,6.88012
1998,Iceland,21.9454
1999,Iceland,3.35234
2000,Iceland,7.80204
1993,Slovakia,-0.59667
1994,Slovakia,-4.7332
1995,Slovakia,11.63878
1996,Slovakia,16.5204
1997,Slovakia,9.51402
1998,Slovakia,-1.84621
1999,Slovakia,-3.73365
2000,Slovakia,6.31874
2001,Slovakia,18.871
2002,Slovakia,5.4848
2003,Slovakia,8.10533
2004,Slovakia,22.57052
2021,Albania,31.70518
1995,Azerbaijan,17.88053
1996,Azerbaijan,46.4415
1997,Azerbaijan,28.0372
1998,Azerbaijan,19.95292
1999,Azerbaijan,-20.63761
2000,Azerbaijan,7.73688
2001,Azerbaijan,10.35598
2002,Azerbaijan,47.5757
2003,Azerbaijan,43.16251
2004,Azerbaijan,24.26159
2005,Azerbaijan,9.46367
2005,Slovakia,14.9214
2006,Slovakia,19.1554
2007,Slovakia,9.67827
2008,Slovakia,4.10804
2009,Slovakia,-18.90799
2010,Slovakia,16.58459
2011,Slovakia,7.80177
2012,Slovakia,2.0949
2013,Slovakia,5.67618
2014,Slovakia,4.52886
2015,Slovakia,8.51833
2016,Slovakia,4.82697
2001,Iceland,-9.97567
2002,Iceland,-2.73056
2003,Iceland,10.25543
2004,Iceland,14.62209
2005,Iceland,27.82708
2006,Iceland,9.82001
2007,Iceland,-2.26299
2008,Iceland,-20.31271
2009,Iceland,-20.66941
2010,Iceland,2.31856
2011,Iceland,6.77366
