Year,GeoAreaName,Age,Sex,Value
2004,Austria,15-24,MALE,61.5
2004,Austria,25-54,BOTHSEX,14.9
2004,Austria,15-64,FEMALE,22.1
2004,Austria,15-64,BOTHSEX,21.4
2004,Austria,25-54,MALE,14.2
2004,Austria,15-24,FEMALE,61.1
2004,Austria,25-54,FEMALE,15.5
2004,Austria,55-64,FEMALE,7.4
2004,Austria,15-64,MALE,20.8
2004,Austria,15-24,BOTHSEX,61.3
2004,Austria,55-64,MALE,4.7
2004,Austria,55-64,BOTHSEX,6.1
2005,Austria,15-24,FEMALE,63.8
2005,Austria,55-64,MALE,5.0
2005,Austria,15-24,BOTHSEX,63.1
2005,Austria,15-64,MALE,21.2
2005,Austria,55-64,FEMALE,6.5
2005,Austria,25-54,FEMALE,15.5
2005,Austria,55-64,BOTHSEX,5.8
2005,Austria,25-54,MALE,14.2
2005,Austria,15-64,BOTHSEX,21.9
2005,Austria,15-64,FEMALE,22.5
2005,Austria,25-54,BOTHSEX,14.8
2005,Austria,15-24,MALE,62.4
2006,Austria,15-64,BOTHSEX,22.2
2006,Austria,55-64,FEMALE,7.0
2006,Austria,15-64,MALE,21.3
2006,Austria,15-24,BOTHSEX,63.4
2006,Austria,25-54,FEMALE,16.0
2006,Austria,15-24,MALE,62.7
2006,Austria,25-54,BOTHSEX,15.0
2006,Austria,15-64,FEMALE,23.0
2006,Austria,55-64,MALE,5.9
2006,Austria,55-64,BOTHSEX,6.4
2006,Austria,25-54,MALE,14.0
2006,Austria,15-24,FEMALE,64.1
2007,Austria,15-24,FEMALE,64.4
2007,Austria,15-64,MALE,20.9
2007,Austria,55-64,FEMALE,6.9
2007,Austria,15-64,BOTHSEX,22.0
2007,Austria,15-64,FEMALE,23.1
2007,Austria,25-54,BOTHSEX,14.7
2004,Bulgaria,15-24,FEMALE,57.3
2004,Bulgaria,25-54,MALE,1.4
2004,Bulgaria,15-24,BOTHSEX,55.6
2004,Bulgaria,15-64,MALE,11.9
2005,Bulgaria,25-54,BOTHSEX,1.6
2005,Bulgaria,25-54,FEMALE,1.6
2005,Bulgaria,15-24,MALE,54.6
2005,Bulgaria,15-64,FEMALE,12.0
2005,Bulgaria,15-64,BOTHSEX,12.1
2005,Bulgaria,15-64,MALE,12.2
2005,Bulgaria,15-24,BOTHSEX,55.9
2005,Bulgaria,25-54,MALE,1.7
2005,Bulgaria,15-24,FEMALE,57.1
2006,Bulgaria,25-54,MALE,2.0
2013,Croatia,15-24,FEMALE,71.1
2013,Croatia,15-64,FEMALE,14.9
2013,Croatia,15-64,BOTHSEX,14.3
2013,Croatia,25-54,BOTHSEX,4.1
2013,Croatia,15-24,MALE,63.3
2013,Croatia,25-54,FEMALE,4.4
2014,Croatia,25-54,FEMALE,4.0
2006,Bulgaria,15-24,FEMALE,58.4
2006,Bulgaria,55-64,BOTHSEX,0.1
2006,Bulgaria,15-24,BOTHSEX,57.9
2006,Bulgaria,15-24,MALE,57.5
2006,Bulgaria,25-54,FEMALE,2.0
2006,Bulgaria,25-54,BOTHSEX,2.0
2006,Bulgaria,55-64,MALE,0.1
2014,Croatia,15-24,MALE,58.9
2014,Croatia,25-54,BOTHSEX,3.7
2014,Croatia,15-64,BOTHSEX,13.5
2014,Croatia,15-64,FEMALE,14.4
2014,Croatia,15-24,FEMALE,70.4
2014,Croatia,15-24,BOTHSEX,64.5
2014,Croatia,25-54,MALE,3.5
2006,Bulgaria,15-64,MALE,12.9
2006,Bulgaria,55-64,FEMALE,0.1
2006,Bulgaria,15-64,BOTHSEX,12.7
2006,Bulgaria,15-64,FEMALE,12.5
2007,Bulgaria,25-54,FEMALE,2.1
2007,Bulgaria,15-24,MALE,57.6
2007,Bulgaria,15-64,FEMALE,13.1
2014,Croatia,15-64,MALE,12.6
2015,Croatia,15-64,MALE,12.8
2015,Croatia,55-64,BOTHSEX,0.1
2015,Croatia,55-64,FEMALE,0.2
2015,Croatia,25-54,MALE,3.5
2015,Croatia,15-24,FEMALE,72.0
2015,Croatia,25-54,FEMALE,4.9
2007,Albania,15-24,BOTHSEX,44.7
2007,Albania,55-64,MALE,1.2
2007,Albania,15-24,FEMALE,46.4
2007,Albania,55-64,FEMALE,0.8
2007,Albania,25-54,FEMALE,1.6
2007,Albania,15-64,BOTHSEX,14.1
2007,Albania,15-64,MALE,13.8
2015,Croatia,15-24,BOTHSEX,65.7
2015,Croatia,15-64,FEMALE,15.2
2015,Croatia,15-64,BOTHSEX,14.0
2015,Croatia,25-54,BOTHSEX,4.2
2015,Croatia,15-24,MALE,59.7
2016,Croatia,15-64,BOTHSEX,13.1
2016,Croatia,15-64,FEMALE,13.8
2007,Bulgaria,15-64,BOTHSEX,13.0
2007,Bulgaria,55-64,FEMALE,0.1
2007,Bulgaria,15-24,FEMALE,62.0
2007,Bulgaria,25-54,MALE,2.2
2007,Bulgaria,25-54,BOTHSEX,2.1
2007,Bulgaria,15-64,MALE,13.0
2007,Bulgaria,55-64,MALE,0.1
2007,Albania,15-64,FEMALE,14.3
2007,Albania,25-54,BOTHSEX,1.6
2007,Albania,15-24,MALE,43.0
2007,Albania,25-54,MALE,1.7
2007,Albania,55-64,BOTHSEX,1.0
2008,Albania,15-64,FEMALE,13.5
2008,Albania,15-64,MALE,14.0
2016,Croatia,15-24,BOTHSEX,61.6
2016,Croatia,55-64,MALE,0.2
2016,Croatia,15-24,FEMALE,67.5
2016,Croatia,25-54,FEMALE,3.9
2016,Croatia,15-24,MALE,55.9
2016,Croatia,25-54,BOTHSEX,4.0
2016,Croatia,25-54,MALE,4.1
2007,Bulgaria,15-24,BOTHSEX,59.8
2007,Bulgaria,55-64,BOTHSEX,0.1
2008,Bulgaria,15-64,MALE,12.9
2008,Bulgaria,15-64,BOTHSEX,13.0
2008,Bulgaria,15-64,FEMALE,13.1
2008,Bulgaria,15-24,MALE,58.2
2008,Bulgaria,15-24,FEMALE,63.7
2008,Albania,15-64,BOTHSEX,13.7
2008,Albania,55-64,FEMALE,1.3
2008,Albania,15-24,FEMALE,49.1
2008,Albania,25-54,FEMALE,2.3
2008,Albania,15-24,MALE,48.7
2008,Albania,25-54,BOTHSEX,2.1
2008,Albania,55-64,MALE,1.2
2008,Albania,15-24,BOTHSEX,48.9
2016,Croatia,55-64,FEMALE,0.3
2016,Croatia,55-64,BOTHSEX,0.3
2016,Croatia,15-64,MALE,12.4
2017,Croatia,15-24,BOTHSEX,62.4
2017,Croatia,15-64,FEMALE,13.4
2017,Croatia,15-64,BOTHSEX,12.6
2017,Croatia,25-54,BOTHSEX,3.1
2008,Albania,55-64,BOTHSEX,1.2
2008,Albania,25-54,MALE,1.8
2009,Albania,55-64,FEMALE,0.4
2009,Albania,15-64,BOTHSEX,14.4
2009,Albania,15-64,MALE,15.0
2009,Albania,15-64,FEMALE,13.9
2009,Albania,25-54,MALE,2.0
2008,Bulgaria,25-54,MALE,2.0
2008,Bulgaria,15-24,BOTHSEX,60.9
2008,Bulgaria,25-54,FEMALE,2.0
2008,Bulgaria,25-54,BOTHSEX,2.0
2009,Bulgaria,25-54,BOTHSEX,2.3
2009,Bulgaria,25-54,FEMALE,2.4
2009,Bulgaria,15-24,MALE,58.7
2009,Bulgaria,25-54,MALE,2.2
2009,Bulgaria,15-24,FEMALE,60.9
2009,Bulgaria,15-64,FEMALE,12.6
2009,Bulgaria,15-64,BOTHSEX,12.8
2009,Bulgaria,15-64,MALE,12.9
2009,Bulgaria,15-24,BOTHSEX,59.8
2010,Bulgaria,15-64,MALE,11.5
2009,Albania,55-64,BOTHSEX,0.5
2009,Albania,15-24,BOTHSEX,46.3
2009,Albania,55-64,MALE,0.6
2009,Albania,15-24,FEMALE,44.8
2009,Albania,25-54,BOTHSEX,1.8
2009,Albania,15-24,MALE,48.0
2009,Albania,25-54,FEMALE,1.6
2017,Croatia,15-64,MALE,11.8
2017,Croatia,55-64,BOTHSEX,0.1
2017,Croatia,55-64,FEMALE,0.1
2017,Croatia,25-54,MALE,2.7
2017,Croatia,15-24,FEMALE,67.4
2017,Croatia,15-24,MALE,57.7
2017,Croatia,25-54,FEMALE,3.6
2010,Albania,25-54,FEMALE,1.6
2010,Albania,15-24,MALE,47.8
2010,Albania,55-64,FEMALE,0.2
2010,Albania,15-24,FEMALE,49.5
2010,Albania,55-64,MALE,1.2
2010,Albania,15-24,BOTHSEX,48.6
2010,Albania,55-64,BOTHSEX,0.7
2010,Bulgaria,15-64,BOTHSEX,11.8
2010,Bulgaria,15-64,FEMALE,12.1
2010,Bulgaria,15-24,MALE,55.8
2010,Bulgaria,15-24,FEMALE,62.0
2010,Bulgaria,25-54,MALE,2.1
2010,Bulgaria,15-24,BOTHSEX,58.8
2010,Bulgaria,25-54,FEMALE,2.3
2010,Bulgaria,25-54,BOTHSEX,2.2
2011,Bulgaria,25-54,BOTHSEX,1.8
2011,Bulgaria,25-54,FEMALE,2.0
2011,Bulgaria,15-24,MALE,55.5
2011,Bulgaria,15-64,FEMALE,11.7
2011,Bulgaria,15-64,BOTHSEX,11.3
2011,Bulgaria,15-64,MALE,10.8
2010,Albania,25-54,BOTHSEX,1.6
2010,Albania,15-64,FEMALE,14.3
2010,Albania,15-64,MALE,15.1
2010,Albania,15-64,BOTHSEX,14.7
2010,Albania,25-54,MALE,1.6
2011,Albania,25-54,MALE,1.5
2011,Albania,15-24,BOTHSEX,44.3
2011,Albania,15-24,FEMALE,45.6
2018,Croatia,25-54,FEMALE,4.5
2018,Croatia,15-24,MALE,60.4
2018,Croatia,25-54,BOTHSEX,3.8
2018,Croatia,15-64,BOTHSEX,13.5
2018,Croatia,15-64,FEMALE,14.5
2018,Croatia,15-24,BOTHSEX,65.3
2018,Croatia,55-64,MALE,0.4
2011,Albania,25-54,FEMALE,1.4
2011,Albania,15-64,BOTHSEX,12.9
2011,Albania,15-64,MALE,13.0
2011,Albania,15-64,FEMALE,12.8
2011,Albania,25-54,BOTHSEX,1.4
2011,Albania,15-24,MALE,43.1
2012,Albania,15-64,FEMALE,13.0
2012,Albania,15-64,MALE,14.8
2012,Albania,15-64,BOTHSEX,13.9
2012,Albania,15-24,FEMALE,55.2
2012,Albania,15-24,BOTHSEX,52.8
2012,Albania,25-54,FEMALE,0.9
2012,Albania,15-24,MALE,50.9
2012,Albania,25-54,BOTHSEX,1.3
2012,Albania,25-54,MALE,1.7
2013,Albania,25-54,MALE,2.1
2018,Croatia,15-24,FEMALE,70.5
2018,Croatia,25-54,MALE,3.1
2018,Croatia,55-64,FEMALE,0.4
2018,Croatia,55-64,BOTHSEX,0.4
2018,Croatia,15-64,MALE,12.5
2019,Croatia,15-24,FEMALE,69.3
2019,Croatia,55-64,MALE,0.5
2011,Bulgaria,15-24,BOTHSEX,58.9
2011,Bulgaria,15-24,FEMALE,62.5
2011,Bulgaria,25-54,MALE,1.7
2012,Bulgaria,25-54,MALE,2.2
2012,Bulgaria,15-24,FEMALE,64.6
2012,Bulgaria,55-64,BOTHSEX,0.1
2012,Bulgaria,15-64,FEMALE,12.1
2012,Bulgaria,15-24,MALE,56.3
2012,Bulgaria,25-54,FEMALE,2.5
2012,Bulgaria,25-54,BOTHSEX,2.3
2012,Bulgaria,15-24,BOTHSEX,60.4
2012,Bulgaria,15-64,MALE,10.9
2012,Bulgaria,55-64,FEMALE,0.2
