Year,GeoAreaName,Education level,Quantile,Sex,Value
2011,Armenia,UPPSEC,Q2,MALE,1.1614
2011,Armenia,PRIMAR,_T,MALE,0.99456
2011,Armenia,UPPSEC,Q2,BOTHSEX,1.11855
2011,Armenia,UPPSEC,Q3,MALE,0.0
2011,Armenia,UPPSEC,Q3,BOTHSEX,1.00196
2011,Armenia,LOWSEC,Q1,BOTHSEX,0.0
2011,Armenia,PRIMAR,Q1,BOTHSEX,0.99437
2011,Armenia,UPPSEC,Q1,MALE,0.0
2011,Armenia,UPPSEC,_T,MALE,0.90517
2011,Armenia,UPPSEC,Q1,FEMALE,0.0
2011,Armenia,PRIMAR,Q1,MALE,0.0
2011,Armenia,UPPSEC,Q1,BOTHSEX,0.94833
2011,Armenia,UPPSEC,_T,BOTHSEX,0.95143
2011,Armenia,PRIMAR,Q2,FEMALE,1.0
2011,Armenia,UPPSEC,_T,FEMALE,0.97978
2011,Armenia,PRIMAR,Q2,BOTHSEX,1.0
2011,Armenia,LOWSEC,Q3,BOTHSEX,0.99061
2011,Armenia,PRIMAR,Q2,MALE,1.0
2011,Armenia,LOWSEC,_T,MALE,0.959
2011,Armenia,PRIMAR,Q5,BOTHSEX,0.0
2011,Armenia,LOWSEC,Q5,MALE,0.0
2011,Armenia,LOWSEC,Q5,BOTHSEX,0.0
2011,Armenia,LOWSEC,Q4,MALE,0.0
2011,Armenia,LOWSEC,Q4,FEMALE,0.0
2011,Armenia,PRIMAR,Q3,BOTHSEX,1.0
2011,Armenia,LOWSEC,_T,BOTHSEX,0.98387
2011,Armenia,PRIMAR,Q4,BOTHSEX,0.0
2011,Armenia,LOWSEC,_T,FEMALE,0.99936
2011,Armenia,PRIMAR,_T,BOTHSEX,0.99709
2011,Armenia,UPPSEC,Q5,BOTHSEX,0.0
2011,Armenia,UPPSEC,Q5,FEMALE,0.0
2011,Armenia,UPPSEC,Q2,FEMALE,1.06994
2011,Armenia,UPPSEC,Q3,FEMALE,1.04024
2011,Armenia,LOWSEC,Q1,FEMALE,0.0
2011,Armenia,LOWSEC,Q1,MALE,0.0
2011,Armenia,PRIMAR,Q4,MALE,0.0
2011,Armenia,PRIMAR,Q1,FEMALE,0.0
2011,Armenia,UPPSEC,Q4,MALE,0.0
2011,Armenia,UPPSEC,Q5,MALE,0.0
2011,Armenia,PRIMAR,_T,FEMALE,1.0
2011,Armenia,UPPSEC,Q4,BOTHSEX,0.0
2011,Armenia,UPPSEC,Q4,FEMALE,0.0
2016,Armenia,UPPSEC,Q4,FEMALE,0.0
2016,Armenia,UPPSEC,Q4,BOTHSEX,0.0
2016,Armenia,UPPSEC,Q5,MALE,0.0
2016,Armenia,UPPSEC,Q4,MALE,0.0
2000,Albania,PRIMAR,_T,BOTHSEX,0.99633
2000,Albania,LOWSEC,_T,BOTHSEX,0.95408
2000,Albania,UPPSEC,_T,BOTHSEX,0.53636
2005,Albania,UPPSEC,_T,BOTHSEX,0.51224
2005,Albania,LOWSEC,_T,BOTHSEX,1.02481
2005,Albania,PRIMAR,_T,BOTHSEX,1.00917
2009,Albania,UPPSEC,Q4,FEMALE,0.0
2009,Albania,LOWSEC,Q1,BOTHSEX,0.0
2009,Albania,LOWSEC,Q1,MALE,0.0
2009,Albania,LOWSEC,Q1,FEMALE,0.0
2009,Albania,PRIMAR,Q4,MALE,0.0
2009,Albania,LOWSEC,Q5,FEMALE,0.0
2009,Albania,LOWSEC,Q5,MALE,0.0
2009,Albania,PRIMAR,Q2,MALE,0.0
2009,Albania,LOWSEC,Q5,BOTHSEX,0.0
2009,Albania,LOWSEC,Q3,FEMALE,0.8355
2016,Armenia,UPPSEC,Q1,BOTHSEX,0.91621
2016,Armenia,PRIMAR,Q1,MALE,0.0
2016,Armenia,PRIMAR,Q1,FEMALE,0.0
2016,Armenia,PRIMAR,Q4,MALE,0.0
2016,Armenia,LOWSEC,Q1,FEMALE,0.0
2016,Armenia,LOWSEC,Q1,MALE,0.0
2016,Armenia,UPPSEC,Q3,FEMALE,0.6943
2016,Armenia,LOWSEC,Q1,BOTHSEX,0.94345
2016,Armenia,LOWSEC,Q2,MALE,0.0
2016,Armenia,PRIMAR,Q4,FEMALE,0.0
2016,Armenia,LOWSEC,Q2,BOTHSEX,0.99656
2016,Armenia,PRIMAR,Q4,BOTHSEX,0.0
2016,Armenia,LOWSEC,_T,BOTHSEX,0.9569
2016,Armenia,PRIMAR,Q3,BOTHSEX,1.02695
2016,Armenia,PRIMAR,Q3,MALE,1.02276
2016,Armenia,LOWSEC,Q3,FEMALE,1.0
2016,Armenia,LOWSEC,Q3,MALE,0.97461
2016,Armenia,LOWSEC,Q5,BOTHSEX,0.0
2016,Armenia,LOWSEC,Q5,MALE,0.0
2016,Armenia,LOWSEC,Q5,FEMALE,0.0
