Year,GeoAreaName,Age,Type of skill,Value
2012,Austria,16-65,LITE,0.9866
2012,Belgium,16-65,LITE,0.97875
2012,Belgium,16-65,NUME,0.94306
2012,Cyprus,16-65,NUME,0.94667
2012,Cyprus,16-65,LITE,1.01454
2012,Czechia,16-65,LITE,0.98786
2012,Czechia,16-65,NUME,0.95616
2012,Denmark,16-65,NUME,0.97466
2012,Denmark,16-65,LITE,1.03161
2012,Estonia,16-65,NUME,0.97865
2012,Estonia,16-65,LITE,1.01309
2012,Finland,16-65,LITE,1.01972
2012,Finland,16-65,NUME,0.97785
2012,France,16-65,LITE,1.01805
2012,France,16-65,NUME,0.9406
2012,Germany,16-65,NUME,0.90869
2012,Germany,16-65,LITE,0.97439
2015,Greece,16-65,NUME,0.94359
2015,Greece,16-65,LITE,1.05082
2017,Hungary,16-65,NUME,1.01075
2017,Hungary,16-65,LITE,1.03856
2012,Ireland,16-65,NUME,0.91522
2012,Ireland,16-65,LITE,1.00597
2012,Italy,16-65,LITE,1.03617
2012,Italy,16-65,NUME,0.91755
2017,Kazakhstan,16-65,NUME,1.00826
2017,Kazakhstan,16-65,LITE,1.02681
2015,Lithuania,16-65,NUME,0.99428
2015,Lithuania,16-65,LITE,1.02343
2012,Netherlands,16-65,LITE,0.98234
2012,Netherlands,16-65,NUME,0.94548
2012,Norway,16-65,LITE,0.9972
2012,Norway,16-65,NUME,0.95103
2012,Poland,16-65,LITE,1.06091
2012,Poland,16-65,NUME,1.00958
2012,Slovakia,16-65,NUME,1.00077
2012,Slovakia,16-65,LITE,1.00596
2015,Slovenia,16-65,LITE,1.01926
2015,Slovenia,16-65,NUME,0.97625
2012,Spain,16-65,NUME,0.90183
2012,Spain,16-65,LITE,0.96748
2012,Sweden,16-65,LITE,0.98382
2012,Sweden,16-65,NUME,0.9487
2015,Türkiye,16-65,NUME,0.68105
2015,Türkiye,16-65,LITE,0.84474
2012,Austria,16-65,NUME,0.95141
2012,Austria,16-65,NUME,0.95141
