Year,GeoAreaName,Age,Sex,Value
2018,Albania,20-24,FEMALE,1.387
2011,Azerbaijan,20-24,FEMALE,1.9
2016,Armenia,20-24,FEMALE,0.042
2019,Belgium,20-24,FEMALE,0.0
2012,Bosnia and Herzegovina,20-24,FEMALE,0.158
2019,Belarus,20-24,FEMALE,0.1
2018,Georgia,20-24,FEMALE,0.3
2015,Kazakhstan,20-24,FEMALE,0.2
2018,Kyrgyzstan,20-24,FEMALE,0.307
2021,Lithuania,20-24,FEMALE,0.0
2012,Republic of Moldova,20-24,FEMALE,0.4
2018,Montenegro,20-24,FEMALE,1.9
2019,Serbia,20-24,FEMALE,1.2
2017,Tajikistan,20-24,FEMALE,0.124
2018,Türkiye,20-24,FEMALE,2.0
2019,Turkmenistan,20-24,FEMALE,0.2
2012,Ukraine,20-24,FEMALE,0.1
2019,North Macedonia,20-24,FEMALE,0.3
2022,Uzbekistan,20-24,FEMALE,0.17
2022,Uzbekistan,20-24,FEMALE,0.17
