Year,GeoAreaName,Age,Education level,Location,Quantile,Sex,Value
2011,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,26.40366
2011,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,36.24445
2011,Albania,15+,_T,ALLAREA,_T,MALE,33.66468
2011,Albania,15+,_T,ALLAREA,_T,BOTHSEX,28.26813
2011,Albania,15+,_T,ALLAREA,R60,BOTHSEX,35.41115
2011,Albania,25+,_T,ALLAREA,_T,BOTHSEX,28.72926
2011,Albania,15+,_T,ALLAREA,_T,FEMALE,22.67261
2011,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,15.06175
2011,Albania,15+,_T,ALLAREA,B40,BOTHSEX,17.51858
2014,Albania,15+,_T,ALLAREA,_T,MALE,42.51969
2014,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,29.96477
2014,Albania,15+,_T,ALLAREA,_T,FEMALE,33.59423
2014,Albania,25+,_T,ALLAREA,_T,BOTHSEX,40.4027
2014,Albania,15+,_T,ALLAREA,B40,BOTHSEX,23.8901
2014,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,24.00507
2014,Albania,15+,_T,ALLAREA,_T,BOTHSEX,37.98635
2014,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,56.21789
2014,Albania,15+,_T,ALLAREA,R60,BOTHSEX,47.37881
2017,Albania,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,55.82902
2017,Albania,15+,_T,ALLAREA,_T,BOTHSEX,40.01517
2017,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,27.49701
2017,Albania,15+,_T,ALLAREA,B40,BOTHSEX,22.75103
2017,Albania,15+,_T,ALLAREA,R60,BOTHSEX,51.50628
2017,Albania,25+,_T,ALLAREA,_T,BOTHSEX,42.51325
2017,Albania,15+,_T,ALLAREA,_T,FEMALE,38.10296
2017,Albania,15-24,_T,ALLAREA,_T,BOTHSEX,31.50068
2017,Albania,15+,_T,ALLAREA,_T,MALE,42.0435
2021,Albania,15+,_T,URBAN,_T,BOTHSEX,50.23685
2011,Croatia,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,92.01784
2011,Croatia,15+,_T,ALLAREA,_T,FEMALE,87.18468
2011,Croatia,15-24,_T,ALLAREA,_T,BOTHSEX,75.27686
2011,Croatia,25+,_T,ALLAREA,_T,BOTHSEX,90.45528
2011,Croatia,15+,_T,ALLAREA,R60,BOTHSEX,93.06661
2011,Croatia,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,70.24207
2011,Croatia,15+,_T,ALLAREA,_T,BOTHSEX,88.39102
2021,Albania,15+,_T,RURAL,_T,BOTHSEX,33.07041
2021,Albania,15+,_T,ALLAREA,_T,FEMALE,45.68611
2021,Albania,25+,_T,ALLAREA,_T,BOTHSEX,44.25974
2021,Albania,15+,_T,ALLAREA,R60,BOTHSEX,55.40872
2021,Albania,15+,_T,ALLAREA,B40,BOTHSEX,27.2656
2021,Albania,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,34.35557
2021,Albania,15+,_T,ALLAREA,_T,BOTHSEX,44.17418
2011,Croatia,15+,_T,ALLAREA,_T,MALE,89.72318
2011,Croatia,15+,_T,ALLAREA,B40,BOTHSEX,81.35492
2014,Croatia,15-24,_T,ALLAREA,_T,BOTHSEX,57.7735
2014,Croatia,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,93.71826
2014,Croatia,15+,_T,ALLAREA,_T,BOTHSEX,86.02509
2014,Croatia,15+,AGG_0_1,ALLAREA,_T,BOTHSEX,65.19132
2014,Croatia,15+,_T,ALLAREA,B40,BOTHSEX,78.91113
2014,Croatia,15+,_T,ALLAREA,_T,MALE,84.24692
2014,Croatia,25+,_T,ALLAREA,_T,BOTHSEX,90.56747
2014,Croatia,15+,_T,ALLAREA,_T,FEMALE,87.69241
2014,Croatia,15+,_T,ALLAREA,R60,BOTHSEX,90.75602
2017,Croatia,15-24,_T,ALLAREA,_T,BOTHSEX,46.86027
2017,Croatia,25+,_T,ALLAREA,_T,BOTHSEX,92.65944
2017,Croatia,15+,_T,ALLAREA,_T,MALE,89.83806
2011,Kazakhstan,15+,_T,ALLAREA,_T,BOTHSEX,42.10509
2011,Kazakhstan,15+,AGG_GE2,ALLAREA,_T,BOTHSEX,46.06663
2011,Kazakhstan,15+,_T,ALLAREA,_T,FEMALE,43.73284
2011,Kazakhstan,15-24,_T,ALLAREA,_T,BOTHSEX,26.74536
